,5dcff490b043890effa91b55
PlayerDetails,5dcff490b043890effa91b55
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,15
Pond2_Type,RT
Pond2_#Fishes,18
Pond9_Type,RT
Pond9_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 16:57:06 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.285
Pond10Fish1_PondTime,8.262
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.131
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.305
Pond10Fish2_PondTime,14.902
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1187.491
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.236
Pond10Fish3_PondTime,21.875
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1180.518
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.095
Pond10Fish4_PondTime,29.233
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1173.16
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,-1
Pond10Fish5_PondTime,37.107
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,40
Pond10Fish5_TimeLeft,1165.286
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.418
Pond10Fish6_PondTime,45.465
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,50
Pond10Fish6_TimeLeft,1156.928
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.526
Pond10Fish7_PondTime,54.491
Pond10Fish7_PondOutcome,60
Pond10Fish7_TotalOutcome,60
Pond10Fish7_TimeLeft,1147.902
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.399
Pond10Fish8_PondTime,64.349
Pond10Fish8_PondOutcome,70
Pond10Fish8_TotalOutcome,70
Pond10Fish8_TimeLeft,1138.044
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.222
Pond10Fish9_PondTime,75.276
Pond10Fish9_PondOutcome,80
Pond10Fish9_TotalOutcome,80
Pond10Fish9_TimeLeft,1127.117
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.296
Pond10Fish10_PondTime,87.638
Pond10Fish10_PondOutcome,90
Pond10Fish10_TotalOutcome,90
Pond10Fish10_TimeLeft,1114.755
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,1.396
Pond10Fish11_PondTime,102.001
Pond10Fish11_PondOutcome,100
