,5d96dc63334c5c00175db42c
PlayerDetails,5d96dc63334c5c00175db42c
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RT
Pond9_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:29:37 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.433
Pond9Fish1_PondTime,9.277
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,10
Pond9Fish1_TimeLeft,1193.122
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.105
Pond9Fish2_PondTime,17.094
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,20
Pond9Fish2_TimeLeft,1185.305
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.227
Pond9Fish3_PondTime,25.461
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,30
Pond9Fish3_TimeLeft,1176.938
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.339
Pond9Fish4_PondTime,34.495
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,40
Pond9Fish4_TimeLeft,1167.904
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.259
Pond9Fish5_PondTime,44.361
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1158.038
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.227
Pond9Fish6_PondTime,55.296
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,60
Pond9Fish6_TimeLeft,1147.103
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.082
Pond9Fish7_PondTime,67.661
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,70
Pond9Fish7_TimeLeft,1134.738
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.598
Pond9Fish8_PondTime,82.029
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,80
Pond9Fish8_TimeLeft,1120.37
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,golden
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.011
Pond9Fish9_PondTime,99.395
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,100
Pond9Fish9_TimeLeft,1103.004
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,1.619
Pond9Fish10_PondTime,121.761
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,110
Pond9Fish10_TimeLeft,1080.638
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,20
Pond9Fish11_CatchTime,1.246
Pond9Fish11_PondTime,154.128
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,120
Pond9Fish11_TimeLeft,1048.271
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,30
Pond9Fish12_CatchTime,-1
Pond9Fish12_PondTime,216.559
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,120
Pond9Fish12_TimeLeft,985.84
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,60
Pond9Fish13_CatchTime,1.061
Pond9Fish13_PondTime,218.927
Pond9Fish13_PondOutcome,130
Pond9Fish13_TotalOutcome,130
Pond9Fish13_TimeLeft,983.472
PondEnd_LastFish,13
FishN,13
Type,RT
GiveUpTime,4.03
PondTime,222.222
TimeLeft,979.675
PondOutcome,130
TotalOutcome,130
PondStart,PondStart
PondIntroTime,11.134166405536234
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.927
Pond5Fish1_PondTime,8.267
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,140
Pond5Fish1_TimeLeft,959.655
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.453
Pond5Fish2_PondTime,14.918
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,150
Pond5Fish2_TimeLeft,953.004
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.04
Pond5Fish3_PondTime,21.9
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,160
Pond5Fish3_TimeLeft,946.022
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.921
Pond5Fish4_PondTime,29.266
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,170
Pond5Fish4_TimeLeft,938.656
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,5
