,5ba85a9d032d360001b83177
PlayerDetails,5ba85a9d032d360001b83177
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,19
Pond5_Type,RT
Pond5_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,14
Pond10_Type,RT
Pond10_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,15
Pond7_Type,RT
Pond7_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 17:16:12 GMT+1030 (Australian Central Daylight Time)
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.009
Pond1Fish1_PondTime,7.62
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1194.773
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.244
Pond1Fish2_PondTime,13.534
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1188.86
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,0.932
Pond1Fish3_PondTime,19.648
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1182.746
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.002
Pond1Fish4_PondTime,26.027
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
Pond1Fish4_TimeLeft,1176.367
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.096
Pond1Fish5_PondTime,32.725
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1169.669
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.274
Pond1Fish6_PondTime,39.722
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,60
Pond1Fish6_TimeLeft,1162.671
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,0.895
Pond1Fish7_PondTime,47.099
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,70
Pond1Fish7_TimeLeft,1155.295
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.043
Pond1Fish8_PondTime,54.931
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,80
Pond1Fish8_TimeLeft,1147.463
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,0.942
Pond1Fish9_PondTime,63.292
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,90
Pond1Fish9_TimeLeft,1139.102
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.011
Pond1Fish10_PondTime,72.338
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,100
Pond1Fish10_TimeLeft,1130.056
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.177
Pond1Fish11_PondTime,82.244
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,110
Pond1Fish11_TimeLeft,1120.15
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.007
Pond1Fish12_PondTime,93.194
