,587905adc34844000174ee45
PlayerDetails,587905adc34844000174ee45
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,13
Pond4_Type,RT
Pond4_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,19
Pond11_Type,RT
Pond11_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 11:39:02 GMT+0200 (Itä-Euroopan normaaliaika)
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.104
Pond3Fish1_PondTime,9.766
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1192.597
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,golden
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.138
Pond3Fish2_PondTime,18.17
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,30
Pond3Fish2_TimeLeft,1184.194
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.089
Pond3Fish3_PondTime,27.237
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,40
Pond3Fish3_TimeLeft,1175.126
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.098
Pond3Fish4_PondTime,37.138
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,50
Pond3Fish4_TimeLeft,1165.226
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.045
Pond3Fish5_PondTime,48.086
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,60
Pond3Fish5_TimeLeft,1154.278
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,0.92
Pond3Fish6_PondTime,60.475
Pond3Fish6_PondOutcome,70
