,5c7e51eaaaf8870001c8613a
PlayerDetails,5c7e51eaaaf8870001c8613a
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,15
Pond4_Type,RT
Pond4_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,14
Pond10_Type,RT
Pond10_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:25:06 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,golden
Pond6Fish1_FishLatency,4.285714285714286
