,5b2739eb34ffd00001b4669b
PlayerDetails,5b2739eb34ffd00001b4669b
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,19
Pond1_Type,RT
Pond1_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 14:25:44 GMT+0800 (Australian Western Standard Time)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.181
Pond10Fish1_PondTime,7.596
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1194.803
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.036
Pond10Fish2_PondTime,13.481
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1188.918
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.017
Pond10Fish3_PondTime,19.599
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1182.799
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.055
Pond10Fish4_PondTime,25.968
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1176.431
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.777
Pond10Fish5_PondTime,32.621
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1169.778
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.026
Pond10Fish6_PondTime,39.607
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,60
Pond10Fish6_TimeLeft,1162.791
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.843
Pond10Fish7_PondTime,46.977
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,70
Pond10Fish7_TimeLeft,1155.422
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.152
Pond10Fish8_PondTime,54.797
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,80
Pond10Fish8_TimeLeft,1147.602
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.274
Pond10Fish9_PondTime,63.167
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,90
Pond10Fish9_TimeLeft,1139.232
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,golden
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,0.942
Pond10Fish10_PondTime,72.202
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1130.197
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.009
Pond10Fish11_PondTime,82.057
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,120
Pond10Fish11_TimeLeft,1120.342
