,5cc24a0dd56649001715d5cc
PlayerDetails,5cc24a0dd56649001715d5cc
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,19
Pond10_Type,RT
Pond10_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,13
Pond2_Type,RT
Pond2_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:39:35 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.964
Pond7Fish1_PondTime,7.615
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1194.783
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.842
Pond7Fish2_PondTime,13.525
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,20
Pond7Fish2_TimeLeft,1188.874
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.138
Pond7Fish3_PondTime,19.641
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1182.758
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,0.65
Pond7Fish4_PondTime,26.03
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,50
Pond7Fish4_TimeLeft,1176.369
Type,RT
FishN,16
Fish,5
