,5e1e789ad956371d569c8088
PlayerDetails,5e1e789ad956371d569c8088
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,15
Pond6_Type,RT
Pond6_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 00:22:28 GMT-0600 (Central Standard Time)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.437
Pond2Fish1_PondTime,8.27
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1194.128
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.249
Pond2Fish2_PondTime,14.917
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1187.481
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.841
Pond2Fish3_PondTime,21.892
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,30
Pond2Fish3_TimeLeft,1180.506
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.057
Pond2Fish4_PondTime,29.267
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1173.131
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.04
Pond2Fish5_PondTime,37.09
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,50
Pond2Fish5_TimeLeft,1165.308
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.182
Pond2Fish6_PondTime,45.461
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,60
Pond2Fish6_TimeLeft,1156.937
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,0.96
Pond2Fish7_PondTime,54.483
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,70
Pond2Fish7_TimeLeft,1147.914
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.924
Pond2Fish8_PondTime,64.355
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,80
Pond2Fish8_TimeLeft,1138.043
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,8.243
PondTime,71.726
TimeLeft,1130.168
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,16.16081215441227
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.148
Pond5Fish1_PondTime,8.028
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,90
Pond5Fish1_TimeLeft,1105.335
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.042
Pond5Fish2_PondTime,14.385
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,100
Pond5Fish2_TimeLeft,1098.978
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.942
Pond5Fish3_PondTime,21.028
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,110
Pond5Fish3_TimeLeft,1092.334
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.956
Pond5Fish4_PondTime,28.004
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,120
Pond5Fish4_TimeLeft,1085.359
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.983
Pond5Fish5_PondTime,35.36
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,130
Pond5Fish5_TimeLeft,1078.003
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.212
Pond5Fish6_PondTime,43.184
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,140
Pond5Fish6_TimeLeft,1070.179
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.085
Pond5Fish7_PondTime,51.554
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,150
Pond5Fish7_TimeLeft,1061.809
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,0.984
Pond5Fish8_PondTime,60.579
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,160
Pond5Fish8_TimeLeft,1052.784
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.107
Pond5Fish9_PondTime,70.449
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,170
Pond5Fish9_TimeLeft,1042.914
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,1.127
Pond5Fish10_PondTime,81.383
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,180
Pond5Fish10_TimeLeft,1031.98
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.079
Pond5Fish11_PondTime,93.752
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,190
Pond5Fish11_TimeLeft,1019.611
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,12.14
PondTime,105.171
TimeLeft,1007.689
PondOutcome,110
TotalOutcome,190
PondStart,PondStart
PondIntroTime,18.07787795783952
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.294
Pond4Fish1_PondTime,8.891
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,200
Pond4Fish1_TimeLeft,980.061
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.146
Pond4Fish2_PondTime,16.247
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,210
Pond4Fish2_TimeLeft,972.705
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.144
Pond4Fish3_PondTime,24.054
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,220
Pond4Fish3_TimeLeft,964.898
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.044
Pond4Fish4_PondTime,32.411
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,230
Pond4Fish4_TimeLeft,956.541
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,golden
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.218
Pond4Fish5_PondTime,41.434
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,250
Pond4Fish5_TimeLeft,947.518
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.901
Pond4Fish6_PondTime,51.303
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,260
Pond4Fish6_TimeLeft,937.649
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.019
Pond4Fish7_PondTime,62.239
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,270
Pond4Fish7_TimeLeft,926.713
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.335
Pond4Fish8_PondTime,74.608
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,280
Pond4Fish8_TimeLeft,914.344
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,0.913
PondTime,75.066
TimeLeft,913.382
PondOutcome,90
TotalOutcome,280
PondStart,PondStart
PondIntroTime,16.700594471767545
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.905
Pond12Fish1_PondTime,9.722
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,290
Pond12Fish1_TimeLeft,886.33
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,0.741
Pond12Fish2_PondTime,18.082
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,300
Pond12Fish2_TimeLeft,877.97
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,0.896
Pond12Fish3_PondTime,27.135
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,310
Pond12Fish3_TimeLeft,868.917
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.953
Pond12Fish4_PondTime,37.002
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,320
Pond12Fish4_TimeLeft,859.05
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.99
Pond12Fish5_PondTime,47.94
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,330
Pond12Fish5_TimeLeft,848.112
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,0.895
Pond12Fish6_PondTime,60.309
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,340
Pond12Fish6_TimeLeft,835.743
Type,RT
FishN,16
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.134
Pond12Fish7_PondTime,74.672
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,350
Pond12Fish7_TimeLeft,821.38
Type,RT
FishN,16
Fish,8
Pond12Fish8_FishType,golden
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,0.934
Pond12Fish8_PondTime,92.035
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,370
Pond12Fish8_TimeLeft,804.017
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,5.621
PondTime,96.803
TimeLeft,798.748
PondOutcome,90
TotalOutcome,370
PondStart,PondStart
PondIntroTime,12.860824069939554
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.112
Pond10Fish1_PondTime,9.741
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,380
Pond10Fish1_TimeLeft,775.319
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.056
Pond10Fish2_PondTime,18.111
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,390
Pond10Fish2_TimeLeft,766.949
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.104
Pond10Fish3_PondTime,27.134
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,400
Pond10Fish3_TimeLeft,757.925
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.952
Pond10Fish4_PondTime,37.004
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,410
Pond10Fish4_TimeLeft,748.056
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.094
Pond10Fish5_PondTime,47.941
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,420
Pond10Fish5_TimeLeft,737.119
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.477
Pond10Fish6_PondTime,60.309
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,430
Pond10Fish6_TimeLeft,724.751
Type,RT
FishN,16
Fish,7
