,59f17b480fb3a90001bd9ff8
PlayerDetails,59f17b480fb3a90001bd9ff8
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,RT
Pond8_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,13
Pond9_Type,RT
Pond9_#Fishes,19
Pond10_Type,RT
Pond10_#Fishes,13
Pond2_Type,RT
Pond2_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:40:22 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,8.991
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,0
Pond8Fish1_TimeLeft,1193.406
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.362
Pond8Fish2_PondTime,16.419
Pond8Fish2_PondOutcome,10
Pond8Fish2_TotalOutcome,10
Pond8Fish2_TimeLeft,1185.978
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.717
Pond8Fish3_PondTime,24.302
Pond8Fish3_PondOutcome,20
Pond8Fish3_TotalOutcome,20
Pond8Fish3_TimeLeft,1178.096
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.187
Pond8Fish4_PondTime,32.722
Pond8Fish4_PondOutcome,30
Pond8Fish4_TotalOutcome,30
Pond8Fish4_TimeLeft,1169.676
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.188
Pond8Fish5_PondTime,41.805
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,40
Pond8Fish5_TimeLeft,1160.593
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.329
Pond8Fish6_PondTime,51.745
Pond8Fish6_PondOutcome,50
Pond8Fish6_TotalOutcome,50
Pond8Fish6_TimeLeft,1150.653
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,1.322
PondTime,52.573
TimeLeft,1149.305
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,18.415406292770058
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.466
Pond1Fish1_PondTime,9.356
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,60
Pond1Fish1_TimeLeft,1120.872
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.074
Pond1Fish2_PondTime,17.222
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,70
Pond1Fish2_TimeLeft,1113.007
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.046
Pond1Fish3_PondTime,25.642
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,80
Pond1Fish3_TimeLeft,1104.587
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.992
Pond1Fish4_PondTime,34.723
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,90
