,5b829a201a1b2200016e86c4
PlayerDetails,5b829a201a1b2200016e86c4
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,13
Pond1_Type,RT
Pond1_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,14
Pond9_Type,RT
Pond9_#Fishes,19
Pond2_Type,RT
Pond2_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,12
Pond8_Type,RT
Pond8_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:47:09 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.032
Pond3Fish1_PondTime,9.261
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.139
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.991
Pond3Fish2_PondTime,17.081
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1185.319
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.807
Pond3Fish3_PondTime,25.446
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1176.954
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.879
Pond3Fish4_PondTime,34.479
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1167.921
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.811
Pond3Fish5_PondTime,44.348
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
Pond3Fish5_TimeLeft,1158.052
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.966
Pond3Fish6_PondTime,55.28
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,60
Pond3Fish6_TimeLeft,1147.12
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,0.783
Pond3Fish7_PondTime,67.646
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,70
Pond3Fish7_TimeLeft,1134.754
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,1.145
Pond3Fish8_PondTime,82.013
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,80
Pond3Fish8_TimeLeft,1120.387
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,0.85
Pond3Fish9_PondTime,99.379
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,90
Pond3Fish9_TimeLeft,1103.021
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,15
Pond3Fish10_CatchTime,0.978
Pond3Fish10_PondTime,121.747
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,100
Pond3Fish10_TimeLeft,1080.653
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,31.304
PondTime,152.231
TimeLeft,1049.668
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,17.58021606132388
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.818
Pond1Fish1_PondTime,8.018
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,110
Pond1Fish1_TimeLeft,1023.451
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.963
Pond1Fish2_PondTime,14.384
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,120
Pond1Fish2_TimeLeft,1017.086
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,21.099
Pond1Fish3_PondOutcome,20
Pond1Fish3_TotalOutcome,120
Pond1Fish3_TimeLeft,1010.371
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.726
Pond1Fish4_PondTime,28.086
Pond1Fish4_PondOutcome,30
Pond1Fish4_TotalOutcome,130
Pond1Fish4_TimeLeft,1003.384
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.872
Pond1Fish5_PondTime,35.45
Pond1Fish5_PondOutcome,40
Pond1Fish5_TotalOutcome,140
Pond1Fish5_TimeLeft,996.02
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,43.333
Pond1Fish6_PondOutcome,40
Pond1Fish6_TotalOutcome,140
Pond1Fish6_TimeLeft,988.137
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,0.691
Pond1Fish7_PondTime,51.985
Pond1Fish7_PondOutcome,50
Pond1Fish7_TotalOutcome,150
Pond1Fish7_TimeLeft,979.485
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,0.704
Pond1Fish8_PondTime,61.018
Pond1Fish8_PondOutcome,60
Pond1Fish8_TotalOutcome,160
Pond1Fish8_TimeLeft,970.452
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,golden
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.719
Pond1Fish9_PondTime,70.883
Pond1Fish9_PondOutcome,80
Pond1Fish9_TotalOutcome,180
Pond1Fish9_TimeLeft,960.587
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,0.705
Pond1Fish10_PondTime,81.818
Pond1Fish10_PondOutcome,90
Pond1Fish10_TotalOutcome,190
Pond1Fish10_TimeLeft,949.652
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,0.732
Pond1Fish11_PondTime,94.185
Pond1Fish11_PondOutcome,100
Pond1Fish11_TotalOutcome,200
Pond1Fish11_TimeLeft,937.285
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,10
Pond1Fish12_CatchTime,0.971
Pond1Fish12_PondTime,108.552
Pond1Fish12_PondOutcome,110
Pond1Fish12_TotalOutcome,210
Pond1Fish12_TimeLeft,922.918
Type,RT
FishN,13
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,12
Pond1Fish13_CatchTime,0.861
Pond1Fish13_PondTime,125.919
Pond1Fish13_PondOutcome,120
Pond1Fish13_TotalOutcome,220
Pond1Fish13_TimeLeft,905.55
Type,RT
FishN,13
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,15
Pond1Fish14_CatchTime,1.189
Pond1Fish14_PondTime,148.286
