,5aeb8d6b8db5b00001ad8d1a
PlayerDetails,5aeb8d6b8db5b00001ad8d1a
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,19
Pond11_Type,RT
Pond11_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,15
Pond3_Type,RT
Pond3_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,13
Pond2_Type,RT
Pond2_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 00:28:05 GMT-0600 (hora estándar central)
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.426
Pond4Fish1_PondTime,9.28
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1193.119
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.133
Pond4Fish2_PondTime,17.098
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,20
Pond4Fish2_TimeLeft,1185.301
PondEnd_LastFish,2
FishN,13
Type,RT
GiveUpTime,0.632
PondTime,25.121
TimeLeft,1176.775
PondOutcome,20
TotalOutcome,20
PondStart,PondStart
PondIntroTime,17.07711804425344
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.879
Pond5Fish1_PondTime,8.204
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,30
Pond5Fish1_TimeLeft,1150.866
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,2.038
Pond5Fish2_PondTime,14.632
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,40
Pond5Fish2_TimeLeft,1144.437
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.048
Pond5Fish3_PondTime,21.288
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,50
Pond5Fish3_TimeLeft,1137.782
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.669
Pond5Fish4_PondTime,28.269
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,60
Pond5Fish4_TimeLeft,1130.801
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.172
Pond5Fish5_PondTime,35.634
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,70
Pond5Fish5_TimeLeft,1123.436
PondEnd_LastFish,5
FishN,17
Type,RT
GiveUpTime,0.795
PondTime,35.806
TimeLeft,1122.76
PondOutcome,50
TotalOutcome,70
PondStart,PondStart
PondIntroTime,12.637692855205387
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,golden
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.977
Pond6Fish1_PondTime,8.018
Pond6Fish1_PondOutcome,20
Pond6Fish1_TotalOutcome,90
Pond6Fish1_TimeLeft,1101.477
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.338
Pond6Fish2_PondTime,14.383
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,100
Pond6Fish2_TimeLeft,1095.112
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.697
Pond6Fish3_PondTime,21.052
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,110
Pond6Fish3_TimeLeft,1088.443
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.387
Pond6Fish4_PondTime,28.029
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,120
Pond6Fish4_TimeLeft,1081.466
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.702
Pond6Fish5_PondTime,35.388
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,130
Pond6Fish5_TimeLeft,1074.107
PondEnd_LastFish,5
FishN,17
Type,RT
GiveUpTime,0.965
PondTime,43.127
TimeLeft,1065.864
PondOutcome,60
TotalOutcome,130
PondStart,PondStart
PondIntroTime,11.222679980564862
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.154
Pond2Fish1_PondTime,7.599
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,140
Pond2Fish1_TimeLeft,1046.416
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.597
Pond2Fish2_PondTime,13.489
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,150
Pond2Fish2_TimeLeft,1040.526
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.275
Pond2Fish3_PondTime,19.608
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,160
Pond2Fish3_TimeLeft,1034.407
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.14
Pond2Fish4_PondTime,25.991
Pond2Fish4_PondOutcome,40
