,5dc535a82bd18a3bdcf855a1
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1188.889
Pond3_Type,RT
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.811
Pond3Fish3_PondTime,17.238
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1182.759
Pond3_Type,RT
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.71
Pond3Fish4_PondTime,23.609
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1176.388
Pond3_Type,RT
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.739
Pond3Fish5_PondTime,30.259
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
Pond3Fish5_TimeLeft,1169.738
Pond3_Type,RT
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.05
Pond3Fish6_PondTime,37.243
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,60
Pond3Fish6_TimeLeft,1162.754
Pond3_GiveUpTime,0.971
Pond3_PondTime,45.064
Pond3_PondOutcome,60
Pond3_TotalOutcome,60
Pond3_TimeLeft,1154.932
Pond2IntroTime,18.168178994674236
Pond2_Type,RT
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.648
Pond2Fish1_PondTime,27.698
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,70
Pond2Fish1_TimeLeft,1127.234
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.956
Pond2Fish2_PondTime,35.077
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,80
Pond2Fish2_TimeLeft,1119.855
Pond2_GiveUpTime,0.307
Pond2_PondTime,42.486
Pond2_PondOutcome,20
Pond2_TotalOutcome,80
Pond2_TimeLeft,1112.446
Pond6IntroTime,19.92582324659452
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,0.804
Pond6Fish1_PondTime,29.437
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,90
Pond6Fish1_TimeLeft,1083.009
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.771
Pond6Fish2_PondTime,36.8
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,100
Pond6Fish2_TimeLeft,1075.646
Pond6_Type,RT
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.6
Pond6Fish3_PondTime,44.617
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,110
Pond6Fish3_TimeLeft,1067.828
Pond6_Type,RT
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.743
Pond6Fish4_PondTime,52.989
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,120
Pond6Fish4_TimeLeft,1059.457
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.631
Pond6Fish5_PondTime,62.019
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,130
Pond6Fish5_TimeLeft,1050.427
Pond6_GiveUpTime,0.481
Pond6_PondTime,71.578
Pond6_PondOutcome,50
Pond6_TotalOutcome,130
Pond6_TimeLeft,1040.868
Pond12IntroTime,18.087549386546016
Pond12_Type,RT
Pond12Fish1_FishType,golden
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.825
Pond12Fish1_PondTime,27.309
Pond12Fish1_PondOutcome,20
Pond12Fish1_TotalOutcome,150
Pond12Fish1_TimeLeft,1013.559
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.685
Pond12Fish2_PondTime,34.308
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,160
Pond12Fish2_TimeLeft,1006.559
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.636
Pond12Fish3_PondTime,41.68
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,170
Pond12Fish3_TimeLeft,999.188
Pond12_Type,RT
Pond12Fish4_FishType,golden
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.828
Pond12Fish4_PondTime,49.497
Pond12Fish4_PondOutcome,60
Pond12Fish4_TotalOutcome,190
Pond12Fish4_TimeLeft,991.371
Pond12_GiveUpTime,0.722
Pond12_PondTime,57.935
Pond12_PondOutcome,60
Pond12_TotalOutcome,190
Pond12_TimeLeft,982.933
Pond10IntroTime,12.46400929056108
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.741
Pond10Fish1_PondTime,21.399
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,200
Pond10Fish1_TimeLeft,961.534
Pond10_Type,RT
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.845
Pond10Fish2_PondTime,28.049
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,210
Pond10Fish2_TimeLeft,954.884
Pond10_Type,RT
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.841
Pond10Fish3_PondTime,35.034
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,220
Pond10Fish3_TimeLeft,947.899
Pond10_Type,RT
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.872
Pond10Fish4_PondTime,42.402
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,230
Pond10Fish4_TimeLeft,940.531
Pond10_Type,RT
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,0.912
Pond10Fish5_PondTime,50.218
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,240
Pond10Fish5_TimeLeft,932.715
Pond10_Type,RT
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.046
Pond10Fish6_PondTime,58.586
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,250
Pond10Fish6_TimeLeft,924.347
Pond10_Type,RT
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,0.696
Pond10Fish7_PondTime,67.62
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,260
Pond10Fish7_TimeLeft,915.313
Pond10_Type,RT
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,0.729
Pond10Fish8_PondTime,77.488
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,270
Pond10Fish8_TimeLeft,905.444
Pond10_GiveUpTime,0.422
Pond10_PondTime,88.186
Pond10_PondOutcome,80
Pond10_TotalOutcome,270
Pond10_TimeLeft,894.747
Pond4IntroTime,11.749405439477414
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.771
Pond4Fish1_PondTime,20.389
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,280
Pond4Fish1_TimeLeft,874.358
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.796
Pond4Fish2_PondTime,26.754
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,290
Pond4Fish2_TimeLeft,867.993
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.001
Pond4Fish3_PondTime,33.422
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,300
Pond4Fish3_TimeLeft,861.325
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.684
Pond4Fish4_PondTime,40.418
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,310
Pond4Fish4_TimeLeft,854.329
Pond4_GiveUpTime,0.521
Pond4_PondTime,47.772
Pond4_PondOutcome,40
Pond4_TotalOutcome,310
Pond4_TimeLeft,846.975
Pond8IntroTime,14.567715201992542
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.804
Pond8Fish1_PondTime,24.921
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,320
Pond8Fish1_TimeLeft,822.054
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.739
Pond8Fish2_PondTime,33.289
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,330
Pond8Fish2_TimeLeft,813.686
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.729
Pond8Fish3_PondTime,42.328
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,340
Pond8Fish3_TimeLeft,804.647
Pond8_Type,RT
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.904
Pond8Fish4_PondTime,52.198
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,360
Pond8Fish4_TimeLeft,794.777
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.104
Pond8Fish5_PondTime,63.134
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,370
Pond8Fish5_TimeLeft,783.841
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.738
Pond8Fish6_PondTime,75.516
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,380
Pond8Fish6_TimeLeft,771.459
Pond8_Type,RT
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.796
Pond8Fish7_PondTime,89.887
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,390
Pond8Fish7_TimeLeft,757.088
Pond8_GiveUpTime,0.411
Pond8_PondTime,107.01
Pond8_PondOutcome,80
Pond8_TotalOutcome,390
Pond8_TimeLeft,739.965
Pond9IntroTime,12.069091896992177
Pond9_Type,RT
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.268
Pond9Fish1_PondTime,20.714
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,400
Pond9Fish1_TimeLeft,719.251
Pond9_Type,RT
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,27.15
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,400
Pond9Fish2_TimeLeft,712.815
Pond9_Type,RT
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,33.868
Pond9Fish3_PondOutcome,10
Pond9Fish3_TotalOutcome,400
Pond9Fish3_TimeLeft,706.097
Pond9_Type,RT
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,888.547
Pond9Fish4_PondOutcome,10
Pond9Fish4_TotalOutcome,400
Pond9Fish4_TimeLeft,-148.582
Pond9_Type,RT
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.926
Pond9Fish5_PondTime,895.946
Pond9Fish5_PondOutcome,20
Pond9Fish5_TotalOutcome,410
Pond9Fish5_TimeLeft,-155.981
Pond9_Type,RT
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.971
Pond9Fish6_PondTime,904.595
Pond9Fish6_PondOutcome,30
Pond9Fish6_TotalOutcome,420
Pond9Fish6_TimeLeft,-164.63
Pond9_Type,RT
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.898
Pond9Fish7_PondTime,912.965
Pond9Fish7_PondOutcome,40
Pond9Fish7_TotalOutcome,430
Pond9Fish7_TimeLeft,-173
Pond9_Type,RT
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.033
Pond9Fish8_PondTime,922
Pond9Fish8_PondOutcome,50
Pond9Fish8_TotalOutcome,440
Pond9Fish8_TimeLeft,-182.035
Pond9_GiveUpTime,0.804
Pond9_PondTime,932.302
Pond9_PondOutcome,50
Pond9_TotalOutcome,440
Pond9_TimeLeft,-192.337
Pond1IntroTime,15.142158220987767
Pond1_Type,RT
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.635
Pond1Fish1_PondTime,25.528
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,450
Pond1Fish1_TimeLeft,-217.865
Pond1_Type,RT
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.128
Pond1Fish2_PondTime,33.901
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,460
Pond1Fish2_TimeLeft,-226.238
Pond1_Type,RT
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.857
Pond1Fish3_PondTime,42.938
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,470
Pond1Fish3_TimeLeft,-235.275
Pond1_Type,RT
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,-1
Pond1Fish4_PondTime,52.868
Pond1Fish4_PondOutcome,30
Pond1Fish4_TotalOutcome,470
Pond1Fish4_TimeLeft,-245.205
Pond1_Type,RT
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,-1
Pond1Fish5_PondTime,63.869
Pond1Fish5_PondOutcome,30
Pond1Fish5_TotalOutcome,470
Pond1Fish5_TimeLeft,-256.206
Pond1_Type,RT
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,76.288
Pond1Fish6_PondOutcome,30
Pond1Fish6_TotalOutcome,470
Pond1Fish6_TimeLeft,-268.625
