,5b4ee6a830e986000136c7a8
Pond1Fish2_PondTime,15.753
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1184.223
Pond1_Type,RT
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.871
Pond1Fish3_PondTime,24.817
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1175.159
Pond1_Type,RT
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.387
Pond1Fish4_PondTime,34.705
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
Pond1Fish4_TimeLeft,1165.271
Pond1_Type,RT
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.319
Pond1Fish5_PondTime,45.671
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1154.305
Pond1_Type,RT
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.153
Pond1Fish6_PondTime,58.081
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,60
Pond1Fish6_TimeLeft,1141.895
Pond1_GiveUpTime,0.884
Pond1_PondTime,58.717
Pond1_PondOutcome,60
Pond1_TotalOutcome,60
Pond1_TimeLeft,1141.259
Pond12IntroTime,13.48704510834068
Pond12_Type,RT
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.828
Pond12Fish1_PondTime,22.886
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,70
Pond12Fish1_TimeLeft,1118.373
Pond12_Type,RT
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,29.959
Pond12Fish2_PondOutcome,10
Pond12Fish2_TotalOutcome,70
Pond12Fish2_TimeLeft,1111.299
Pond12_Type,RT
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,-1
Pond12Fish3_PondTime,37.421
Pond12Fish3_PondOutcome,10
Pond12Fish3_TotalOutcome,70
Pond12Fish3_TimeLeft,1103.838
Pond12_Type,RT
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.916
Pond12Fish4_PondTime,45.282
Pond12Fish4_PondOutcome,20
Pond12Fish4_TotalOutcome,80
Pond12Fish4_TimeLeft,1095.977
Pond12_Type,RT
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.924
Pond12Fish5_PondTime,53.67
Pond12Fish5_PondOutcome,30
Pond12Fish5_TotalOutcome,90
Pond12Fish5_TimeLeft,1087.589
Pond12_Type,RT
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.879
Pond12Fish6_PondTime,62.746
Pond12Fish6_PondOutcome,40
Pond12Fish6_TotalOutcome,100
Pond12Fish6_TimeLeft,1078.513
Pond12_Type,RT
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.747
Pond12Fish7_PondTime,72.664
Pond12Fish7_PondOutcome,50
Pond12Fish7_TotalOutcome,110
Pond12Fish7_TimeLeft,1068.594
Pond12_Type,RT
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.958
Pond12Fish8_PondTime,83.623
Pond12Fish8_PondOutcome,60
Pond12Fish8_TotalOutcome,120
Pond12Fish8_TimeLeft,1057.636
Pond12_Type,RT
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.951
Pond12Fish9_PondTime,96.062
Pond12Fish9_PondOutcome,70
Pond12Fish9_TotalOutcome,130
Pond12Fish9_TimeLeft,1045.197
Pond12_GiveUpTime,0.984
Pond12_PondTime,96.585
Pond12_PondOutcome,70
Pond12_TotalOutcome,130
Pond12_TimeLeft,1044.674
Pond10IntroTime,18.9992261887528
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.885
Pond10Fish1_PondTime,27.976
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,140
Pond10Fish1_TimeLeft,1016.698
Pond10_Type,RT
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.797
Pond10Fish2_PondTime,34.672
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,150
Pond10Fish2_TimeLeft,1010.002
Pond10_Type,RT
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.943
Pond10Fish3_PondTime,41.712
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,160
Pond10Fish3_TimeLeft,1002.962
Pond10_Type,RT
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.919
Pond10Fish4_PondTime,49.115
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,170
Pond10Fish4_TimeLeft,995.558
Pond10_Type,RT
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.603
Pond10Fish5_PondTime,56.971
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,180
Pond10Fish5_TimeLeft,987.702
Pond10_Type,RT
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.066
Pond10Fish6_PondTime,65.383
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,190
Pond10Fish6_TimeLeft,979.291
Pond10_GiveUpTime,0.62
Pond10_PondTime,74.587
Pond10_PondOutcome,60
Pond10_TotalOutcome,190
Pond10_TimeLeft,970.087
Pond11IntroTime,18.778439317829907
Pond11_Type,RT
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.873
Pond11Fish1_PondTime,28.371
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,200
Pond11Fish1_TimeLeft,941.716
Pond11_Type,RT
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.895
Pond11Fish2_PondTime,35.774
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,210
Pond11Fish2_TimeLeft,934.312
Pond11_Type,RT
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.78
Pond11Fish3_PondTime,43.643
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,220
Pond11Fish3_TimeLeft,926.444
Pond11_Type,RT
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.907
Pond11Fish4_PondTime,52.058
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,230
Pond11Fish4_TimeLeft,918.029
Pond11_Type,RT
Pond11Fish5_FishType,golden
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.919
Pond11Fish5_PondTime,61.128
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,250
Pond11Fish5_TimeLeft,908.958
Pond11_Type,RT
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.755
Pond11Fish6_PondTime,71.031
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,260
Pond11Fish6_TimeLeft,899.056
Pond11_Type,RT
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,0.698
Pond11Fish7_PondTime,82.028
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,270
Pond11Fish7_TimeLeft,888.059
Pond11_Type,RT
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.151
Pond11Fish8_PondTime,94.427
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,280
Pond11Fish8_TimeLeft,875.66
Pond11_Type,RT
Pond11Fish9_FishType,golden
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.939
Pond11Fish9_PondTime,108.814
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,300
Pond11Fish9_TimeLeft,861.273
Pond11_GiveUpTime,0.651
Pond11_PondTime,126.624
Pond11_PondOutcome,110
Pond11_TotalOutcome,300
Pond11_TimeLeft,843.463
Pond2IntroTime,13.828564679715782
Pond2_Type,RT
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.967
Pond2Fish1_PondTime,23.418
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,310
Pond2Fish1_TimeLeft,820.045
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.563
Pond2Fish2_PondTime,30.851
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,320
Pond2Fish2_TimeLeft,812.612
Pond2_Type,RT
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,0.831
Pond2Fish3_PondTime,38.717
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,330
Pond2Fish3_TimeLeft,804.746
Pond2_Type,RT
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.021
Pond2Fish4_PondTime,47.107
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,340
Pond2Fish4_TimeLeft,796.356
Pond2_Type,RT
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.465
Pond2Fish5_PondTime,56.178
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,350
Pond2Fish5_TimeLeft,787.285
Pond2_Type,RT
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.941
Pond2Fish6_PondTime,66.094
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,360
Pond2Fish6_TimeLeft,777.369
Pond2_Type,RT
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.799
Pond2Fish7_PondTime,77.094
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,370
Pond2Fish7_TimeLeft,766.369
Pond2_GiveUpTime,0.702
Pond2_PondTime,89.686
Pond2_PondOutcome,70
Pond2_TotalOutcome,370
Pond2_TimeLeft,753.777
Pond7IntroTime,18.943139943294227
Pond7_Type,RT
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.091
Pond7Fish1_PondTime,29.38
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,380
Pond7Fish1_TimeLeft,724.397
Pond7_Type,RT
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.017
Pond7Fish2_PondTime,37.787
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,390
Pond7Fish2_TimeLeft,715.99
Pond7_Type,RT
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.841
Pond7Fish3_PondTime,46.828
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,410
Pond7Fish3_TimeLeft,706.949
Pond7_Type,RT
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.852
Pond7Fish4_PondTime,56.724
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,420
Pond7Fish4_TimeLeft,697.053
Pond7_Type,RT
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.8
Pond7Fish5_PondTime,67.684
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,430
Pond7Fish5_TimeLeft,686.093
Pond7_Type,RT
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.225
Pond7Fish6_PondTime,80.08
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,440
Pond7Fish6_TimeLeft,673.697
Pond7_Type,RT
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.999
Pond7Fish7_PondTime,94.46
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,450
Pond7Fish7_TimeLeft,659.317
Pond7_Type,RT
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,0.756
Pond7Fish8_PondTime,111.888
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,460
Pond7Fish8_TimeLeft,641.889
Pond7_GiveUpTime,3.421
Pond7_PondTime,114.659
Pond7_PondOutcome,90
Pond7_TotalOutcome,460
Pond7_TimeLeft,639.118
Pond4IntroTime,13.443485577590764
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.148
Pond4Fish1_PondTime,22.141
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,470
Pond4Fish1_TimeLeft,616.976
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.195
Pond4Fish2_PondTime,28.518
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,480
Pond4Fish2_TimeLeft,610.6
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.822
Pond4Fish3_PondTime,35.211
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,490
Pond4Fish3_TimeLeft,603.907
Pond4_Type,RT
Pond4Fish4_FishType,golden
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.938
Pond4Fish4_PondTime,42.236
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,510
Pond4Fish4_TimeLeft,596.881
Pond4_Type,RT
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.799
Pond4Fish5_PondTime,49.655
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,520
Pond4Fish5_TimeLeft,589.463
Pond4_Type,RT
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.052
Pond4Fish6_PondTime,57.504
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,530
Pond4Fish6_TimeLeft,581.614
Pond4_Type,RT
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,1.01
Pond4Fish7_PondTime,65.939
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,540
Pond4Fish7_TimeLeft,573.179
Pond4_Type,RT
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.98
Pond4Fish8_PondTime,75.035
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,550
Pond4Fish8_TimeLeft,564.083
Pond4_GiveUpTime,0.719
Pond4_PondTime,85.072
Pond4_PondOutcome,90
Pond4_TotalOutcome,550
Pond4_TimeLeft,554.046
Pond9IntroTime,14.977858408819884
Pond9_Type,RT
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.988
Pond9Fish1_PondTime,23.714
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,560
Pond9Fish1_TimeLeft,530.331
Pond9_Type,RT
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.942
Pond9Fish2_PondTime,30.127
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,570
Pond9Fish2_TimeLeft,523.919
Pond9_Type,RT
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.265
Pond9Fish3_PondTime,36.819
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,580
Pond9Fish3_TimeLeft,517.226
Pond9_Type,RT
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.094
Pond9Fish4_PondTime,43.85
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,590
Pond9Fish4_TimeLeft,510.195
Pond9_Type,RT
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.915
Pond9Fish5_PondTime,51.25
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,600
Pond9Fish5_TimeLeft,502.796
Pond9_Type,RT
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.159
Pond9Fish6_PondTime,59.121
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,610
Pond9Fish6_TimeLeft,494.925
Pond9_Type,RT
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.798
Pond9Fish7_PondTime,67.553
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,620
Pond9Fish7_TimeLeft,486.492
Pond9_Type,RT
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.212
Pond9Fish8_PondTime,76.607
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,630
Pond9Fish8_TimeLeft,477.439
Pond9_Type,RT
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.144
Pond9Fish9_PondTime,86.482
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,640
Pond9Fish9_TimeLeft,467.564
Pond9_Type,RT
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.819
Pond9Fish10_PondTime,97.454
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,650
Pond9Fish10_TimeLeft,456.592
Pond9_GiveUpTime,0.633
Pond9_PondTime,110.035
Pond9_PondOutcome,100
Pond9_TotalOutcome,650
Pond9_TimeLeft,444.011
Pond6IntroTime,19.710593146737665
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.036
Pond6Fish1_PondTime,29.313
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,660
Pond6Fish1_TimeLeft,414.698
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.025
Pond6Fish2_PondTime,36.714
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,670
Pond6Fish2_TimeLeft,407.297
Pond6_Type,RT
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.029
Pond6Fish3_PondTime,44.593
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,680
Pond6Fish3_TimeLeft,399.418
Pond6_Type,RT
Pond6Fish4_FishType,golden
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.939
Pond6Fish4_PondTime,52.999
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,700
Pond6Fish4_TimeLeft,391.011
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.921
Pond6Fish5_PondTime,62.059
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,710
Pond6Fish5_TimeLeft,381.952
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.78
Pond6Fish6_PondTime,71.963
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,720
Pond6Fish6_TimeLeft,372.048
Pond6_Type,RT
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.438
Pond6Fish7_PondTime,82.958
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,730
Pond6Fish7_TimeLeft,361.052
Pond6_GiveUpTime,0.744
Pond6_PondTime,83.722
Pond6_PondOutcome,80
Pond6_TotalOutcome,730
Pond6_TimeLeft,360.289
Pond5IntroTime,14.444394181482494
Pond5_Type,RT
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.02
Pond5Fish1_PondTime,22.743
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,740
Pond5Fish1_TimeLeft,337.546
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.127
Pond5Fish2_PondTime,28.679
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,750
Pond5Fish2_TimeLeft,331.609
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.252
Pond5Fish3_PondTime,34.822
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,760
Pond5Fish3_TimeLeft,325.467
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.969
Pond5Fish4_PondTime,41.243
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,770
Pond5Fish4_TimeLeft,319.046
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.936
Pond5Fish5_PondTime,47.951
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,780
Pond5Fish5_TimeLeft,312.337
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.04
Pond5Fish6_PondTime,54.967
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,790
Pond5Fish6_TimeLeft,305.322
Pond5_Type,RT
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.044
Pond5Fish7_PondTime,62.383
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,810
Pond5Fish7_TimeLeft,297.905
Pond5_Type,RT
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.865
Pond5Fish8_PondTime,70.244
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,830
Pond5Fish8_TimeLeft,290.045
Pond5_Type,RT
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.913
Pond5Fish9_PondTime,78.632
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,840
Pond5Fish9_TimeLeft,281.657
Pond5_Type,RT
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.053
Pond5Fish10_PondTime,87.706
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,850
Pond5Fish10_TimeLeft,272.583
Pond5_Type,RT
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.131
Pond5Fish11_PondTime,97.609
Pond5Fish11_PondOutcome,130
Pond5Fish11_TotalOutcome,860
Pond5Fish11_TimeLeft,262.68
Pond5_GiveUpTime,0.839
Pond5_PondTime,98.161
Pond5_PondOutcome,130
Pond5_TotalOutcome,860
Pond5_TimeLeft,262.128
Pond3IntroTime,19.588586546014994
Pond3_Type,RT
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.774
Pond3Fish1_PondTime,27.912
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,870
Pond3Fish1_TimeLeft,234.216
Pond3_Type,RT
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.847
Pond3Fish2_PondTime,33.802
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,880
Pond3Fish2_TimeLeft,228.325
Pond3_Type,RT
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.031
Pond3Fish3_PondTime,39.957
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,890
Pond3Fish3_TimeLeft,222.171
Pond3_Type,RT
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.044
Pond3Fish4_PondTime,46.367
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,900
Pond3Fish4_TimeLeft,215.76
Pond3_Type,RT
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.854
Pond3Fish5_PondTime,53.031
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,910
Pond3Fish5_TimeLeft,209.097
Pond3_Type,RT
Pond3Fish6_FishType,blue
