,5c629a00794c4a0001058978
Pond7_Type,RT
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.695
Pond7Fish3_PondTime,24.734
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1175.263
Pond7_Type,RT
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.767
Pond7Fish4_PondTime,34.601
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,40
Pond7Fish4_TimeLeft,1165.396
Pond7_Type,RT
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.115
Pond7Fish5_PondTime,45.533
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,50
Pond7Fish5_TimeLeft,1154.464
Pond7_Type,RT
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.849
Pond7Fish6_PondTime,57.892
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,60
Pond7Fish6_TimeLeft,1142.105
Pond7_Type,RT
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.997
Pond7Fish7_PondTime,72.255
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,70
Pond7Fish7_TimeLeft,1127.742
Pond7_GiveUpTime,15.022
Pond7_PondTime,86.872
Pond7_PondOutcome,70
Pond7_TotalOutcome,70
Pond7_TimeLeft,1113.124
Pond5IntroTime,14.676507071126252
Pond5_Type,RT
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.852
Pond5Fish1_PondTime,22.887
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,90
Pond5Fish1_TimeLeft,1090.237
Pond5_Type,RT
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.844
Pond5Fish2_PondTime,28.778
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,100
Pond5Fish2_TimeLeft,1084.346
Pond5_Type,RT
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.653
Pond5Fish3_PondTime,34.891
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,110
Pond5Fish3_TimeLeft,1078.233
Pond5_Type,RT
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.648
Pond5Fish4_PondTime,41.249
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,120
Pond5Fish4_TimeLeft,1071.875
Pond5_Type,RT
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.796
Pond5Fish5_PondTime,47.897
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,130
Pond5Fish5_TimeLeft,1065.227
Pond5_Type,RT
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.637
Pond5Fish6_PondTime,54.874
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,140
Pond5Fish6_TimeLeft,1058.25
Pond5_Type,RT
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.934
Pond5Fish7_PondTime,62.229
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,150
Pond5Fish7_TimeLeft,1050.895
Pond5_Type,RT
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.543
Pond5Fish8_PondTime,70.042
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,160
Pond5Fish8_TimeLeft,1043.082
Pond5_Type,RT
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.744
Pond5Fish9_PondTime,78.404
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,170
Pond5Fish9_TimeLeft,1034.72
Pond5_GiveUpTime,1.396
Pond5_PondTime,79.145
Pond5_PondOutcome,100
Pond5_TotalOutcome,170
Pond5_TimeLeft,1033.979
Pond2IntroTime,17.15197617188096
Pond2_Type,RT
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,0.906
Pond2Fish1_PondTime,27.278
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,180
Pond2Fish1_TimeLeft,1006.701
Pond2_Type,RT
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.85
Pond2Fish2_PondTime,34.64
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,190
Pond2Fish2_TimeLeft,999.338
Pond2_Type,RT
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,0.845
Pond2Fish3_PondTime,42.452
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,200
Pond2Fish3_TimeLeft,991.527
Pond2_Type,RT
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.567
Pond2Fish4_PondTime,50.814
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,210
Pond2Fish4_TimeLeft,983.165
Pond2_Type,RT
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.715
Pond2Fish5_PondTime,59.836
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,220
Pond2Fish5_TimeLeft,974.143
Pond2_Type,RT
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.814
Pond2Fish6_PondTime,70.361
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,230
Pond2Fish6_TimeLeft,963.618
Pond2_Type,RT
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.313
Pond2Fish7_PondTime,81.291
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,240
Pond2Fish7_TimeLeft,952.688
Pond2_Type,RT
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.822
Pond2Fish8_PondTime,93.648
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,250
Pond2Fish8_TimeLeft,940.331
Pond2_Type,RT
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.012
Pond2Fish9_PondTime,109.286
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,260
Pond2Fish9_TimeLeft,924.693
Pond2_GiveUpTime,1.335
Pond2_PondTime,110.231
Pond2_PondOutcome,90
Pond2_TotalOutcome,260
Pond2_TimeLeft,923.748
Pond9IntroTime,12.515709230210632
Pond9_Type,RT
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.268
Pond9Fish1_PondTime,23.91
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,270
Pond9Fish1_TimeLeft,899.838
Pond9_Type,RT
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.158
Pond9Fish2_PondTime,30.272
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,280
Pond9Fish2_TimeLeft,893.476
Pond9_Type,RT
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.874
Pond9Fish3_PondTime,38.895
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,290
Pond9Fish3_TimeLeft,884.853
Pond9_Type,RT
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.867
Pond9Fish4_PondTime,49.896
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,300
Pond9Fish4_TimeLeft,873.852
Pond9_Type,RT
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.969
Pond9Fish5_PondTime,57.948
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,310
Pond9Fish5_TimeLeft,865.8
Pond9_Type,RT
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,-1
Pond9Fish6_PondTime,67.056
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,310
Pond9Fish6_TimeLeft,856.692
Pond9_Type,RT
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.602
Pond9Fish7_PondTime,76.203
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,320
Pond9Fish7_TimeLeft,847.545
Pond9_Type,RT
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.622
Pond9Fish8_PondTime,85.23
Pond9Fish8_PondOutcome,70
Pond9Fish8_TotalOutcome,330
Pond9Fish8_TimeLeft,838.518
Pond9_Type,RT
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.782
Pond9Fish9_PondTime,95.085
Pond9Fish9_PondOutcome,80
Pond9Fish9_TotalOutcome,340
Pond9Fish9_TimeLeft,828.663
Pond9_Type,RT
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.847
Pond9Fish10_PondTime,106.015
Pond9Fish10_PondOutcome,90
Pond9Fish10_TotalOutcome,350
Pond9Fish10_TimeLeft,817.733
Pond9_Type,RT
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.306
Pond9Fish11_PondTime,121.895
Pond9Fish11_PondOutcome,100
Pond9Fish11_TotalOutcome,360
Pond9Fish11_TimeLeft,801.853
Pond9_Type,RT
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.844
Pond9Fish12_PondTime,137.897
Pond9Fish12_PondOutcome,110
Pond9Fish12_TotalOutcome,370
Pond9Fish12_TimeLeft,785.85
Pond9_Type,RT
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,0.772
Pond9Fish13_PondTime,157.896
Pond9Fish13_PondOutcome,120
Pond9Fish13_TotalOutcome,380
Pond9Fish13_TimeLeft,765.852
Pond9_Type,RT
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,1.039
Pond9Fish14_PondTime,182.897
Pond9Fish14_PondOutcome,130
Pond9Fish14_TotalOutcome,390
Pond9Fish14_TimeLeft,740.851
Pond9_GiveUpTime,8.057
Pond9_PondTime,188.85
Pond9_PondOutcome,130
Pond9_TotalOutcome,390
Pond9_TimeLeft,734.898
Pond3IntroTime,17.75470446329564
Pond3_Type,RT
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.077
Pond3Fish1_PondTime,28.288
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,400
Pond3Fish1_TimeLeft,706.61
Pond3_Type,RT
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.804
Pond3Fish2_PondTime,36.046
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,410
Pond3Fish2_TimeLeft,698.852
Pond3_Type,RT
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,42.215
Pond3Fish3_PondOutcome,20
Pond3Fish3_TotalOutcome,410
Pond3Fish3_TimeLeft,692.683
Pond3_Type,RT
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.11
Pond3Fish4_PondTime,48.578
Pond3Fish4_PondOutcome,30
Pond3Fish4_TotalOutcome,420
Pond3Fish4_TimeLeft,686.32
Pond3_Type,RT
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.958
Pond3Fish5_PondTime,56.521
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,430
Pond3Fish5_TimeLeft,678.377
Pond3_Type,RT
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.494
Pond3Fish6_PondTime,63.493
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,440
Pond3Fish6_TimeLeft,671.405
Pond3_Type,RT
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.733
Pond3Fish7_PondTime,71.852
Pond3Fish7_PondOutcome,60
Pond3Fish7_TotalOutcome,450
Pond3Fish7_TimeLeft,663.046
Pond3_Type,RT
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.548
Pond3Fish8_PondTime,79.975
Pond3Fish8_PondOutcome,70
Pond3Fish8_TotalOutcome,460
Pond3Fish8_TimeLeft,654.922
Pond3_Type,RT
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.628
Pond3Fish9_PondTime,88.335
Pond3Fish9_PondOutcome,80
Pond3Fish9_TotalOutcome,470
Pond3Fish9_TimeLeft,646.563
Pond3_Type,RT
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.725
Pond3Fish10_PondTime,97.363
Pond3Fish10_PondOutcome,90
Pond3Fish10_TotalOutcome,480
Pond3Fish10_TimeLeft,637.535
Pond3_Type,RT
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.781
Pond3Fish11_PondTime,107.887
Pond3Fish11_PondOutcome,100
Pond3Fish11_TotalOutcome,490
Pond3Fish11_TimeLeft,627.011
Pond3_Type,RT
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.627
Pond3Fish12_PondTime,119.711
Pond3Fish12_PondOutcome,110
Pond3Fish12_TotalOutcome,500
Pond3Fish12_TimeLeft,615.187
Pond3_Type,RT
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,0.952
Pond3Fish13_PondTime,134.046
Pond3Fish13_PondOutcome,120
Pond3Fish13_TotalOutcome,510
Pond3Fish13_TimeLeft,600.852
Pond3_Type,RT
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,0.704
Pond3Fish14_PondTime,151.047
Pond3Fish14_PondOutcome,130
Pond3Fish14_TotalOutcome,520
Pond3Fish14_TimeLeft,583.851
Pond3_Type,RT
Pond3Fish15_FishType,blue
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,0.983
Pond3Fish15_PondTime,170.046
Pond3Fish15_PondOutcome,140
Pond3Fish15_TotalOutcome,530
Pond3Fish15_TimeLeft,564.852
Pond3_Type,RT
Pond3Fish16_FishType,blue
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,0.953
Pond3Fish16_PondTime,194.204
Pond3Fish16_PondOutcome,150
Pond3Fish16_TotalOutcome,540
Pond3Fish16_TimeLeft,540.694
Pond3_GiveUpTime,22.976
Pond3_PondTime,216.735
Pond3_PondOutcome,150
Pond3_TotalOutcome,540
Pond3_TimeLeft,518.163
Pond4IntroTime,17.179334165994078
Pond4_Type,RT
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.063
Pond4Fish1_PondTime,25.813
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,550
Pond4Fish1_TimeLeft,492.35
Pond4_Type,RT
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.849
Pond4Fish2_PondTime,32.172
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,560
Pond4Fish2_TimeLeft,485.991
Pond4_Type,RT
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.076
Pond4Fish3_PondTime,38.819
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,570
Pond4Fish3_TimeLeft,479.344
Pond4_Type,RT
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.959
Pond4Fish4_PondTime,45.798
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,580
Pond4Fish4_TimeLeft,472.365
Pond4_Type,RT
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.128
Pond4Fish5_PondTime,53.16
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,590
Pond4Fish5_TimeLeft,465.003
Pond4_Type,RT
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,1.49
Pond4Fish6_PondTime,60.97
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,600
Pond4Fish6_TimeLeft,457.193
Pond4_Type,RT
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,-1
Pond4Fish7_PondTime,69.385
Pond4Fish7_PondOutcome,60
Pond4Fish7_TotalOutcome,600
Pond4Fish7_TimeLeft,448.778
Pond4_Type,RT
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.809
Pond4Fish8_PondTime,78.423
Pond4Fish8_PondOutcome,70
Pond4Fish8_TotalOutcome,610
Pond4Fish8_TimeLeft,439.74
Pond4_Type,RT
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,1.029
Pond4Fish9_PondTime,88.283
Pond4Fish9_PondOutcome,80
Pond4Fish9_TotalOutcome,620
Pond4Fish9_TimeLeft,429.88
Pond4_Type,RT
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,0.97
Pond4Fish10_PondTime,99.214
Pond4Fish10_PondOutcome,90
Pond4Fish10_TotalOutcome,630
Pond4Fish10_TimeLeft,418.949
Pond4_Type,RT
Pond4Fish11_FishType,blue
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,-1
Pond4Fish11_PondTime,111.631
Pond4Fish11_PondOutcome,90
Pond4Fish11_TotalOutcome,630
Pond4Fish11_TimeLeft,406.532
Pond4_Type,RT
Pond4Fish12_FishType,blue
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,0.722
Pond4Fish12_PondTime,125.993
Pond4Fish12_PondOutcome,100
Pond4Fish12_TotalOutcome,640
Pond4Fish12_TimeLeft,392.169
Pond4_Type,RT
Pond4Fish13_FishType,blue
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,0.702
Pond4Fish13_PondTime,143.353
Pond4Fish13_PondOutcome,110
Pond4Fish13_TotalOutcome,650
Pond4Fish13_TimeLeft,374.81
Pond4_Type,RT
Pond4Fish14_FishType,blue
Pond4Fish14_FishLatency,15
Pond4Fish14_CatchTime,0.65
Pond4Fish14_PondTime,165.715
Pond4Fish14_PondOutcome,120
Pond4Fish14_TotalOutcome,660
Pond4Fish14_TimeLeft,352.448
Pond4_GiveUpTime,3.788
Pond4_PondTime,168.753
Pond4_PondOutcome,120
Pond4_TotalOutcome,660
Pond4_TimeLeft,349.41
Pond11IntroTime,16.244690387975425
Pond11_Type,RT
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.717
Pond11Fish1_PondTime,25.747
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,670
Pond11Fish1_TimeLeft,323.663
Pond11_Type,RT
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.776
Pond11Fish2_PondTime,33.11
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,680
Pond11Fish2_TimeLeft,316.3
Pond11_Type,RT
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.764
Pond11Fish3_PondTime,40.921
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,690
Pond11Fish3_TimeLeft,308.489
Pond11_Type,RT
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.982
Pond11Fish4_PondTime,49.283
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,700
Pond11Fish4_TimeLeft,300.126
Pond11_Type,RT
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.537
Pond11Fish5_PondTime,58.312
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,710
Pond11Fish5_TimeLeft,291.098
Pond11_Type,RT
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.047
Pond11Fish6_PondTime,68.172
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,720
Pond11Fish6_TimeLeft,281.238
Pond11_Type,RT
Pond11Fish7_FishType,golden
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,0.756
Pond11Fish7_PondTime,79.103
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,740
Pond11Fish7_TimeLeft,270.307
Pond11_Type,RT
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.643
Pond11Fish8_PondTime,91.464
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,750
Pond11Fish8_TimeLeft,257.946
Pond11_Type,RT
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.108
Pond11Fish9_PondTime,105.825
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,760
Pond11Fish9_TimeLeft,243.585
Pond11_Type,RT
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,0.998
Pond11Fish10_PondTime,123.186
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,770
Pond11Fish10_TimeLeft,226.224
Pond11_Type,RT
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,15
Pond11Fish11_CatchTime,0.588
Pond11Fish11_PondTime,145.546
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,780
Pond11Fish11_TimeLeft,203.864
Pond11_GiveUpTime,31.323
Pond11_PondTime,176.056
Pond11_PondOutcome,120
Pond11_TotalOutcome,780
Pond11_TimeLeft,173.354
Pond10IntroTime,16.193288173526525
Pond10_Type,RT
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.823
Pond10Fish1_PondTime,25.086
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,790
Pond10Fish1_TimeLeft,148.268
Pond10_Type,RT
Pond10Fish2_FishType,golden
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.747
Pond10Fish2_PondTime,31.728
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,810
Pond10Fish2_TimeLeft,141.626
Pond10_Type,RT
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.02
Pond10Fish3_PondTime,38.7
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,820
Pond10Fish3_TimeLeft,134.654
Pond10_Type,RT
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.656
Pond10Fish4_PondTime,46.062
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,830
Pond10Fish4_TimeLeft,127.292
Pond10_Type,RT
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,0.884
Pond10Fish5_PondTime,53.873
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,840
Pond10Fish5_TimeLeft,119.481
Pond10_Type,RT
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,0.646
Pond10Fish6_PondTime,62.235
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,860
Pond10Fish6_TimeLeft,111.119
Pond10_Type,RT
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.489
Pond10Fish7_PondTime,71.264
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,870
Pond10Fish7_TimeLeft,102.09
Pond10_Type,RT
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,0.726
Pond10Fish8_PondTime,81.125
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,880
Pond10Fish8_TimeLeft,92.229
Pond10_Type,RT
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,0.727
