,5d8d17dacb67210018b69dc3
PlayerDetails,5d8d17dacb67210018b69dc3
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,19
Pond2_Type,RD
Pond2_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,14
Pond8_Type,RD
Pond8_#Fishes,15
Pond9_Type,RD
Pond9_#Fishes,19
Pond1_Type,RD
Pond1_#Fishes,14
Pond10_Type,RD
Pond10_#Fishes,19
Pond4_Type,RD
Pond4_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,17
Pond5_Type,RD
Pond5_#Fishes,15
Pond8_Type,RD
Pond8_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:21:57 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.949
Pond6Fish1_PondTime,9.722
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1192.677
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.332
Pond6Fish2_PondTime,18.088
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1184.311
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.668
Pond6Fish3_PondTime,27.18
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,36
Pond6Fish3_TimeLeft,1175.219
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.882
Pond6Fish4_PondTime,37.043
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,48
Pond6Fish4_TimeLeft,1165.356
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,0.873
Pond6Fish5_PondTime,47.98
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1154.419
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.372
Pond6Fish6_PondTime,60.347
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,62
Pond6Fish6_TimeLeft,1142.052
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,0.553
PondTime,74.327
TimeLeft,1127.566
PondOutcome,62
TotalOutcome,62
PondStart,PondStart
PondIntroTime,13.272643079981208
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,0.687
Pond11Fish1_PondTime,7.689
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,74
Pond11Fish1_TimeLeft,1105.984
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,-1
Pond11Fish2_PondTime,13.63
Pond11Fish2_PondOutcome,12
Pond11Fish2_TotalOutcome,74
Pond11Fish2_TimeLeft,1100.044
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,gray
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,1.583
Pond11Fish3_PondTime,19.737
Pond11Fish3_PondOutcome,14
Pond11Fish3_TotalOutcome,76
Pond11Fish3_TimeLeft,1093.937
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,0.735
Pond11Fish4_PondTime,26.129
Pond11Fish4_PondOutcome,26
Pond11Fish4_TotalOutcome,88
Pond11Fish4_TimeLeft,1087.545
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,0.647
Pond11Fish5_PondTime,32.785
Pond11Fish5_PondOutcome,38
Pond11Fish5_TotalOutcome,100
Pond11Fish5_TimeLeft,1080.889
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,0.85
Pond11Fish6_PondTime,39.797
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,112
Pond11Fish6_TimeLeft,1073.877
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,1.152
Pond11Fish7_PondTime,47.163
Pond11Fish7_PondOutcome,62
Pond11Fish7_TotalOutcome,124
Pond11Fish7_TimeLeft,1066.511
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.019
Pond11Fish8_PondTime,54.981
Pond11Fish8_PondOutcome,74
Pond11Fish8_TotalOutcome,136
Pond11Fish8_TimeLeft,1058.693
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,0.686
Pond11Fish9_PondTime,63.418
Pond11Fish9_PondOutcome,86
Pond11Fish9_TotalOutcome,148
Pond11Fish9_TimeLeft,1050.256
Type,RD
FishN,16
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,0.717
Pond11Fish10_PondTime,72.515
Pond11Fish10_PondOutcome,98
Pond11Fish10_TotalOutcome,160
Pond11Fish10_TimeLeft,1041.159
Type,RD
FishN,16
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,0.968
Pond11Fish11_PondTime,82.376
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,172
Pond11Fish11_TimeLeft,1031.298
Type,RD
FishN,16
Fish,12
Pond11Fish12_FishType,blue
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,0.814
Pond11Fish12_PondTime,93.313
Pond11Fish12_PondOutcome,122
Pond11Fish12_TotalOutcome,184
Pond11Fish12_TimeLeft,1020.361
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,0.577
PondTime,105.49
TimeLeft,1007.68
PondOutcome,122
TotalOutcome,184
PondStart,PondStart
PondIntroTime,16.792016804683954
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.184
Pond2Fish1_PondTime,9.727
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,196
