,5b780f891c89e50001d6e8b1
PlayerDetails,5b780f891c89e50001d6e8b1
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,RD
Pond8_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,17
Pond10_Type,RD
Pond10_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,18
Pond4_Type,RD
Pond4_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,17
Pond12_Type,RD
Pond12_#Fishes,17
Pond9_Type,RD
Pond9_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 13:14:05 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.945
Pond8Fish1_PondTime,9.71
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1192.689
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.015
Pond8Fish2_PondTime,18.065
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,14
Pond8Fish2_TimeLeft,1184.334
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.137
Pond8Fish3_PondTime,27.087
Pond8Fish3_PondOutcome,16
Pond8Fish3_TotalOutcome,16
Pond8Fish3_TimeLeft,1175.311
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.986
Pond8Fish4_PondTime,36.944
Pond8Fish4_PondOutcome,28
Pond8Fish4_TotalOutcome,28
Pond8Fish4_TimeLeft,1165.455
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.878
Pond8Fish5_PondTime,47.874
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,40
Pond8Fish5_TimeLeft,1154.525
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.025
Pond8Fish6_PondTime,60.232
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,52
Pond8Fish6_TimeLeft,1142.167
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.036
Pond8Fish7_PondTime,74.587
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,64
Pond8Fish7_TimeLeft,1127.812
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,0.864
Pond8Fish8_PondTime,91.944
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,76
Pond8Fish8_TimeLeft,1110.455
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,0.955
Pond8Fish9_PondTime,114.302
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,88
Pond8Fish9_TimeLeft,1088.097
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,1.963
PondTime,115.42
TimeLeft,1086.478
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,19.964382785838097
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.869
Pond11Fish1_PondTime,8.268
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,100
Pond11Fish1_TimeLeft,1057.635
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.823
Pond11Fish2_PondTime,14.914
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,112
Pond11Fish2_TimeLeft,1050.989
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,gray
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.202
Pond11Fish3_PondTime,21.888
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,114
Pond11Fish3_TimeLeft,1044.015
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.088
Pond11Fish4_PondTime,29.248
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,126
Pond11Fish4_TimeLeft,1036.655
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.786
Pond11Fish5_PondTime,37.062
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,138
Pond11Fish5_TimeLeft,1028.841
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.84
Pond11Fish6_PondTime,45.425
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,150
Pond11Fish6_TimeLeft,1020.478
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.842
Pond11Fish7_PondTime,54.447
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,162
Pond11Fish7_TimeLeft,1011.456
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.882
Pond11Fish8_PondTime,64.303
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,174
Pond11Fish8_TimeLeft,1001.6
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,0.934
Pond11Fish9_PondTime,75.234
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,186
Pond11Fish9_TimeLeft,990.669
PondEnd_LastFish,9
FishN,16
Type,RD
GiveUpTime,0.85
PondTime,87.451
TimeLeft,977.95
PondOutcome,98
TotalOutcome,186
PondStart,PondStart
PondIntroTime,16.645047906786203
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.835
Pond3Fish1_PondTime,9.727
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,198
Pond3Fish1_TimeLeft,950.969
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.839
Pond3Fish2_PondTime,18.22
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,210
Pond3Fish2_TimeLeft,942.476
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.094
Pond3Fish3_PondTime,27.244
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,222
Pond3Fish3_TimeLeft,933.452
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.944
