,5dd5d22886c8865a3dfc92eb
PlayerDetails,5dd5d22886c8865a3dfc92eb
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RD
Pond12_#Fishes,17
Pond10_Type,RD
Pond10_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,16
Pond5_Type,RD
Pond5_#Fishes,13
Pond9_Type,RD
Pond9_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,12
Pond4_Type,RD
Pond4_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,15
Pond11_Type,RD
Pond11_#Fishes,16
Pond6_Type,RD
Pond6_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:37:22 GMT+1100 (Australian Eastern Daylight Time)
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.412
Pond12Fish1_PondTime,8.042
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1194.358
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.267
Pond12Fish2_PondTime,14.415
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,24
Pond12Fish2_TimeLeft,1187.985
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.434
Pond12Fish3_PondTime,21.091
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,36
Pond12Fish3_TimeLeft,1181.309
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.619
Pond12Fish4_PondTime,28.076
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,48
Pond12Fish4_TimeLeft,1174.324
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.327
Pond12Fish5_PondTime,35.452
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,60
Pond12Fish5_TimeLeft,1166.948
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.987
Pond12Fish6_PondTime,43.282
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,72
Pond12Fish6_TimeLeft,1159.118
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.087
Pond12Fish7_PondTime,51.653
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,84
Pond12Fish7_TimeLeft,1150.747
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.86
Pond12Fish8_PondTime,60.689
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,96
Pond12Fish8_TimeLeft,1141.711
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.07
Pond12Fish9_PondTime,70.566
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,108
Pond12Fish9_TimeLeft,1131.834
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,1.036
Pond12Fish10_PondTime,81.501
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,120
Pond12Fish10_TimeLeft,1120.899
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,gray
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,1.639
Pond12Fish11_PondTime,93.868
Pond12Fish11_PondOutcome,122
Pond12Fish11_TotalOutcome,122
Pond12Fish11_TimeLeft,1108.532
Type,RD
FishN,15
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,10
Pond12Fish12_CatchTime,1.197
Pond12Fish12_PondTime,108.261
Pond12Fish12_PondOutcome,134
Pond12Fish12_TotalOutcome,134
Pond12Fish12_TimeLeft,1094.139
Type,RD
FishN,15
Fish,13
Pond12Fish13_FishType,blue
Pond12Fish13_FishLatency,12
Pond12Fish13_CatchTime,1.429
Pond12Fish13_PondTime,125.647
Pond12Fish13_PondOutcome,146
Pond12Fish13_TotalOutcome,146
Pond12Fish13_TimeLeft,1076.753
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,6.437
PondTime,131.707
TimeLeft,1070.19
PondOutcome,146
TotalOutcome,146
PondStart,PondStart
PondIntroTime,18.249903155956417
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,gray
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,-1
Pond10Fish1_PondTime,9.817
Pond10Fish1_PondOutcome,0
Pond10Fish1_TotalOutcome,146
Pond10Fish1_TimeLeft,1041.491
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,gray
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.004
Pond10Fish2_PondTime,18.189
Pond10Fish2_PondOutcome,2
Pond10Fish2_TotalOutcome,148
Pond10Fish2_TimeLeft,1033.119
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.97
Pond10Fish3_PondTime,27.244
Pond10Fish3_PondOutcome,14
Pond10Fish3_TotalOutcome,160
Pond10Fish3_TimeLeft,1024.064
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.962
Pond10Fish4_PondTime,37.125
Pond10Fish4_PondOutcome,26
Pond10Fish4_TotalOutcome,172
Pond10Fish4_TimeLeft,1014.183
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.221
Pond10Fish5_PondTime,48.077
Pond10Fish5_PondOutcome,38
Pond10Fish5_TotalOutcome,184
Pond10Fish5_TimeLeft,1003.23
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.969
Pond10Fish6_PondTime,60.448
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,196
Pond10Fish6_TimeLeft,990.86
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.911
Pond10Fish7_PondTime,74.815
Pond10Fish7_PondOutcome,62
Pond10Fish7_TotalOutcome,208
Pond10Fish7_TimeLeft,976.493
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,0.832
Pond10Fish8_PondTime,92.184
Pond10Fish8_PondOutcome,74
Pond10Fish8_TotalOutcome,220
Pond10Fish8_TimeLeft,959.124
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,1.404
PondTime,92.613
TimeLeft,958.193
PondOutcome,74
TotalOutcome,220
PondStart,PondStart
PondIntroTime,19.91092849522829
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.998
Pond7Fish1_PondTime,8.357
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,232
Pond7Fish1_TimeLeft,929.288
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.085
Pond7Fish2_PondTime,15.026
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,244
Pond7Fish2_TimeLeft,922.619
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.093
Pond7Fish3_PondTime,22.027
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,256
Pond7Fish3_TimeLeft,915.618
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.962
Pond7Fish4_PondTime,29.41
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,268
Pond7Fish4_TimeLeft,908.235
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.126
Pond7Fish5_PondTime,37.239
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,280
Pond7Fish5_TimeLeft,900.406
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.953
Pond7Fish6_PondTime,45.611
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,292
Pond7Fish6_TimeLeft,892.034
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.987
Pond7Fish7_PondTime,54.662
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,304
Pond7Fish7_TimeLeft,882.983
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.041
Pond7Fish8_PondTime,64.546
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,316
Pond7Fish8_TimeLeft,873.099
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.307
Pond7Fish9_PondTime,75.5
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,328
Pond7Fish9_TimeLeft,862.145
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.084
Pond7Fish10_PondTime,87.888
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,340
Pond7Fish10_TimeLeft,849.757
Type,RD
FishN,18
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,1.107
Pond7Fish11_PondTime,102.272
Pond7Fish11_PondOutcome,132
Pond7Fish11_TotalOutcome,352
Pond7Fish11_TimeLeft,835.373
Type,RD
FishN,18
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,1.395
Pond7Fish12_PondTime,119.633
Pond7Fish12_PondOutcome,144
Pond7Fish12_TotalOutcome,364
Pond7Fish12_TimeLeft,818.012
PondEnd_LastFish,12
FishN,16
Type,RD
GiveUpTime,0.912
PondTime,120.144
TimeLeft,816.998
PondOutcome,144
TotalOutcome,364
PondStart,PondStart
PondIntroTime,18.706939313560724
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.406
Pond5Fish1_PondTime,9.284
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,366
Pond5Fish1_TimeLeft,788.376
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.935
Pond5Fish2_PondTime,17.11
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,378
Pond5Fish2_TimeLeft,780.55
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.11
Pond5Fish3_PondTime,25.496
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,390
Pond5Fish3_TimeLeft,772.164
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.37
Pond5Fish4_PondTime,34.546
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,402
Pond5Fish4_TimeLeft,763.114
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.114
Pond5Fish5_PondTime,44.422
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,414
Pond5Fish5_TimeLeft,753.238
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.965
Pond5Fish6_PondTime,55.361
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,426
Pond5Fish6_TimeLeft,742.299
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.126
Pond5Fish7_PondTime,67.731
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,438
Pond5Fish7_TimeLeft,729.929
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,0.937
Pond5Fish8_PondTime,82.102
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,450
Pond5Fish8_TimeLeft,715.558
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.07
Pond5Fish9_PondTime,99.463
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,462
Pond5Fish9_TimeLeft,698.197
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,0.791
PondTime,99.537
TimeLeft,697.618
PondOutcome,98
TotalOutcome,462
PondStart,PondStart
PondIntroTime,17.709169830195606
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.719
Pond9Fish1_PondTime,8.042
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,474
Pond9Fish1_TimeLeft,671.236
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.003
Pond9Fish2_PondTime,14.456
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,486
Pond9Fish2_TimeLeft,664.822
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.125
Pond9Fish3_PondTime,21.108
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,498
Pond9Fish3_TimeLeft,658.17
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.054
Pond9Fish4_PondTime,28.109
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,510
Pond9Fish4_TimeLeft,651.169
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.941
Pond9Fish5_PondTime,35.493
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,522
Pond9Fish5_TimeLeft,643.785
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.353
Pond9Fish6_PondTime,43.329
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,534
Pond9Fish6_TimeLeft,635.949
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.259
Pond9Fish7_PondTime,51.711
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,546
Pond9Fish7_TimeLeft,627.567
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.955
Pond9Fish8_PondTime,60.75
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,558
Pond9Fish8_TimeLeft,618.528
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.225
Pond9Fish9_PondTime,70.631
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,570
Pond9Fish9_TimeLeft,608.647
Type,RD
FishN,18
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.611
Pond9Fish10_PondTime,81.583
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,582
Pond9Fish10_TimeLeft,597.695
Type,RD
FishN,18
Fish,11
Pond9Fish11_FishType,gray
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.113
Pond9Fish11_PondTime,93.963
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,584
Pond9Fish11_TimeLeft,585.315
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,1.026
PondTime,94.303
TimeLeft,584.471
PondOutcome,122
TotalOutcome,584
