,5dd28cf3fef7c229fd984072
PlayerDetails,5dd28cf3fef7c229fd984072
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,16
Pond5_Type,RD
Pond5_#Fishes,14
Pond11_Type,RD
Pond11_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:55:50 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.275
Pond10Fish1_PondTime,8.901
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1193.498
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,gray
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.363
Pond10Fish2_PondTime,16.293
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,14
Pond10Fish2_TimeLeft,1186.106
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.027
Pond10Fish3_PondTime,24.144
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,26
Pond10Fish3_TimeLeft,1178.255
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.852
Pond10Fish4_PondTime,32.533
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,38
Pond10Fish4_TimeLeft,1169.866
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,gray
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.789
Pond10Fish5_PondTime,41.705
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,40
Pond10Fish5_TimeLeft,1160.694
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.871
Pond10Fish6_PondTime,51.594
Pond10Fish6_PondOutcome,52
Pond10Fish6_TotalOutcome,52
Pond10Fish6_TimeLeft,1150.805
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.977
Pond10Fish7_PondTime,62.539
Pond10Fish7_PondOutcome,64
Pond10Fish7_TotalOutcome,64
Pond10Fish7_TimeLeft,1139.86
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,0.948
Pond10Fish8_PondTime,74.922
Pond10Fish8_PondOutcome,76
Pond10Fish8_TotalOutcome,76
Pond10Fish8_TimeLeft,1127.477
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.999
Pond10Fish9_PondTime,89.286
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,88
Pond10Fish9_TimeLeft,1113.113
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,1.148
PondTime,89.646
TimeLeft,1112.251
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,19.299442034680396
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.051
Pond7Fish1_PondTime,9.284
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,100
Pond7Fish1_TimeLeft,1083.05
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.306
Pond7Fish2_PondTime,17.114
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,112
Pond7Fish2_TimeLeft,1075.221
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.133
Pond7Fish3_PondTime,25.5
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,124
Pond7Fish3_TimeLeft,1066.835
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.771
Pond7Fish4_PondTime,34.529
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,136
Pond7Fish4_TimeLeft,1057.806
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.986
Pond7Fish5_PondTime,44.395
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,148
Pond7Fish5_TimeLeft,1047.94
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.991
Pond7Fish6_PondTime,55.34
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,160
Pond7Fish6_TimeLeft,1036.995
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,1.769
Pond7Fish7_PondTime,67.805
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,172
Pond7Fish7_TimeLeft,1024.53
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,1.256
Pond7Fish8_PondTime,82.201
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,184
Pond7Fish8_TimeLeft,1010.134
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,1.299
Pond7Fish9_PondTime,99.57
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,196
Pond7Fish9_TimeLeft,992.765
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,12.444
PondTime,111.526
TimeLeft,980.306
PondOutcome,108
TotalOutcome,196
PondStart,PondStart
PondIntroTime,19.1034052381292
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.816
Pond2Fish1_PondTime,9.309
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,208
Pond2Fish1_TimeLeft,951.282
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.223
Pond2Fish2_PondTime,17.158
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,220
Pond2Fish2_TimeLeft,943.433
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.152
Pond2Fish3_PondTime,25.573
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,232
Pond2Fish3_TimeLeft,935.018
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.775
Pond2Fish4_PondTime,34.709
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,244
Pond2Fish4_TimeLeft,925.882
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.073
Pond2Fish5_PondTime,44.585
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,256
Pond2Fish5_TimeLeft,916.006
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.966
Pond2Fish6_PondTime,55.511
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,268
Pond2Fish6_TimeLeft,905.08
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,0.938
Pond2Fish7_PondTime,67.891
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,280
Pond2Fish7_TimeLeft,892.7
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.108
Pond2Fish8_PondTime,82.255
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,292
Pond2Fish8_TimeLeft,878.336
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,1.121
Pond2Fish9_PondTime,99.619
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,304
Pond2Fish9_TimeLeft,860.972
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,9.448
PondTime,108.398
TimeLeft,851.691
PondOutcome,108
TotalOutcome,304
PondStart,PondStart
PondIntroTime,15.20455346442759
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.038
Pond4Fish1_PondTime,8.315
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,316
Pond4Fish1_TimeLeft,827.545
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.924
Pond4Fish2_PondTime,14.988
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,328
Pond4Fish2_TimeLeft,820.872
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.58
Pond4Fish3_PondTime,21.997
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,340
Pond4Fish3_TimeLeft,813.863
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,gray
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.911
Pond4Fish4_PondTime,29.38
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,342
Pond4Fish4_TimeLeft,806.48
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.983
Pond4Fish5_PondTime,37.218
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,354
Pond4Fish5_TimeLeft,798.642
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.44
Pond4Fish6_PondTime,45.605
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,366
Pond4Fish6_TimeLeft,790.255
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.12
Pond4Fish7_PondTime,54.641
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,378
Pond4Fish7_TimeLeft,781.219
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,gray
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.366
Pond4Fish8_PondTime,64.523
Pond4Fish8_PondOutcome,76
Pond4Fish8_TotalOutcome,380
Pond4Fish8_TimeLeft,771.337
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,2.419
PondTime,66.523
TimeLeft,768.835
PondOutcome,76
TotalOutcome,380
