,5c3f206637382200016ad5a8
PlayerDetails,5c3f206637382200016ad5a8
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,19
Pond6_Type,RD
Pond6_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,16
Pond7_Type,RD
Pond7_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,13
Pond1_Type,RD
Pond1_#Fishes,12
Pond8_Type,RD
Pond8_#Fishes,15
Pond3_Type,RD
Pond3_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 16:58:45 GMT+0530 (India Standard Time)
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,1.211
Pond11Fish1_PondTime,7.631
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1194.767
Type,RD
FishN,16
Fish,2
