,5d5d5ab72cdbc90001ea8ab8
PlayerDetails,5d5d5ab72cdbc90001ea8ab8
GameCompleted,declined
Selected ponds in the game,=======
Pond12_Type,RD
Pond12_#Fishes,15
Pond9_Type,RD
Pond9_#Fishes,14
Pond11_Type,RD
Pond11_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:42:20 GMT+0100 (hora estándar de Europa central)
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.074
Pond12Fish1_PondTime,8.603
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1193.795
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.019
Pond12Fish2_PondTime,15.611
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,24
Pond12Fish2_TimeLeft,1186.787
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.098
Pond12Fish3_PondTime,22.999
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,36
Pond12Fish3_TimeLeft,1179.399
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,gray
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.39
Pond12Fish4_PondTime,30.847
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,38
Pond12Fish4_TimeLeft,1171.551
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.123
Pond12Fish5_PondTime,39.232
Pond12Fish5_PondOutcome,50
