,5c38df4908510f0001445dc8
PlayerDetails,5c38df4908510f0001445dc8
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,12
Pond9_Type,RD
Pond9_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 17:23:21 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.582
Pond6Fish1_PondTime,9.786
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1192.607
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,gray
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.34
Pond6Fish2_PondTime,18.163
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,14
Pond6Fish2_TimeLeft,1184.23
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.269
Pond6Fish3_PondTime,27.223
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,26
Pond6Fish3_TimeLeft,1175.171
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.044
Pond6Fish4_PondTime,37.095
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,38
Pond6Fish4_TimeLeft,1165.298
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.046
Pond6Fish5_PondTime,48.05
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,40
Pond6Fish5_TimeLeft,1154.344
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.166
Pond6Fish6_PondTime,60.424
Pond6Fish6_PondOutcome,52
Pond6Fish6_TotalOutcome,52
Pond6Fish6_TimeLeft,1141.97
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.794
Pond6Fish7_PondTime,74.905
Pond6Fish7_PondOutcome,64
Pond6Fish7_TotalOutcome,64
Pond6Fish7_TimeLeft,1127.488
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.258
Pond6Fish8_PondTime,92.291
Pond6Fish8_PondOutcome,76
Pond6Fish8_TotalOutcome,76
Pond6Fish8_TimeLeft,1110.103
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.307
Pond6Fish9_PondTime,114.668
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,88
Pond6Fish9_TimeLeft,1087.726
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,20
Pond6Fish10_CatchTime,1.358
Pond6Fish10_PondTime,147.04
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,100
Pond6Fish10_TimeLeft,1055.353
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,30
Pond6Fish11_CatchTime,1.123
Pond6Fish11_PondTime,209.422
Pond6Fish11_PondOutcome,112
Pond6Fish11_TotalOutcome,112
Pond6Fish11_TimeLeft,992.971
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,60
Pond6Fish12_CatchTime,-1
Pond6Fish12_PondTime,211.867
Pond6Fish12_PondOutcome,112
Pond6Fish12_TotalOutcome,112
Pond6Fish12_TimeLeft,990.527
PondEnd_LastFish,12
FishN,12
Type,RD
GiveUpTime,358.49
PondTime,567.242
TimeLeft,634.64
PondOutcome,112
TotalOutcome,112
PondStart,PondStart
PondIntroTime,18.200962885748595
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,gray
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,7.661
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,112
Pond9Fish1_TimeLeft,608.133
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,13.638
Pond9Fish2_PondOutcome,0
Pond9Fish2_TotalOutcome,112
Pond9Fish2_TimeLeft,602.156
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,19.83
Pond9Fish3_PondOutcome,0
Pond9Fish3_TotalOutcome,112
Pond9Fish3_TimeLeft,595.963
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,26.274
Pond9Fish4_PondOutcome,0
Pond9Fish4_TotalOutcome,112
Pond9Fish4_TimeLeft,589.519
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,-1
Pond9Fish5_PondTime,33.003
Pond9Fish5_PondOutcome,0
Pond9Fish5_TotalOutcome,112
Pond9Fish5_TimeLeft,582.791
