,5998a6d5b5566b0001aa8472
PlayerDetails,5998a6d5b5566b0001aa8472
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,18
Pond1_Type,RD
Pond1_#Fishes,18
Pond12_Type,RD
Pond12_#Fishes,17
Pond3_Type,RD
Pond3_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,12
Pond7_Type,RD
Pond7_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,14
Pond2_Type,RD
Pond2_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 17:19:23 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.835
Pond6Fish1_PondTime,7.79
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.609
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,gray
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.983
Pond6Fish2_PondTime,13.899
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,14
Pond6Fish2_TimeLeft,1188.5
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.82
Pond6Fish3_PondTime,20.259
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,26
Pond6Fish3_TimeLeft,1182.14
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.562
Pond6Fish4_PondTime,26.903
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,38
Pond6Fish4_TimeLeft,1175.496
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.866
Pond6Fish5_PondTime,33.878
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,40
Pond6Fish5_TimeLeft,1168.521
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.783
Pond6Fish6_PondTime,41.239
Pond6Fish6_PondOutcome,52
Pond6Fish6_TotalOutcome,52
Pond6Fish6_TimeLeft,1161.16
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.744
Pond6Fish7_PondTime,49.056
Pond6Fish7_PondOutcome,64
Pond6Fish7_TotalOutcome,64
Pond6Fish7_TimeLeft,1153.343
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.797
Pond6Fish8_PondTime,57.418
Pond6Fish8_PondOutcome,76
Pond6Fish8_TotalOutcome,76
Pond6Fish8_TimeLeft,1144.981
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.793
Pond6Fish9_PondTime,66.447
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,88
Pond6Fish9_TimeLeft,1135.952
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.766
Pond6Fish10_PondTime,76.303
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,100
Pond6Fish10_TimeLeft,1126.096
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.742
Pond6Fish11_PondTime,87.241
Pond6Fish11_PondOutcome,112
Pond6Fish11_TotalOutcome,112
Pond6Fish11_TimeLeft,1115.158
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.633
Pond6Fish12_PondTime,99.604
Pond6Fish12_PondOutcome,124
Pond6Fish12_TotalOutcome,124
Pond6Fish12_TimeLeft,1102.794
Type,RD
FishN,19
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,0.782
Pond6Fish13_PondTime,113.968
Pond6Fish13_PondOutcome,136
Pond6Fish13_TotalOutcome,136
Pond6Fish13_TimeLeft,1088.431
PondEnd_LastFish,13
FishN,18
Type,RD
GiveUpTime,1.2
PondTime,114.16
TimeLeft,1087.737
PondOutcome,136
TotalOutcome,136
PondStart,PondStart
PondIntroTime,16.11754058394581
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.731
Pond1Fish1_PondTime,7.797
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,148
Pond1Fish1_TimeLeft,1063.196
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.646
Pond1Fish2_PondTime,13.904
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,160
Pond1Fish2_TimeLeft,1057.089
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.676
Pond1Fish3_PondTime,20.265
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,172
Pond1Fish3_TimeLeft,1050.728
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.818
Pond1Fish4_PondTime,26.909
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,184
Pond1Fish4_TimeLeft,1044.084
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.673
Pond1Fish5_PondTime,33.884
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,186
Pond1Fish5_TimeLeft,1037.108
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.384
Pond1Fish6_PondTime,41.247
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,198
Pond1Fish6_TimeLeft,1029.746
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.799
Pond1Fish7_PondTime,49.062
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,210
Pond1Fish7_TimeLeft,1021.931
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.859
Pond1Fish8_PondTime,57.424
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,222
Pond1Fish8_TimeLeft,1013.569
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.583
Pond1Fish9_PondTime,66.454
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,234
Pond1Fish9_TimeLeft,1004.539
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.863
Pond1Fish10_PondTime,76.309
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,246
Pond1Fish10_TimeLeft,994.684
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,gray
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.05
Pond1Fish11_PondTime,87.233
Pond1Fish11_PondOutcome,112
Pond1Fish11_TotalOutcome,248
Pond1Fish11_TimeLeft,983.76
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,blue
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.831
Pond1Fish12_PondTime,99.596
Pond1Fish12_PondOutcome,124
Pond1Fish12_TotalOutcome,260
Pond1Fish12_TimeLeft,971.397
Type,RD
FishN,19
Fish,13
Pond1Fish13_FishType,blue
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.89
Pond1Fish13_PondTime,113.961
Pond1Fish13_PondOutcome,136
Pond1Fish13_TotalOutcome,272
Pond1Fish13_TimeLeft,957.032
PondEnd_LastFish,13
FishN,18
Type,RD
GiveUpTime,14.233
PondTime,127.293
TimeLeft,943.2
PondOutcome,136
TotalOutcome,272
PondStart,PondStart
PondIntroTime,15.187906047794968
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.59
Pond12Fish1_PondTime,8.023
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,284
Pond12Fish1_TimeLeft,919.381
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.868
Pond12Fish2_PondTime,14.386
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,296
Pond12Fish2_TimeLeft,913.018
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.746
Pond12Fish3_PondTime,21.028
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,308
Pond12Fish3_TimeLeft,906.376
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.778
Pond12Fish4_PondTime,28.003
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,320
Pond12Fish4_TimeLeft,899.401
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
