,5c615deeece81b0001be0a4b
PlayerDetails,5c615deeece81b0001be0a4b
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,17
Pond1_Type,RD
Pond1_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,14
Pond12_Type,RD
Pond12_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,15
Pond11_Type,RD
Pond11_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:39:10 GMT+0100 (hora estándar de Europa central)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.878
Pond6Fish1_PondTime,8.345
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.053
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.464
Pond6Fish2_PondTime,14.742
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1187.656
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.681
Pond6Fish3_PondTime,21.459
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,36
Pond6Fish3_TimeLeft,1180.939
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.969
Pond6Fish4_PondTime,28.468
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,48
Pond6Fish4_TimeLeft,1173.93
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.854
Pond6Fish5_PondTime,36.053
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,60
Pond6Fish5_TimeLeft,1166.345
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.103
Pond6Fish6_PondTime,43.911
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,72
Pond6Fish6_TimeLeft,1158.487
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.206
Pond6Fish7_PondTime,52.326
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,84
Pond6Fish7_TimeLeft,1150.072
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.086
Pond6Fish8_PondTime,61.41
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,96
Pond6Fish8_TimeLeft,1140.988
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.084
Pond6Fish9_PondTime,71.324
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,108
Pond6Fish9_TimeLeft,1131.074
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.322
Pond6Fish10_PondTime,82.306
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,120
Pond6Fish10_TimeLeft,1120.092
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.278
Pond6Fish11_PondTime,94.716
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,132
Pond6Fish11_TimeLeft,1107.682
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,11.748
PondTime,105.95
TimeLeft,1095.945
PondOutcome,132
TotalOutcome,132
PondStart,PondStart
PondIntroTime,19.750906419940293
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.606
Pond1Fish1_PondTime,8.612
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,144
Pond1Fish1_TimeLeft,1066.916
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.249
Pond1Fish2_PondTime,15.607
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,156
Pond1Fish2_TimeLeft,1059.921
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.162
Pond1Fish3_PondTime,23
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,168
Pond1Fish3_TimeLeft,1052.528
Type,RD
FishN,19
Fish,4
