,5bbb89c80cb04c0001500a26
PlayerDetails,5bbb89c80cb04c0001500a26
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RD
Pond7_#Fishes,17
Pond12_Type,RD
Pond12_#Fishes,16
Pond11_Type,RD
Pond11_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:22:10 GMT+0100 (hora estándar de Europa central)
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.237
Pond7Fish1_PondTime,8.066
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,12
Pond7Fish1_TimeLeft,1194.328
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.323
Pond7Fish2_PondTime,14.458
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,24
Pond7Fish2_TimeLeft,1187.935
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.158
Pond7Fish3_PondTime,21.15
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,36
Pond7Fish3_TimeLeft,1181.244
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.784
Pond7Fish4_PondTime,28.257
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,48
Pond7Fish4_TimeLeft,1174.137
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,gray
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,-1
Pond7Fish5_PondTime,35.715
Pond7Fish5_PondOutcome,48
Pond7Fish5_TotalOutcome,48
Pond7Fish5_TimeLeft,1166.679
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.272
Pond7Fish6_PondTime,43.567
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,60
Pond7Fish6_TimeLeft,1158.827
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,52.044
Pond7Fish7_PondOutcome,60
Pond7Fish7_TotalOutcome,60
Pond7Fish7_TimeLeft,1150.35
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.943
Pond7Fish8_PondTime,61.117
Pond7Fish8_PondOutcome,72
Pond7Fish8_TotalOutcome,72
Pond7Fish8_TimeLeft,1141.276
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.242
Pond7Fish9_PondTime,71.023
Pond7Fish9_PondOutcome,84
Pond7Fish9_TotalOutcome,84
Pond7Fish9_TimeLeft,1131.371
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.92
Pond7Fish10_PondTime,82.004
Pond7Fish10_PondOutcome,96
Pond7Fish10_TotalOutcome,96
Pond7Fish10_TimeLeft,1120.39
Type,RD
FishN,18
Fish,11
