,563cdacbef3f15000eb928c5
PlayerDetails,563cdacbef3f15000eb928c5
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RD
Pond1_#Fishes,13
Pond11_Type,RD
Pond11_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,13
Pond7_Type,RD
Pond7_#Fishes,18
Pond12_Type,RD
Pond12_#Fishes,15
Pond3_Type,RD
Pond3_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:43:19 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.141
Pond1Fish1_PondTime,9.266
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,12
Pond1Fish1_TimeLeft,1193.133
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.532
Pond1Fish2_PondTime,17.091
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,24
Pond1Fish2_TimeLeft,1185.308
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.081
Pond1Fish3_PondTime,25.471
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,36
Pond1Fish3_TimeLeft,1176.928
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.886
Pond1Fish4_PondTime,34.52
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,48
Pond1Fish4_TimeLeft,1167.879
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.058
Pond1Fish5_PondTime,44.389
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,60
Pond1Fish5_TimeLeft,1158.01
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.362
Pond1Fish6_PondTime,55.326
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,72
Pond1Fish6_TimeLeft,1147.073
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.259
Pond1Fish7_PondTime,67.7
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,84
Pond1Fish7_TimeLeft,1134.699
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.07
Pond1Fish8_PondTime,82.079
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,96
Pond1Fish8_TimeLeft,1120.32
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,1.446
PondTime,82.799
TimeLeft,1119.097
PondOutcome,96
TotalOutcome,96
PondStart,PondStart
PondIntroTime,12.252473919652402
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.844
Pond11Fish1_PondTime,9.889
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,108
Pond11Fish1_TimeLeft,1096.327
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.17
Pond11Fish2_PondTime,18.275
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,120
Pond11Fish2_TimeLeft,1087.941
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.535
Pond11Fish3_PondTime,27.319
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,132
Pond11Fish3_TimeLeft,1078.897
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.342
Pond11Fish4_PondTime,37.208
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,144
Pond11Fish4_TimeLeft,1069.008
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.237
Pond11Fish5_PondTime,48.144
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,156
Pond11Fish5_TimeLeft,1058.072
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.239
Pond11Fish6_PondTime,60.511
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,168
Pond11Fish6_TimeLeft,1045.705
Type,RD
