,5ac48ded5cd1050001622c4a
PlayerDetails,5ac48ded5cd1050001622c4a
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,16
Pond6_Type,RD
Pond6_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,15
Pond7_Type,RD
Pond7_#Fishes,12
Pond10_Type,RD
Pond10_#Fishes,19
Pond11_Type,RD
Pond11_#Fishes,12
Pond4_Type,RD
Pond4_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 11:43:03 GMT+0000 (WET)
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.742
Pond9Fish1_PondTime,8.566
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1193.83
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.64
Pond9Fish2_PondTime,15.55
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1186.847
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.065
Pond9Fish3_PondTime,22.917
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1179.48
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.743
Pond9Fish4_PondTime,30.74
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,48
Pond9Fish4_TimeLeft,1171.657
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.793
Pond9Fish5_PondTime,39.106
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1163.29
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.02
Pond9Fish6_PondTime,48.141
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,72
Pond9Fish6_TimeLeft,1154.256
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,gray
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.859
Pond9Fish7_PondTime,58.009
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,74
Pond9Fish7_TimeLeft,1144.387
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,gray
