,5b51ee1d303c3300016578a2
PlayerDetails,5b51ee1d303c3300016578a2
GameCompleted,declined
Selected ponds in the game,=======
Pond5_Type,RD
Pond5_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 12:20:00 GMT+0100 (czas środkowoeuropejski standardowy)
PondEnd_LastFish,0
FishN,17
Type,RD
GiveUpTime,1.458
PondTime,3.459
TimeLeft,1198.436
PondOutcome,0
TotalOutcome,0
PondStart,PondStart
PondIntroTime,11.235348058398813
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,8.65
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,0
Pond8Fish1_TimeLeft,1177.927
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,15.701
Pond8Fish2_PondOutcome,0
Pond8Fish2_TotalOutcome,0
Pond8Fish2_TimeLeft,1170.877
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,-1
Pond8Fish3_PondTime,23.129
Pond8Fish3_PondOutcome,0
Pond8Fish3_TotalOutcome,0
Pond8Fish3_TimeLeft,1163.448
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.243
Pond8Fish4_PondTime,30.943
Pond8Fish4_PondOutcome,12
Pond8Fish4_TotalOutcome,12
Pond8Fish4_TimeLeft,1155.635
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.07
Pond8Fish5_PondTime,39.303
Pond8Fish5_PondOutcome,24
Pond8Fish5_TotalOutcome,24
Pond8Fish5_TimeLeft,1147.275
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,-1
Pond8Fish6_PondTime,48.393
Pond8Fish6_PondOutcome,24
Pond8Fish6_TotalOutcome,24
Pond8Fish6_TimeLeft,1138.185
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.244
Pond8Fish7_PondTime,58.263
Pond8Fish7_PondOutcome,36
Pond8Fish7_TotalOutcome,36
Pond8Fish7_TimeLeft,1128.315
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.425
Pond8Fish8_PondTime,69.208
Pond8Fish8_PondOutcome,48
Pond8Fish8_TotalOutcome,48
Pond8Fish8_TimeLeft,1117.37
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.295
Pond8Fish9_PondTime,81.57
Pond8Fish9_PondOutcome,60
Pond8Fish9_TotalOutcome,60
Pond8Fish9_TimeLeft,1105.008
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,-1
Pond8Fish10_PondTime,96.008
Pond8Fish10_PondOutcome,60
Pond8Fish10_TotalOutcome,60
Pond8Fish10_TimeLeft,1090.57
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,-1
Pond8Fish11_PondTime,113.443
Pond8Fish11_PondOutcome,60
Pond8Fish11_TotalOutcome,60
Pond8Fish11_TimeLeft,1073.135
