,5806d62a030efb00019213d8
PlayerDetails,5806d62a030efb00019213d8
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RD
Pond10_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,19
Pond12_Type,RD
Pond12_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,17
Pond9_Type,RD
Pond9_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 00:22:07 GMT+1300 (New Zealand Daylight Time)
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.498
Pond10Fish1_PondTime,9.383
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,12
Pond10Fish1_TimeLeft,1193.011
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.418
Pond10Fish2_PondTime,17.216
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,24
Pond10Fish2_TimeLeft,1185.179
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.421
Pond10Fish3_PondTime,25.655
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,26
Pond10Fish3_TimeLeft,1176.74
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.219
Pond10Fish4_PondTime,34.718
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,38
Pond10Fish4_TimeLeft,1167.677
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.372
Pond10Fish5_PondTime,44.661
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1157.734
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.452
Pond10Fish6_PondTime,55.718
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,62
Pond10Fish6_TimeLeft,1146.677
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,1.45
Pond10Fish7_PondTime,68.161
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,74
Pond10Fish7_TimeLeft,1134.234
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,1.603
Pond10Fish8_PondTime,82.544
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,86
Pond10Fish8_TimeLeft,1119.851
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,12
Pond10Fish9_CatchTime,1.516
Pond10Fish9_PondTime,99.948
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,98
Pond10Fish9_TimeLeft,1102.447
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,14.075
PondTime,113.742
TimeLeft,1088.135
PondOutcome,98
TotalOutcome,98
PondStart,PondStart
PondIntroTime,13.216727785766125
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.143
Pond8Fish1_PondTime,7.826
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,110
Pond8Fish1_TimeLeft,1066.407
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.266
Pond8Fish2_PondTime,13.954
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,122
Pond8Fish2_TimeLeft,1060.279
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.495
Pond8Fish3_PondTime,20.353
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,134
Pond8Fish3_TimeLeft,1053.88
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.475
Pond8Fish4_PondTime,27.04
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,146
Pond8Fish4_TimeLeft,1047.193
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.694
Pond8Fish5_PondTime,34.134
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,158
Pond8Fish5_TimeLeft,1040.098
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.168
Pond8Fish6_PondTime,41.513
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,170
Pond8Fish6_TimeLeft,1032.72
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.392
Pond8Fish7_PondTime,49.381
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,182
Pond8Fish7_TimeLeft,1024.852
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.265
Pond8Fish8_PondTime,57.761
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,194
Pond8Fish8_TimeLeft,1016.472
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.393
Pond8Fish9_PondTime,66.843
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,206
Pond8Fish9_TimeLeft,1007.39
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.727
Pond8Fish10_PondTime,76.827
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,218
Pond8Fish10_TimeLeft,997.406
Type,RD
FishN,12
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.46
Pond8Fish11_PondTime,87.84
Pond8Fish11_PondOutcome,132
Pond8Fish11_TotalOutcome,230
Pond8Fish11_TimeLeft,986.393
Type,RD
FishN,12
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.022
Pond8Fish12_PondTime,100.241
Pond8Fish12_PondOutcome,144
Pond8Fish12_TotalOutcome,242
Pond8Fish12_TimeLeft,973.991
PondEnd_LastFish,12
FishN,18
Type,RD
GiveUpTime,1.254
PondTime,100.722
TimeLeft,972.993
PondOutcome,144
TotalOutcome,242
PondStart,PondStart
PondIntroTime,17.149449330754578
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.339
Pond6Fish1_PondTime,8.113
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,254
Pond6Fish1_TimeLeft,947.091
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.346
Pond6Fish2_PondTime,14.538
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,266
Pond6Fish2_TimeLeft,940.667
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.267
Pond6Fish3_PondTime,21.261
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,278
Pond6Fish3_TimeLeft,933.944
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.127
Pond6Fish4_PondTime,28.359
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,290
Pond6Fish4_TimeLeft,926.846
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.558
Pond6Fish5_PondTime,35.735
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,302
Pond6Fish5_TimeLeft,919.47
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.304
Pond6Fish6_PondTime,43.609
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,314
Pond6Fish6_TimeLeft,911.596
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.686
Pond6Fish7_PondTime,52.105
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,326
Pond6Fish7_TimeLeft,903.1
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.236
Pond6Fish8_PondTime,61.187
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,338
Pond6Fish8_TimeLeft,894.017
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.707
Pond6Fish9_PondTime,71.086
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,350
Pond6Fish9_TimeLeft,884.119
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.077
Pond6Fish10_PondTime,82.091
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,362
Pond6Fish10_TimeLeft,873.114
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.201
Pond6Fish11_PondTime,94.476
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,374
Pond6Fish11_TimeLeft,860.729
Type,RD
FishN,19
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.068
Pond6Fish12_PondTime,108.896
Pond6Fish12_PondOutcome,144
Pond6Fish12_TotalOutcome,386
Pond6Fish12_TimeLeft,846.309
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,15.663
PondTime,123.828
TimeLeft,830.862
PondOutcome,144
TotalOutcome,386
PondStart,PondStart
PondIntroTime,14.60589241469279
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.958
Pond2Fish1_PondTime,8.316
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,398
Pond2Fish1_TimeLeft,807.305
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.86
Pond2Fish2_PondTime,15.135
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,410
Pond2Fish2_TimeLeft,800.486
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.527
Pond2Fish3_PondTime,22.132
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,422
Pond2Fish3_TimeLeft,793.489
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,gray
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.465
Pond2Fish4_PondTime,29.573
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,424
Pond2Fish4_TimeLeft,786.048
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.233
Pond2Fish5_PondTime,37.432
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,436
Pond2Fish5_TimeLeft,778.189
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.639
Pond2Fish6_PondTime,45.846
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,448
Pond2Fish6_TimeLeft,769.775
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.368
Pond2Fish7_PondTime,54.933
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,460
Pond2Fish7_TimeLeft,760.688
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.239
Pond2Fish8_PondTime,64.88
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,472
Pond2Fish8_TimeLeft,750.741
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.488
Pond2Fish9_PondTime,75.869
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,484
Pond2Fish9_TimeLeft,739.752
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.178
Pond2Fish10_PondTime,88.349
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,496
Pond2Fish10_TimeLeft,727.272
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.234
Pond2Fish11_PondTime,102.727
Pond2Fish11_PondOutcome,122
Pond2Fish11_TotalOutcome,508
Pond2Fish11_TimeLeft,712.894
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,1.733
Pond2Fish12_PondTime,120.195
Pond2Fish12_PondOutcome,134
Pond2Fish12_TotalOutcome,520
Pond2Fish12_TimeLeft,695.426
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,1.364
Pond2Fish13_PondTime,142.615
Pond2Fish13_PondOutcome,146
Pond2Fish13_TotalOutcome,532
Pond2Fish13_TimeLeft,673.005
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,0.843
PondTime,142.999
TimeLeft,672.112
PondOutcome,146
TotalOutcome,532
PondStart,PondStart
PondIntroTime,16.126193520613015
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.198
Pond3Fish1_PondTime,7.659
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,544
Pond3Fish1_TimeLeft,647.67
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.267
Pond3Fish2_PondTime,13.583
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,556
Pond3Fish2_TimeLeft,641.746
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.788
Pond3Fish3_PondTime,19.724
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,568
Pond3Fish3_TimeLeft,635.604
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.076
Pond3Fish4_PondTime,26.113
Pond3Fish4_PondOutcome,48
