,5d7011edab15300001c19eac
PlayerDetails,5d7011edab15300001c19eac
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,19
Pond2_Type,N
Pond2_#Fishes,14
Pond10_Type,N
Pond10_#Fishes,17
Pond1_Type,N
Pond1_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:27:09 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,8.94
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,0
Pond9Fish1_TimeLeft,1193.458
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.21
Pond9Fish2_PondTime,16.31
Pond9Fish2_PondOutcome,11
Pond9Fish2_TotalOutcome,11
Pond9Fish2_TimeLeft,1186.089
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.893
Pond9Fish3_PondTime,24.125
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,22
Pond9Fish3_TimeLeft,1178.274
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.239
Pond9Fish4_PondTime,32.495
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,33
Pond9Fish4_TimeLeft,1169.904
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.342
Pond9Fish5_PondTime,41.526
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,44
Pond9Fish5_TimeLeft,1160.873
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.041
Pond9Fish6_PondTime,51.396
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,55
Pond9Fish6_TimeLeft,1151.003
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.164
Pond9Fish7_PondTime,62.328
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,66
Pond9Fish7_TimeLeft,1140.071
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.03
Pond9Fish8_PondTime,74.693
Pond9Fish8_PondOutcome,77
Pond9Fish8_TotalOutcome,77
Pond9Fish8_TimeLeft,1127.706
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.114
Pond9Fish9_PondTime,89.059
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,88
Pond9Fish9_TimeLeft,1113.34
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,0.968
Pond9Fish10_PondTime,106.426
Pond9Fish10_PondOutcome,99
Pond9Fish10_TotalOutcome,99
Pond9Fish10_TimeLeft,1095.973
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,1.059
PondTime,106.668
TimeLeft,1095.228
PondOutcome,99
TotalOutcome,99
PondStart,PondStart
PondIntroTime,13.749844371341169
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.951
Pond3Fish1_PondTime,8.886
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,110
Pond3Fish1_TimeLeft,1071.954
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.026
Pond3Fish2_PondTime,16.252
Pond3Fish2_PondOutcome,22
