,5ca72110f7c8550016428640
PlayerDetails,5ca72110f7c8550016428640
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,N
Pond6_#Fishes,13
Pond3_Type,N
Pond3_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,12
Pond4_Type,N
Pond4_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:27:12 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.038
Pond6Fish1_PondTime,9.271
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1193.128
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.167
Pond6Fish2_PondTime,17.089
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1185.31
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.676
Pond6Fish3_PondTime,25.453
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1176.946
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.798
Pond6Fish4_PondTime,34.48
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1167.919
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.96
Pond6Fish5_PondTime,44.348
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1158.051
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.78
Pond6Fish6_PondTime,55.289
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1147.11
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.967
Pond6Fish7_PondTime,67.654
Pond6Fish7_PondOutcome,77
