,5d432b1b122c500001d83dde
PlayerDetails,5d432b1b122c500001d83dde
GameCompleted,exited
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,17
Pond6_Type,N
Pond6_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 12:20:54 GMT-0500 (Eastern Standard Time)
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.933
Pond11Fish1_PondTime,8.281
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1194.116
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.884
Pond11Fish2_PondTime,14.944
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1187.453
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.83
Pond11Fish3_PondTime,21.928
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1180.469
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.649
Pond11Fish4_PondTime,29.301
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,44
Pond11Fish4_TimeLeft,1173.095
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.871
Pond11Fish5_PondTime,37.118
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,55
Pond11Fish5_TimeLeft,1165.279
PondEnd_LastFish,5
FishN,16
Type,N
GiveUpTime,1.291
PondTime,37.482
TimeLeft,1164.41
PondOutcome,55
TotalOutcome,55
PondStart,PondStart
PondIntroTime,19.21635383507237
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.781
Pond7Fish1_PondTime,8.109
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,66
Pond7Fish1_TimeLeft,1136.453
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.294
Pond7Fish2_PondTime,14.478
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,77
Pond7Fish2_TimeLeft,1130.085
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.357
Pond7Fish3_PondTime,21.134
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,88
Pond7Fish3_TimeLeft,1123.429
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.143
Pond7Fish4_PondTime,28.111
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,99
Pond7Fish4_TimeLeft,1116.452
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,-1
Pond7Fish5_PondTime,35.541
Pond7Fish5_PondOutcome,44
Pond7Fish5_TotalOutcome,99
Pond7Fish5_TimeLeft,1109.022
PondEnd_LastFish,5
FishN,17
Type,N
GiveUpTime,0.873
PondTime,43.228
TimeLeft,1100.829
PondOutcome,44
TotalOutcome,99
PondStart,PondStart
PondIntroTime,14.602427678182721
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.826
Pond6Fish1_PondTime,8.574
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,110
Pond6Fish1_TimeLeft,1077.025
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,15.625
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,110
Pond6Fish2_TimeLeft,1069.974
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.102
Pond6Fish3_PondTime,22.996
Pond6Fish3_PondOutcome,22
Pond6Fish3_TotalOutcome,121
Pond6Fish3_TimeLeft,1062.603
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.409
Pond6Fish4_PondTime,30.822
Pond6Fish4_PondOutcome,33
Pond6Fish4_TotalOutcome,132
Pond6Fish4_TimeLeft,1054.777
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.956
Pond6Fish5_PondTime,39.197
Pond6Fish5_PondOutcome,44
Pond6Fish5_TotalOutcome,143
Pond6Fish5_TimeLeft,1046.402
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.224
Pond6Fish6_PondTime,48.231
Pond6Fish6_PondOutcome,55
Pond6Fish6_TotalOutcome,154
Pond6Fish6_TimeLeft,1037.368
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,0.882
PondTime,48.543
TimeLeft,1036.55
PondOutcome,55
TotalOutcome,154
PondStart,PondStart
PondIntroTime,10.047535113990307
