,5617e305d0807500111dfb81
PlayerDetails,5617e305d0807500111dfb81
GameCompleted,declined
Selected ponds in the game,=======
Pond2_Type,N
Pond2_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,18
Pond10_Type,N
Pond10_#Fishes,16
Pond11_Type,N
Pond11_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,17
Pond12_Type,N
Pond12_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:26:06 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,7.711
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,0
Pond2Fish1_TimeLeft,1194.685
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.701
Pond2Fish2_PondTime,13.674
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,11
Pond2Fish2_TimeLeft,1188.722
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.467
Pond2Fish3_PondTime,19.831
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,22
Pond2Fish3_TimeLeft,1182.565
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.711
Pond2Fish4_PondTime,26.223
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,33
Pond2Fish4_TimeLeft,1176.172
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.551
Pond2Fish5_PondTime,32.913
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,44
Pond2Fish5_TimeLeft,1169.483
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.612
Pond2Fish6_PondTime,39.945
Pond2Fish6_PondOutcome,55
Pond2Fish6_TotalOutcome,55
Pond2Fish6_TimeLeft,1162.451
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.49
Pond2Fish7_PondTime,47.35
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,66
Pond2Fish7_TimeLeft,1155.046
PondEnd_LastFish,7
FishN,19
Type,N
GiveUpTime,2.15
PondTime,49.177
TimeLeft,1152.704
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,11.891435792203993
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.134
Pond9Fish1_PondTime,7.828
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,77
Pond9Fish1_TimeLeft,1132.353
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,14.046
Pond9Fish2_PondOutcome,11
Pond9Fish2_TotalOutcome,77
Pond9Fish2_TimeLeft,1126.134
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.111
Pond9Fish3_PondTime,20.419
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,88
Pond9Fish3_TimeLeft,1119.761
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.946
Pond9Fish4_PondTime,27.113
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,99
Pond9Fish4_TimeLeft,1113.067
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.364
Pond9Fish5_PondTime,34.144
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,110
Pond9Fish5_TimeLeft,1106.037
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,1.158
Pond9Fish6_PondTime,41.538
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,121
Pond9Fish6_TimeLeft,1098.643
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,1.261
Pond9Fish7_PondTime,49.396
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,132
Pond9Fish7_TimeLeft,1090.785
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,1.175
Pond9Fish8_PondTime,57.787
Pond9Fish8_PondOutcome,77
Pond9Fish8_TotalOutcome,143
Pond9Fish8_TimeLeft,1082.394
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.119
Pond9Fish9_PondTime,66.837
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,154
Pond9Fish9_TimeLeft,1073.343
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.391
Pond9Fish10_PondTime,76.735
Pond9Fish10_PondOutcome,99
Pond9Fish10_TotalOutcome,165
Pond9Fish10_TimeLeft,1063.446
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,7.568
PondTime,83.878
TimeLeft,1055.787
PondOutcome,99
TotalOutcome,165
PondStart,PondStart
PondIntroTime,14.816708355210721
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.437
Pond10Fish1_PondTime,8.341
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,176
Pond10Fish1_TimeLeft,1031.988
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,2.372
Pond10Fish2_PondTime,15.693
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,187
Pond10Fish2_TimeLeft,1024.636
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.116
Pond10Fish3_PondTime,22.695
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,198
Pond10Fish3_TimeLeft,1017.634
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.382
Pond10Fish4_PondTime,30.099
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,209
Pond10Fish4_TimeLeft,1010.23
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,-1
Pond10Fish5_PondTime,38.015
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,209
Pond10Fish5_TimeLeft,1002.314
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.207
Pond10Fish6_PondTime,46.421
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,220
Pond10Fish6_TimeLeft,993.908
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,-1
Pond10Fish7_PondTime,55.546
Pond10Fish7_PondOutcome,55
Pond10Fish7_TotalOutcome,220
Pond10Fish7_TimeLeft,984.783
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.144
Pond10Fish8_PondTime,65.453
Pond10Fish8_PondOutcome,66
Pond10Fish8_TotalOutcome,231
Pond10Fish8_TimeLeft,974.876
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.377
