,5a47fa82ee927b0001e1eaae
PlayerDetails,5a47fa82ee927b0001e1eaae
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,18
Pond11_Type,N
Pond11_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,17
Pond1_Type,N
Pond1_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,14
Pond5_Type,N
Pond5_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:18:37 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.409
Pond10Fish1_PondTime,7.84
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1194.557
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.62
Pond10Fish2_PondTime,13.99
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1188.407
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.576
Pond10Fish3_PondTime,20.377
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1182.021
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.545
Pond10Fish4_PondTime,27.054
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1175.344
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.55
Pond10Fish5_PondTime,34.049
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1168.349
PondEnd_LastFish,5
FishN,18
Type,N
GiveUpTime,2.317
PondTime,36.116
TimeLeft,1165.778
PondOutcome,55
TotalOutcome,55
PondStart,PondStart
PondIntroTime,15.775824969168752
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,7.878
Pond12Fish1_PondOutcome,0
Pond12Fish1_TotalOutcome,55
Pond12Fish1_TimeLeft,1141.484
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.625
Pond12Fish2_PondTime,14.029
Pond12Fish2_PondOutcome,11
Pond12Fish2_TotalOutcome,66
Pond12Fish2_TimeLeft,1135.333
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.846
Pond12Fish3_PondTime,20.571
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,77
Pond12Fish3_TimeLeft,1128.791
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.817
Pond12Fish4_PondTime,27.362
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,88
Pond12Fish4_TimeLeft,1122
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.383
Pond12Fish5_PondTime,34.386
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,99
Pond12Fish5_TimeLeft,1114.976
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.537
Pond12Fish6_PondTime,41.787
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,110
Pond12Fish6_TimeLeft,1107.575
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,1.182
Pond12Fish7_PondTime,49.638
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,121
Pond12Fish7_TimeLeft,1099.724
PondEnd_LastFish,7
FishN,18
Type,N
GiveUpTime,1.317
PondTime,50.321
TimeLeft,1098.536
PondOutcome,66
TotalOutcome,121
PondStart,PondStart
PondIntroTime,12.5152851594612
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.344
Pond11Fish1_PondTime,8.047
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,132
Pond11Fish1_TimeLeft,1077.347
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.465
Pond11Fish2_PondTime,14.446
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,143
Pond11Fish2_TimeLeft,1070.948
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.607
Pond11Fish3_PondTime,21.11
Pond11Fish3_PondOutcome,33
