,5c83b0408c0d0100175902f7
PlayerDetails,5c83b0408c0d0100175902f7
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,N
Pond6_#Fishes,17
Pond9_Type,N
Pond9_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,15
Pond7_Type,N
Pond7_#Fishes,17
Pond1_Type,N
Pond1_#Fishes,15
Pond3_Type,N
Pond3_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:30:44 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.204
Pond6Fish1_PondTime,8.026
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1194.373
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.323
Pond6Fish2_PondTime,14.385
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1188.014
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.495
Pond6Fish3_PondTime,21.03
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1181.368
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.211
Pond6Fish4_PondTime,28.009
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1174.389
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.377
Pond6Fish5_PondTime,35.373
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1167.026
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.651
Pond6Fish6_PondTime,43.185
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1159.214
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.189
Pond6Fish7_PondTime,51.55
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,77
Pond6Fish7_TimeLeft,1150.849
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.47
Pond6Fish8_PondTime,60.584
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,88
Pond6Fish8_TimeLeft,1141.815
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.394
Pond6Fish9_PondTime,70.45
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,99
Pond6Fish9_TimeLeft,1131.948
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.082
Pond6Fish10_PondTime,81.387
Pond6Fish10_PondOutcome,110
