,5d449145de2d3a00167077e9
PlayerDetails,5d449145de2d3a00167077e9
GameCompleted,declined
Selected ponds in the game,=======
Pond12_Type,N
Pond12_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 19:18:25 GMT+0200 (Eastern European Standard Time)
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.723
Pond12Fish1_PondTime,8.576
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,11
Pond12Fish1_TimeLeft,1193.822
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.141
Pond12Fish2_PondTime,15.576
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,22
Pond12Fish2_TimeLeft,1186.822
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.618
Pond12Fish3_PondTime,22.94
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,33
Pond12Fish3_TimeLeft,1179.458
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.77
Pond12Fish4_PondTime,30.757
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,44
Pond12Fish4_TimeLeft,1171.641
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.696
Pond12Fish5_PondTime,39.125
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,55
Pond12Fish5_TimeLeft,1163.273
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.679
Pond12Fish6_PondTime,48.158
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,66
Pond12Fish6_TimeLeft,1154.239
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.717
Pond12Fish7_PondTime,58.038
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,77
Pond12Fish7_TimeLeft,1144.36
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.952
Pond12Fish8_PondTime,68.972
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,88
Pond12Fish8_TimeLeft,1133.426
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,0.845
Pond12Fish9_PondTime,81.341
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,99
Pond12Fish9_TimeLeft,1121.057
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.025
Pond12Fish10_PondTime,95.706
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,110
Pond12Fish10_TimeLeft,1106.692
PondEnd_LastFish,10
FishN,15
Type,N
GiveUpTime,0.764
PondTime,112.702
TimeLeft,1089.191
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,16.674678125418723
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.832
Pond1Fish1_PondTime,9.285
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,121
Pond1Fish1_TimeLeft,1062.604
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
