,5e2093a7e10aa2000c631268
PlayerDetails,5e2093a7e10aa2000c631268
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,18
Pond8_Type,N
Pond8_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,15
Pond3_Type,N
Pond3_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,19
Pond5_Type,N
Pond5_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 09:14:23 GMT-0800 (Pacific Standard Time)
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.902
Pond11Fish1_PondTime,7.812
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1194.587
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.99
Pond11Fish2_PondTime,13.943
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1188.456
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.171
Pond11Fish3_PondTime,20.317
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1182.082
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.106
Pond11Fish4_PondTime,26.968
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,44
Pond11Fish4_TimeLeft,1175.431
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.118
Pond11Fish5_PondTime,33.955
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,55
Pond11Fish5_TimeLeft,1168.444
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.008
Pond11Fish6_PondTime,41.333
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,66
Pond11Fish6_TimeLeft,1161.066
PondEnd_LastFish,6
FishN,18
Type,N
GiveUpTime,0.775
PondTime,49.145
TimeLeft,1152.748
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,17.516121095977724
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,5
