,5c4330951b4ea30001cc52e9
PlayerDetails,5c4330951b4ea30001cc52e9
GameCompleted,declined
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,18
Pond11_Type,N
Pond11_#Fishes,17
Pond1_Type,N
Pond1_#Fishes,19
Pond8_Type,N
Pond8_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:14:13 GMT+0100 (Central European Standard Time)
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,0.866
Pond9Fish1_PondTime,8.879
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.52
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.004
Pond9Fish2_PondTime,16.244
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1186.155
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.147
Pond9Fish3_PondTime,24.058
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1178.34
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
