,5d8cebbaaba6a200176dd74d
PlayerDetails,5d8cebbaaba6a200176dd74d
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,16
Pond3_Type,N
Pond3_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,18
Pond8_Type,N
Pond8_#Fishes,19
Pond10_Type,N
Pond10_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:59:10 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.027
Pond9Fish1_PondTime,8.891
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.507
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.723
Pond9Fish2_PondTime,16.298
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1186.1
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.888
Pond9Fish3_PondTime,24.121
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1178.278
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.038
Pond9Fish4_PondTime,32.488
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1169.911
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.91
Pond9Fish5_PondTime,41.544
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1160.854
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,0.953
Pond9Fish6_PondTime,51.412
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,66
Pond9Fish6_TimeLeft,1150.987
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.059
Pond9Fish7_PondTime,62.354
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,77
Pond9Fish7_TimeLeft,1140.045
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.161
Pond9Fish8_PondTime,74.723
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,88
Pond9Fish8_TimeLeft,1127.676
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.124
Pond9Fish9_PondTime,89.099
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,99
Pond9Fish9_TimeLeft,1113.3
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,1.304
Pond9Fish10_PondTime,106.476
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,110
Pond9Fish10_TimeLeft,1095.923
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,1.332
PondTime,107.318
TimeLeft,1094.571
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,13.80382880102843
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,0.755
Pond11Fish1_PondTime,8.565
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,121
Pond11Fish1_TimeLeft,1071.568
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,0.97
Pond11Fish2_PondTime,15.562
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,132
Pond11Fish2_TimeLeft,1064.571
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.808
Pond11Fish3_PondTime,22.922
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,143
Pond11Fish3_TimeLeft,1057.211
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,0.636
Pond11Fish4_PondTime,30.743
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,154
Pond11Fish4_TimeLeft,1049.389
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,0.957
Pond11Fish5_PondTime,39.101
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,165
Pond11Fish5_TimeLeft,1041.032
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,0.893
Pond11Fish6_PondTime,48.135
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,176
Pond11Fish6_TimeLeft,1031.998
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.03
Pond11Fish7_PondTime,58.004
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,187
Pond11Fish7_TimeLeft,1022.129
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,0.803
Pond11Fish8_PondTime,68.994
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,198
Pond11Fish8_TimeLeft,1011.139
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
