,5d7fceecf52428001cc38b63
PlayerDetails,5d7fceecf52428001cc38b63
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,N
Pond1_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,19
Pond10_Type,N
Pond10_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,12
Pond11_Type,N
Pond11_#Fishes,17
Pond2_Type,N
Pond2_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,14
Pond5_Type,N
Pond5_#Fishes,15
Pond8_Type,N
Pond8_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 19:27:32 GMT+0200 (EET)
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.979
Pond1Fish1_PondTime,8.019
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,11
Pond1Fish1_TimeLeft,1194.379
PondEnd_LastFish,1
FishN,17
Type,N
GiveUpTime,0.754
PondTime,14.171
TimeLeft,1187.723
PondOutcome,11
TotalOutcome,11
PondStart,PondStart
PondIntroTime,19.929119455628097
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.038
Pond8Fish1_PondTime,9.268
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,22
Pond8Fish1_TimeLeft,1157.909
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.178
Pond8Fish2_PondTime,17.086
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,33
Pond8Fish2_TimeLeft,1150.091
PondEnd_LastFish,2
FishN,13
Type,N
GiveUpTime,0.56
PondTime,25.044
TimeLeft,1141.628
PondOutcome,22
TotalOutcome,33
PondStart,PondStart
PondIntroTime,17.083252852316946
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.95
Pond5Fish1_PondTime,9.734
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,44
Pond5Fish1_TimeLeft,1114.204
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.244
Pond5Fish2_PondTime,18.102
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,55
Pond5Fish2_TimeLeft,1105.836
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.281
Pond5Fish3_PondTime,27.136
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,66
Pond5Fish3_TimeLeft,1096.802
PondEnd_LastFish,3
FishN,12
Type,N
GiveUpTime,0.846
PondTime,27.461
TimeLeft,1095.974
PondOutcome,33
TotalOutcome,66
PondStart,PondStart
PondIntroTime,19.553854502737522
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.883
Pond6Fish1_PondTime,7.602
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,77
Pond6Fish1_TimeLeft,1068.2
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.98
Pond6Fish2_PondTime,13.504
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,88
Pond6Fish2_TimeLeft,1062.298
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.098
Pond6Fish3_PondTime,19.621
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,99
Pond6Fish3_TimeLeft,1056.181
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.794
Pond6Fish4_PondTime,25.986
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,110
Pond6Fish4_TimeLeft,1049.816
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.196
Pond6Fish5_PondTime,32.636
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,121
Pond6Fish5_TimeLeft,1043.166
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.969
Pond6Fish6_PondTime,39.623
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,132
Pond6Fish6_TimeLeft,1036.179
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,0.929
Pond6Fish7_PondTime,46.99
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,143
Pond6Fish7_TimeLeft,1028.812
PondEnd_LastFish,7
FishN,19
Type,N
GiveUpTime,0.677
PondTime,54.564
TimeLeft,1020.735
PondOutcome,77
TotalOutcome,143
PondStart,PondStart
PondIntroTime,13.32091161282733
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,0.87
Pond10Fish1_PondTime,7.801
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,154
Pond10Fish1_TimeLeft,998.994
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.863
Pond10Fish2_PondTime,13.921
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,165
Pond10Fish2_TimeLeft,992.874
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,0.885
Pond10Fish3_PondTime,20.288
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,176
Pond10Fish3_TimeLeft,986.507
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,0.889
Pond10Fish4_PondTime,26.936
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,187
Pond10Fish4_TimeLeft,979.859
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.13
Pond10Fish5_PondTime,33.921
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,198
Pond10Fish5_TimeLeft,972.874
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,0.763
Pond10Fish6_PondTime,41.289
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,209
Pond10Fish6_TimeLeft,965.505
PondEnd_LastFish,6
FishN,18
Type,N
GiveUpTime,0.438
PondTime,48.608
TimeLeft,957.683
PondOutcome,66
TotalOutcome,209
PondStart,PondStart
PondIntroTime,19.811712009832263
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.763
Pond9Fish1_PondTime,7.802
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,220
Pond9Fish1_TimeLeft,929.452
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.89
Pond9Fish2_PondTime,13.916
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,231
Pond9Fish2_TimeLeft,923.338
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.895
Pond9Fish3_PondTime,20.286
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,242
Pond9Fish3_TimeLeft,916.968
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.899
Pond9Fish4_PondTime,26.935
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,253
Pond9Fish4_TimeLeft,910.319
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.98
Pond9Fish5_PondTime,33.904
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,264
Pond9Fish5_TimeLeft,903.349
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.815
Pond9Fish6_PondTime,41.272
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,275
Pond9Fish6_TimeLeft,895.982
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.598
Pond9Fish7_PondTime,49.089
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,286
Pond9Fish7_TimeLeft,888.165
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.947
Pond9Fish8_PondTime,57.456
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,297
Pond9Fish8_TimeLeft,879.798
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.704
Pond9Fish9_PondTime,66.49
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,308
Pond9Fish9_TimeLeft,870.764
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,0.907
Pond9Fish10_PondTime,76.358
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,319
Pond9Fish10_TimeLeft,860.896
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,0.41
PondTime,86.866
TimeLeft,849.885
PondOutcome,110
TotalOutcome,319
PondStart,PondStart
PondIntroTime,11.765661514364183
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.866
Pond4Fish1_PondTime,9.734
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,330
Pond4Fish1_TimeLeft,827.761
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.256
Pond4Fish2_PondTime,18.103
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,341
Pond4Fish2_TimeLeft,819.392
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.718
Pond4Fish3_PondTime,27.137
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,352
Pond4Fish3_TimeLeft,810.358
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.601
Pond4Fish4_PondTime,37.006
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,363
Pond4Fish4_TimeLeft,800.489
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.931
Pond4Fish5_PondTime,47.94
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,374
Pond4Fish5_TimeLeft,789.555
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,0.35
PondTime,59.504
TimeLeft,777.488
PondOutcome,55
TotalOutcome,374
PondStart,PondStart
PondIntroTime,15.368742975406349
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.429
Pond7Fish1_PondTime,9.733
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,385
Pond7Fish1_TimeLeft,751.753
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.979
Pond7Fish2_PondTime,18.103
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,396
Pond7Fish2_TimeLeft,743.384
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.984
Pond7Fish3_PondTime,27.137
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,407
Pond7Fish3_TimeLeft,734.35
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.032
Pond7Fish4_PondTime,37.006
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,418
Pond7Fish4_TimeLeft,724.481
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.168
Pond7Fish5_PondTime,47.941
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,429
Pond7Fish5_TimeLeft,713.546
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.063
Pond7Fish6_PondTime,60.306
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,440
Pond7Fish6_TimeLeft,701.18
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,0.872
Pond7Fish7_PondTime,74.674
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,451
Pond7Fish7_TimeLeft,686.812
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,0.771
Pond7Fish8_PondTime,92.044
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,462
Pond7Fish8_TimeLeft,669.443
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,21.254
PondTime,112.277
TimeLeft,648.706
PondOutcome,88
TotalOutcome,462
PondStart,PondStart
PondIntroTime,17.03586602350697
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.162
Pond11Fish1_PondTime,8.02
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,473
Pond11Fish1_TimeLeft,623.021
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,0.821
Pond11Fish2_PondTime,14.387
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,484
Pond11Fish2_TimeLeft,616.653
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.899
Pond11Fish3_PondTime,21.037
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,495
Pond11Fish3_TimeLeft,610.004
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.601
Pond11Fish4_PondTime,28.022
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,506
Pond11Fish4_TimeLeft,603.019
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.07
Pond11Fish5_PondTime,35.388
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,517
Pond11Fish5_TimeLeft,595.653
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.581
Pond11Fish6_PondTime,43.204
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,528
Pond11Fish6_TimeLeft,587.837
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.843
Pond11Fish7_PondTime,51.572
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,539
Pond11Fish7_TimeLeft,579.469
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.994
Pond11Fish8_PondTime,60.607
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,550
Pond11Fish8_TimeLeft,570.434
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.835
Pond11Fish9_PondTime,70.474
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,561
Pond11Fish9_TimeLeft,560.567
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.962
Pond11Fish10_PondTime,81.409
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,572
Pond11Fish10_TimeLeft,549.632
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,0.715
Pond11Fish11_PondTime,93.778
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,583
Pond11Fish11_TimeLeft,537.263
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,0.63
PondTime,107.772
TimeLeft,522.767
PondOutcome,121
TotalOutcome,583
PondStart,PondStart
PondIntroTime,18.348422057460994
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.762
Pond2Fish1_PondTime,7.799
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,594
Pond2Fish1_TimeLeft,496.01
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.204
Pond2Fish2_PondTime,13.915
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,605
Pond2Fish2_TimeLeft,489.894
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.047
Pond2Fish3_PondTime,20.284
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,616
Pond2Fish3_TimeLeft,483.525
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.73
Pond2Fish4_PondTime,26.935
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,627
Pond2Fish4_TimeLeft,476.874
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.032
Pond2Fish5_PondTime,33.921
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,638
Pond2Fish5_TimeLeft,469.888
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.008
Pond2Fish6_PondTime,41.291
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,649
Pond2Fish6_TimeLeft,462.518
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,0.886
Pond2Fish7_PondTime,49.109
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,660
Pond2Fish7_TimeLeft,454.7
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.894
Pond2Fish8_PondTime,57.478
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,671
Pond2Fish8_TimeLeft,446.331
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.93
Pond2Fish9_PondTime,66.511
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,682
Pond2Fish9_TimeLeft,437.298
Type,N
FishN,13
Fish,10
