,5ac399bce734400001da2257
PlayerDetails,5ac399bce734400001da2257
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,16
Pond4_Type,N
Pond4_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,17
Pond5_Type,N
Pond5_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,15
Pond3_Type,N
Pond3_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 09:26:08 GMT-0800 (Pacific Standard Time)
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.081
Pond8Fish1_PondTime,7.809
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,11
Pond8Fish1_TimeLeft,1194.588
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.182
Pond8Fish2_PondTime,13.932
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,22
Pond8Fish2_TimeLeft,1188.465
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.031
Pond8Fish3_PondTime,20.291
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,33
Pond8Fish3_TimeLeft,1182.106
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.019
Pond8Fish4_PondTime,26.949
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,44
Pond8Fish4_TimeLeft,1175.448
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.13
Pond8Fish5_PondTime,33.925
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,55
Pond8Fish5_TimeLeft,1168.472
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.98
Pond8Fish6_PondTime,41.282
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,66
Pond8Fish6_TimeLeft,1161.115
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,0.947
Pond8Fish7_PondTime,49.107
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,77
Pond8Fish7_TimeLeft,1153.29
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.952
Pond8Fish8_PondTime,57.466
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,88
Pond8Fish8_TimeLeft,1144.931
PondEnd_LastFish,8
FishN,18
Type,N
GiveUpTime,1.76
PondTime,58.393
TimeLeft,1143.502
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,16.39011209597811
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.452
Pond9Fish1_PondTime,8.274
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,99
Pond9Fish1_TimeLeft,1118.181
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.077
Pond9Fish2_PondTime,14.917
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,110
Pond9Fish2_TimeLeft,1111.538
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,0.934
Pond9Fish3_PondTime,21.91
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,121
Pond9Fish3_TimeLeft,1104.545
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,0.918
Pond9Fish4_PondTime,29.281
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,132
Pond9Fish4_TimeLeft,1097.173
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,0.996
Pond9Fish5_PondTime,37.091
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,143
Pond9Fish5_TimeLeft,1089.364
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.648
Pond9Fish6_PondTime,45.451
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,154
Pond9Fish6_TimeLeft,1081.004
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,-1
Pond9Fish7_PondTime,54.53
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,154
Pond9Fish7_TimeLeft,1071.925
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.081
Pond9Fish8_PondTime,64.393
Pond9Fish8_PondOutcome,77
Pond9Fish8_TotalOutcome,165
Pond9Fish8_TimeLeft,1062.062
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.233
Pond9Fish9_PondTime,75.336
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,176
Pond9Fish9_TimeLeft,1051.119
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,0.972
Pond9Fish10_PondTime,87.703
Pond9Fish10_PondOutcome,99
Pond9Fish10_TotalOutcome,187
Pond9Fish10_TimeLeft,1038.752
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,1.026
Pond9Fish11_PondTime,102.068
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,198
Pond9Fish11_TimeLeft,1024.387
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,12
Pond9Fish12_CatchTime,1.15
Pond9Fish12_PondTime,119.44
Pond9Fish12_PondOutcome,121
Pond9Fish12_TotalOutcome,209
Pond9Fish12_TimeLeft,1007.015
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,2.109
PondTime,120.897
TimeLeft,1005.056
PondOutcome,121
TotalOutcome,209
PondStart,PondStart
PondIntroTime,16.335437553934753
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.905
Pond12Fish1_PondTime,8.291
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,220
Pond12Fish1_TimeLeft,979.799
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
