,5ba32826061141000107e6b6
PlayerDetails,5ba32826061141000107e6b6
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,N
Pond6_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,15
Pond7_Type,N
Pond7_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,14
Pond5_Type,N
Pond5_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,14
Pond8_Type,N
Pond8_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,13
Pond10_Type,N
Pond10_#Fishes,13
Pond3_Type,N
Pond3_#Fishes,16
Pond6_Type,N
Pond6_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 12:38:43 GMT-0500 (Eastern Standard Time)
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,0.94
Pond6Fish1_PondTime,8.27
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1194.129
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.089
Pond6Fish2_PondTime,14.925
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1187.473
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.22
Pond6Fish3_PondTime,21.919
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1180.48
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,1.042
Pond6Fish4_PondTime,29.292
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1173.107
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.985
Pond6Fish5_PondTime,37.129
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1165.27
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,0.93
Pond6Fish6_PondTime,45.493
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1156.906
PondEnd_LastFish,6
FishN,16
Type,N
GiveUpTime,1.029
PondTime,45.647
TimeLeft,1156.245
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,10.25164378574118
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,11.009
PondTime,1.06
TimeLeft,1142.928
PondOutcome,0
TotalOutcome,66
PondStart,PondStart
PondIntroTime,12.387931931298226
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.288
Pond7Fish1_PondTime,8.287
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,77
Pond7Fish1_TimeLeft,1121.62
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.42
Pond7Fish2_PondTime,14.95
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,88
Pond7Fish2_TimeLeft,1114.957
PondEnd_LastFish,2
FishN,16
Type,N
GiveUpTime,0.639
PondTime,15.219
TimeLeft,1114.184
PondOutcome,22
TotalOutcome,88
PondStart,PondStart
PondIntroTime,15.100918938405812
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.243
Pond12Fish1_PondTime,8.902
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,99
Pond12Fish1_TimeLeft,1089.556
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.895
Pond12Fish2_PondTime,16.275
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,110
