,5d920a36cfd466001758b44d
PlayerDetails,5d920a36cfd466001758b44d
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,N
Pond2_#Fishes,18
Pond10_Type,N
Pond10_#Fishes,18
Pond3_Type,N
Pond3_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,16
Pond1_Type,N
Pond1_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,14
Pond4_Type,N
Pond4_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:44:13 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.939
Pond2Fish1_PondTime,7.814
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,11
Pond2Fish1_TimeLeft,1194.579
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.369
Pond2Fish2_PondTime,13.947
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,22
Pond2Fish2_TimeLeft,1188.446
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.258
Pond2Fish3_PondTime,20.323
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,33
Pond2Fish3_TimeLeft,1182.07
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.161
Pond2Fish4_PondTime,26.983
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,44
Pond2Fish4_TimeLeft,1175.409
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.196
Pond2Fish5_PondTime,33.979
Pond2Fish5_PondOutcome,55
