,x
PlayerDetails,x
GameCompleted,exited
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Feb 17 2020 21:00:28 GMT+0200 (Israel Standard Time)
Type,N
FishN,14
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.286
Pond9Fish1_PondTime,9.761
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1192.638
Type,N
FishN,14
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.198
Pond9Fish2_PondTime,18.129
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1184.27
Type,N
FishN,14
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.309
Pond9Fish3_PondTime,27.16
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1175.239
Type,N
FishN,14
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.323
Pond9Fish4_PondTime,37.027
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1165.371
Type,N
FishN,14
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.493
Pond9Fish5_PondTime,47.961
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1154.438
Type,N
FishN,14
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.508
Pond9Fish6_PondTime,60.328
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,66
Pond9Fish6_TimeLeft,1142.071
Type,N
FishN,14
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.32
Pond9Fish7_PondTime,74.692
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,77
Pond9Fish7_TimeLeft,1127.707
Type,N
FishN,14
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.316
Pond9Fish8_PondTime,92.057
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,88
Pond9Fish8_TimeLeft,1110.342
Type,N
FishN,14
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.292
Pond9Fish9_PondTime,114.424
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,99
Pond9Fish9_TimeLeft,1087.975
Type,N
FishN,14
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,20
Pond9Fish10_CatchTime,1.403
Pond9Fish10_PondTime,146.795
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,110
Pond9Fish10_TimeLeft,1055.604
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,0.867
PondTime,147.271
TimeLeft,1054.623
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,10.558694296050817
