,5dcd0b8541ba729640a82b0e
PlayerDetails,5dcd0b8541ba729640a82b0e
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,N
Pond1_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,16
Pond11_Type,RD
Pond11_#Fishes,14
Pond5_Type,RD
Pond5_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,13
Pond3_Type,N
Pond3_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 13:47:34 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,15
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.037
Pond1Fish1_PondTime,7.838
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,11
Pond1Fish1_TimeLeft,1194.561
Type,N
FishN,15
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.249
Pond1Fish2_PondTime,13.953
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,22
Pond1Fish2_TimeLeft,1188.446
Type,N
FishN,15
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.799
Pond1Fish3_PondTime,20.339
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,33
Pond1Fish3_TimeLeft,1182.06
Type,N
FishN,15
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.003
Pond1Fish4_PondTime,27.006
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,44
Pond1Fish4_TimeLeft,1175.393
Type,N
FishN,15
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.06
Pond1Fish5_PondTime,34.005
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,55
Pond1Fish5_TimeLeft,1168.394
Type,N
FishN,15
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.043
Pond1Fish6_PondTime,41.405
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,66
Pond1Fish6_TimeLeft,1160.994
Type,N
FishN,15
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.305
Pond1Fish7_PondTime,49.239
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,77
Pond1Fish7_TimeLeft,1153.16
Type,N
FishN,15
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.018
Pond1Fish8_PondTime,57.606
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,88
Pond1Fish8_TimeLeft,1144.793
Type,N
FishN,15
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.017
Pond1Fish9_PondTime,66.658
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,99
Pond1Fish9_TimeLeft,1135.741
Type,N
FishN,15
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.998
Pond1Fish10_PondTime,76.524
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,110
Pond1Fish10_TimeLeft,1125.875
Type,N
FishN,15
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.16
Pond1Fish11_PondTime,87.458
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,121
Pond1Fish11_TimeLeft,1114.941
Type,N
FishN,15
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.368
Pond1Fish12_PondTime,99.828
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,132
Pond1Fish12_TimeLeft,1102.571
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,1.013
PondTime,100.42
TimeLeft,1101.476
PondOutcome,132
TotalOutcome,132
PondStart,PondStart
PondIntroTime,15.198680439498276
Type,RD
FishN,14
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,0.818
Pond9Fish1_PondTime,8.292
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,144
Pond9Fish1_TimeLeft,1077.32
Type,RD
FishN,14
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,0.984
Pond9Fish2_PondTime,14.942
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,156
Pond9Fish2_TimeLeft,1070.67
Type,RD
FishN,14
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,0.64
Pond9Fish3_PondTime,21.926
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,168
Pond9Fish3_TimeLeft,1063.686
Type,RD
FishN,14
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,0.929
Pond9Fish4_PondTime,29.293
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,180
Pond9Fish4_TimeLeft,1056.319
Type,RD
FishN,14
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,1.151
Pond9Fish5_PondTime,37.111
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,192
Pond9Fish5_TimeLeft,1048.501
Type,RD
FishN,14
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.423
Pond9Fish6_PondTime,45.495
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,204
Pond9Fish6_TimeLeft,1040.117
Type,RD
FishN,14
Fish,7
Pond9Fish7_FishType,gray
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.073
Pond9Fish7_PondTime,54.526
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,206
Pond9Fish7_TimeLeft,1031.086
Type,RD
FishN,14
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,0.82
Pond9Fish8_PondTime,64.395
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,218
Pond9Fish8_TimeLeft,1021.217
Type,RD
FishN,14
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,0.955
Pond9Fish9_PondTime,75.363
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,230
Pond9Fish9_TimeLeft,1010.249
Type,RD
FishN,14
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,0.852
Pond9Fish10_PondTime,87.73
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,242
Pond9Fish10_TimeLeft,997.882
Type,RD
FishN,14
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,0.973
Pond9Fish11_PondTime,102.098
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,254
Pond9Fish11_TimeLeft,983.514
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,1.591
PondTime,102.873
TimeLeft,982.237
PondOutcome,122
TotalOutcome,254
PondStart,PondStart
PondIntroTime,13.800947219133377
Type,RD
FishN,19
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.852
Pond11Fish1_PondTime,8.896
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,266
Pond11Fish1_TimeLeft,958.897
Type,RD
FishN,19
Fish,2
Pond11Fish2_FishType,gray
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.914
Pond11Fish2_PondTime,16.288
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,268
Pond11Fish2_TimeLeft,951.505
Type,RD
FishN,19
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.041
Pond11Fish3_PondTime,24.116
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,280
Pond11Fish3_TimeLeft,943.677
Type,RD
FishN,19
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.978
Pond11Fish4_PondTime,32.481
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,292
Pond11Fish4_TimeLeft,935.312
Type,RD
FishN,19
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.112
Pond11Fish5_PondTime,41.515
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,304
Pond11Fish5_TimeLeft,926.278
Type,RD
FishN,19
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.796
Pond11Fish6_PondTime,51.483
Pond11Fish6_PondOutcome,62
Pond11Fish6_TotalOutcome,316
Pond11Fish6_TimeLeft,916.31
Type,RD
FishN,19
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.187
Pond11Fish7_PondTime,62.417
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,328
Pond11Fish7_TimeLeft,905.376
Type,RD
FishN,19
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.898
Pond11Fish8_PondTime,74.785
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,340
Pond11Fish8_TimeLeft,893.008
Type,RD
FishN,19
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.951
Pond11Fish9_PondTime,89.141
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,352
Pond11Fish9_TimeLeft,878.652
Type,RD
FishN,19
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,0.963
Pond11Fish10_PondTime,106.505
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,364
Pond11Fish10_TimeLeft,861.288
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,21.023
PondTime,126.693
TimeLeft,840.597
PondOutcome,110
TotalOutcome,364
PondStart,PondStart
PondIntroTime,15.326460211072117
Type,RD
FishN,17
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.911
Pond5Fish1_PondTime,8.293
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,376
Pond5Fish1_TimeLeft,816.3
Type,RD
FishN,17
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,1.078
Pond5Fish2_PondTime,14.941
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,388
Pond5Fish2_TimeLeft,809.652
Type,RD
FishN,17
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.839
Pond5Fish3_PondTime,21.923
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,400
Pond5Fish3_TimeLeft,802.67
Type,RD
FishN,17
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.913
Pond5Fish4_PondTime,29.29
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,412
Pond5Fish4_TimeLeft,795.303
Type,RD
FishN,17
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.071
Pond5Fish5_PondTime,37.107
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,424
Pond5Fish5_TimeLeft,787.486
Type,RD
FishN,17
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.039
Pond5Fish6_PondTime,45.477
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,436
Pond5Fish6_TimeLeft,779.116
Type,RD
FishN,17
Fish,7
Pond5Fish7_FishType,gray
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.061
Pond5Fish7_PondTime,54.513
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,438
Pond5Fish7_TimeLeft,770.08
Type,RD
FishN,17
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.279
Pond5Fish8_PondTime,64.461
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,450
Pond5Fish8_TimeLeft,760.132
Type,RD
FishN,17
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.496
Pond5Fish9_PondTime,75.405
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,462
Pond5Fish9_TimeLeft,749.188
Type,RD
FishN,17
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.554
Pond5Fish10_PondTime,87.778
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,474
Pond5Fish10_TimeLeft,736.815
Type,RD
FishN,17
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.871
Pond5Fish11_PondTime,102.148
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,486
Pond5Fish11_TimeLeft,722.445
Type,RD
FishN,17
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.031
Pond5Fish12_PondTime,119.519
Pond5Fish12_PondOutcome,134
