,Martin
PlayerDetails,Martin
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,16
Pond2Type,RD
Pond2FishN,16
Pond3Type,RT
Pond3FishN,13
Pond4Type,RD
Pond4FishN,14
Pond5Type,RT
Pond5FishN,14
Pond6Type,RD
Pond6FishN,18
Pond7Type,RT
Pond7FishN,17
Pond8Type,RD
Pond8FishN,13
Pond9Type,RD
Pond9FishN,15
Pond10Type,RT
Pond10FishN,12
Pond11Type,RT
Pond11FishN,16
Pond12Type,RD
Pond12FishN,17
Date:,Sun Nov 10 2019 18:04:35 GMT+0100 (Central European Standard Time)
Pond12_Type,RD
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.705
Pond12Fish1_PondTime,5.615
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,12
Pond12Fish1_TimeLeft,1194.381
Pond12_Type,RD
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.936
Pond12Fish2_PondTime,11.983
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,24
Pond12Fish2_TimeLeft,1188.013
Pond12_Type,RD
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.183
Pond12Fish3_PondTime,18.629
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,36
Pond12Fish3_TimeLeft,1181.367
Pond12_Type,RD
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.65
Pond12Fish4_PondTime,25.613
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,48
Pond12Fish4_TimeLeft,1174.383
Pond12_Type,RD
Pond12Fish5_FishType,gray
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.587
Pond12Fish5_PondTime,32.991
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,50
Pond12Fish5_TimeLeft,1167.005
Pond12_Type,RD
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,1.086
Pond12Fish6_PondTime,40.811
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,62
Pond12Fish6_TimeLeft,1159.185
Pond12_Type,RD
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.856
Pond12Fish7_PondTime,49.175
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,74
Pond12Fish7_TimeLeft,1150.821
Pond12_Type,RD
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.823
Pond12Fish8_PondTime,58.208
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,86
Pond12Fish8_TimeLeft,1141.787
Pond12_Type,RD
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.196
Pond12Fish9_PondTime,68.072
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,98
Pond12Fish9_TimeLeft,1131.924
Pond12_GiveUpTime,0.686
Pond12_PondTime,79.036
Pond12_PondOutcome,98
Pond12_TotalOutcome,98
Pond12_TimeLeft,1120.96
Pond7IntroTime,11.862082746811211
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.691
Pond7Fish1_PondTime,20.53
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,108
Pond7Fish1_TimeLeft,1100.43
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
