,5cd00327e2b4370017255ecc
PlayerDetails,5cd00327e2b4370017255ecc
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 09:44:26 GMT+0200 (Itä-Euroopan normaaliaika)
Pond7_Type,N
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.163
Pond7Fish1_PondTime,5.862
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1194.136
Pond7_Type,N
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,12.609
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,11
Pond7Fish2_TimeLeft,1187.389
Pond7_Type,N
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.242
Pond7Fish3_PondTime,19.64
Pond7Fish3_PondOutcome,22
Pond7Fish3_TotalOutcome,22
Pond7Fish3_TimeLeft,1180.358
Pond7_Type,N
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.144
Pond7Fish4_PondTime,27.012
Pond7Fish4_PondOutcome,33
Pond7Fish4_TotalOutcome,33
Pond7Fish4_TimeLeft,1172.985
Pond7_Type,N
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.829
Pond7Fish5_PondTime,34.858
Pond7Fish5_PondOutcome,44
Pond7Fish5_TotalOutcome,44
Pond7Fish5_TimeLeft,1165.14
Pond7_Type,N
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.665
Pond7Fish6_PondTime,43.215
Pond7Fish6_PondOutcome,55
Pond7Fish6_TotalOutcome,55
Pond7Fish6_TimeLeft,1156.783
Pond7_Type,N
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.909
Pond7Fish7_PondTime,52.26
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,66
Pond7Fish7_TimeLeft,1147.738
Pond7_Type,N
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.801
Pond7Fish8_PondTime,62.147
Pond7Fish8_PondOutcome,77
Pond7Fish8_TotalOutcome,77
Pond7Fish8_TimeLeft,1137.851
Pond7_Type,N
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.789
Pond7Fish9_PondTime,73.081
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,88
Pond7Fish9_TimeLeft,1126.917
Pond7_Type,N
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,0.733
Pond7Fish10_PondTime,85.45
Pond7Fish10_PondOutcome,99
Pond7Fish10_TotalOutcome,99
Pond7Fish10_TimeLeft,1114.548
Pond7_Type,N
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.855
Pond7Fish11_PondTime,99.863
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,110
Pond7Fish11_TimeLeft,1100.135
Pond7_GiveUpTime,15.999
Pond7_PondTime,115.314
Pond7_PondOutcome,110
Pond7_TotalOutcome,110
Pond7_TimeLeft,1084.684
Pond12IntroTime,17.38315456546843
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.037
Pond12Fish1_PondTime,26.57
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,121
Pond12Fish1_TimeLeft,1058.114
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.814
Pond12Fish2_PondTime,33.554
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,132
Pond12Fish2_TimeLeft,1051.13
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.973
Pond12Fish3_PondTime,40.922
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,143
Pond12Fish3_TimeLeft,1043.762
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1
Pond12Fish4_PondTime,48.738
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,154
Pond12Fish4_TimeLeft,1035.946
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.648
Pond12Fish5_PondTime,57.133
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,165
Pond12Fish5_TimeLeft,1027.551
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.008
Pond12Fish6_PondTime,66.199
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,176
Pond12Fish6_TimeLeft,1018.485
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.821
Pond12Fish7_PondTime,76.072
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,187
Pond12Fish7_TimeLeft,1008.612
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.761
Pond12Fish8_PondTime,87.018
Pond12Fish8_PondOutcome,88
