,5da4cb7d6ce8030012c6526d
PlayerDetails,5da4cb7d6ce8030012c6526d
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 09:46:09 GMT+0200 (Eastern European Standard Time)
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.048
Pond9Fish1_PondTime,5.658
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1194.326
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.999
Pond9Fish2_PondTime,12.062
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1187.922
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.978
Pond9Fish3_PondTime,18.737
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1181.248
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.931
Pond9Fish4_PondTime,25.736
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1174.25
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.001
Pond9Fish5_PondTime,33.146
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1166.839
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.965
Pond9Fish6_PondTime,41.003
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,66
Pond9Fish6_TimeLeft,1158.983
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.826
Pond9Fish7_PondTime,49.41
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,77
Pond9Fish7_TimeLeft,1150.575
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.7
Pond9Fish8_PondTime,58.472
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,88
Pond9Fish8_TimeLeft,1141.514
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.024
Pond9Fish9_PondTime,68.343
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,99
Pond9Fish9_TimeLeft,1131.643
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.032
Pond9Fish10_PondTime,79.318
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,110
Pond9Fish10_TimeLeft,1120.668
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.97
Pond9Fish11_PondTime,91.704
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,121
Pond9Fish11_TimeLeft,1108.281
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,-1
Pond9Fish12_PondTime,106.137
Pond9Fish12_PondOutcome,121
Pond9Fish12_TotalOutcome,121
Pond9Fish12_TimeLeft,1093.848
Pond9_Type,N
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,1.582
Pond9Fish13_PondTime,123.502
Pond9Fish13_PondOutcome,132
Pond9Fish13_TotalOutcome,132
Pond9Fish13_TimeLeft,1076.483
Pond9_Type,N
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,1.405
Pond9Fish14_PondTime,145.89
Pond9Fish14_PondOutcome,143
Pond9Fish14_TotalOutcome,143
Pond9Fish14_TimeLeft,1054.096
Pond9_Type,N
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,20
Pond9Fish15_CatchTime,0.826
Pond9Fish15_PondTime,178.259
Pond9Fish15_PondOutcome,154
Pond9Fish15_TotalOutcome,154
Pond9Fish15_TimeLeft,1021.727
Pond9_Type,N
Pond9Fish16_FishType,green
Pond9Fish16_FishLatency,30
Pond9Fish16_CatchTime,-1
Pond9Fish16_PondTime,240.696
Pond9Fish16_PondOutcome,154
Pond9Fish16_TotalOutcome,154
Pond9Fish16_TimeLeft,959.29
Pond9_Type,N
Pond9Fish17_FishType,green
Pond9Fish17_FishLatency,60
Pond9Fish17_CatchTime,1.398
Pond9Fish17_PondTime,243.073
Pond9Fish17_PondOutcome,165
Pond9Fish17_TotalOutcome,165
Pond9Fish17_TimeLeft,956.913
Pond9_GiveUpTime,102.386
Pond9_PondTime,345.453
Pond9_PondOutcome,165
Pond9_TotalOutcome,165
Pond9_TimeLeft,854.533
Pond12IntroTime,12.063534106127918
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.764
Pond12Fish1_PondTime,21.34
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,176
Pond12Fish1_TimeLeft,833.193
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,28.393
Pond12Fish2_PondOutcome,11
Pond12Fish2_TotalOutcome,176
Pond12Fish2_TimeLeft,826.14
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.213
Pond12Fish3_PondTime,35.78
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,187
Pond12Fish3_TimeLeft,818.752
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.534
Pond12Fish4_PondTime,43.626
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,198
Pond12Fish4_TimeLeft,810.907
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.912
Pond12Fish5_PondTime,52.017
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,209
Pond12Fish5_TimeLeft,802.516
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.852
Pond12Fish6_PondTime,61.055
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,220
Pond12Fish6_TimeLeft,793.477
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.889
Pond12Fish7_PondTime,70.961
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,231
Pond12Fish7_TimeLeft,783.571
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.173
Pond12Fish8_PondTime,81.947
Pond12Fish8_PondOutcome,77
Pond12Fish8_TotalOutcome,242
Pond12Fish8_TimeLeft,772.585
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.169
Pond12Fish9_PondTime,94.378
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,253
Pond12Fish9_TimeLeft,760.155
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,0.919
Pond12Fish10_PondTime,108.772
Pond12Fish10_PondOutcome,99
Pond12Fish10_TotalOutcome,264
Pond12Fish10_TimeLeft,745.761
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,1.037
Pond12Fish11_PondTime,126.173
Pond12Fish11_PondOutcome,110
Pond12Fish11_TotalOutcome,275
Pond12Fish11_TimeLeft,728.359
Pond12_GiveUpTime,6.583
Pond12_PondTime,132.388
Pond12_PondOutcome,110
Pond12_TotalOutcome,275
Pond12_TimeLeft,722.145
Pond11IntroTime,12.826592668425292
