,5d11eb5bd369970001c416af
PlayerDetails,5d11eb5bd369970001c416af
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,13
Pond5_Type,RD
Pond5_#Fishes,18
Pond12_Type,RD
Pond12_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,13
Pond7_Type,N
Pond7_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:27:54 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,19
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.961
Pond4Fish1_PondTime,9.324
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1193.072
Type,RT
FishN,19
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.449
Pond4Fish2_PondTime,17.147
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,20
Pond4Fish2_TimeLeft,1185.25
PondEnd_LastFish,2
FishN,13
Type,RT
GiveUpTime,1.057
PondTime,17.859
TimeLeft,1184.022
PondOutcome,20
TotalOutcome,20
PondStart,PondStart
PondIntroTime,14.057901026681066
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.125
Pond5Fish1_PondTime,7.863
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,32
Pond5Fish1_TimeLeft,1161.465
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.017
Pond5Fish2_PondTime,13.99
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,44
Pond5Fish2_TimeLeft,1155.337
PondEnd_LastFish,2
FishN,18
Type,RD
GiveUpTime,0.644
PondTime,19.964
TimeLeft,1148.849
PondOutcome,24
TotalOutcome,44
PondStart,PondStart
PondIntroTime,15.868061808869243
Type,RD
FishN,18
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.871
Pond12Fish1_PondTime,8.917
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,56
Pond12Fish1_TimeLeft,1123.391
Type,RD
FishN,18
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.836
Pond12Fish2_PondTime,16.317
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,68
Pond12Fish2_TimeLeft,1115.991
PondEnd_LastFish,2
FishN,14
Type,RD
GiveUpTime,1.077
PondTime,16.436
TimeLeft,1115.355
PondOutcome,24
TotalOutcome,68
PondStart,PondStart
PondIntroTime,13.439272695686668
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,gray
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.263
Pond6Fish1_PondTime,7.662
Pond6Fish1_PondOutcome,2
Pond6Fish1_TotalOutcome,70
Pond6Fish1_TimeLeft,1093.584
Type,RD
FishN,15
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.893
Pond6Fish2_PondTime,13.569
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,82
Pond6Fish2_TimeLeft,1087.677
PondEnd_LastFish,2
FishN,19
Type,RD
GiveUpTime,0.652
PondTime,19.669
TimeLeft,1081.064
PondOutcome,14
TotalOutcome,82
PondStart,PondStart
PondIntroTime,16.710238037630916
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.941
Pond9Fish1_PondTime,9.781
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,93
Pond9Fish1_TimeLeft,1053.889
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.836
Pond9Fish2_PondTime,18.146
