,5c04e3a04e1b7b00016ad9a3
PlayerDetails,5c04e3a04e1b7b00016ad9a3
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,18
Pond3_Type,N
Pond3_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,18
Pond8_Type,RD
Pond8_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,17
Pond9_Type,N
Pond9_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:24:41 GMT+0100 (Ora standard dell’Europa centrale)
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.327
Pond6Fish1_PondTime,8.036
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.36
Type,RD
FishN,15
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.911
Pond6Fish2_PondTime,14.431
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,24
Pond6Fish2_TimeLeft,1187.965
Type,RD
FishN,15
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.909
Pond6Fish3_PondTime,21.097
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,36
Pond6Fish3_TimeLeft,1181.299
Type,RD
FishN,15
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.565
Pond6Fish4_PondTime,28.12
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,48
Pond6Fish4_TimeLeft,1174.275
Type,RD
FishN,15
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.069
Pond6Fish5_PondTime,35.507
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,60
Pond6Fish5_TimeLeft,1166.889
Type,RD
FishN,15
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.203
Pond6Fish6_PondTime,43.338
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,72
Pond6Fish6_TimeLeft,1159.058
Type,RD
FishN,15
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.091
Pond6Fish7_PondTime,51.722
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,84
Pond6Fish7_TimeLeft,1150.674
Type,RD
FishN,15
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.074
Pond6Fish8_PondTime,60.755
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,96
Pond6Fish8_TimeLeft,1141.641
Type,RD
FishN,15
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.476
Pond6Fish9_PondTime,70.63
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,108
Pond6Fish9_TimeLeft,1131.766
Type,RD
FishN,15
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.113
Pond6Fish10_PondTime,81.58
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,120
Pond6Fish10_TimeLeft,1120.816
Type,RD
FishN,15
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,0.978
Pond6Fish11_PondTime,93.946
Pond6Fish11_PondOutcome,132
Pond6Fish11_TotalOutcome,132
Pond6Fish11_TimeLeft,1108.45
Type,RD
FishN,15
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,0.82
Pond6Fish12_PondTime,108.339
