,5e221ddf262a5b4f6368bb0e
PlayerDetails,5e221ddf262a5b4f6368bb0e
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,16
Pond2_Type,N
Pond2_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,14
Pond3_Type,RD
Pond3_#Fishes,14
Pond12_Type,RD
Pond12_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,14
Pond9_Type,RT
Pond9_#Fishes,16
Pond12_Type,RT
Pond12_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,18
Pond7_Type,RT
Pond7_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:34:15 GMT+0100 (Central European Standard Time)
Type,RT
FishN,14
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.455
Pond10Fish1_PondTime,9.718
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1192.679
Type,RT
FishN,14
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.704
Pond10Fish2_PondTime,18.093
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1184.304
Type,RT
FishN,14
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.423
Pond10Fish3_PondTime,27.117
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1175.28
PondEnd_LastFish,3
FishN,12
Type,RT
GiveUpTime,1.469
PondTime,28.212
TimeLeft,1173.683
PondOutcome,30
TotalOutcome,30
PondStart,PondStart
PondIntroTime,14.371186608914286
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.84
Pond9Fish1_PondTime,7.971
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,41
Pond9Fish1_TimeLeft,1150.706
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.348
Pond9Fish2_PondTime,14.084
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,52
Pond9Fish2_TimeLeft,1144.593
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,20.506
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,52
Pond9Fish3_TimeLeft,1138.171
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.585
Pond9Fish4_PondTime,27.173
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,63
Pond9Fish4_TimeLeft,1131.504
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.616
Pond9Fish5_PondTime,34.151
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,74
Pond9Fish5_TimeLeft,1124.526
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,1.53
Pond9Fish6_PondTime,41.509
Pond9Fish6_PondOutcome,55
