,5ccc3dd7a758ba00133c0763
PlayerDetails,5ccc3dd7a758ba00133c0763
GameCompleted,declined
Selected ponds in the game,=======
Pond11_Type,RD
Pond11_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,12
Pond12_Type,N
Pond12_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,17
Pond7_Type,RT
Pond7_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 12:46:21 GMT+0100 (Středoevropský standardní čas)
Type,RD
FishN,15
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,0.766
Pond11Fish1_PondTime,9.264
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,12
Pond11Fish1_TimeLeft,1193.134
Type,RD
FishN,15
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,0.81
Pond11Fish2_PondTime,17.083
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,24
Pond11Fish2_TimeLeft,1185.316
Type,RD
FishN,15
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,0.924
Pond11Fish3_PondTime,25.449
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,36
Pond11Fish3_TimeLeft,1176.95
Type,RD
FishN,15
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,0.847
Pond11Fish4_PondTime,34.482
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,48
Pond11Fish4_TimeLeft,1167.917
Type,RD
FishN,15
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.249
Pond11Fish5_PondTime,44.349
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,60
Pond11Fish5_TimeLeft,1158.05
Type,RD
FishN,15
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.374
Pond11Fish6_PondTime,55.285
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,72
Pond11Fish6_TimeLeft,1147.114
Type,RD
FishN,15
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.751
Pond11Fish7_PondTime,67.651
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,84
Pond11Fish7_TimeLeft,1134.748
Type,RD
FishN,15
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,0.956
Pond11Fish8_PondTime,82.02
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,96
Pond11Fish8_TimeLeft,1120.378
Type,RD
FishN,15
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,1.62
Pond11Fish9_PondTime,99.387
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,108
Pond11Fish9_TimeLeft,1103.012
Type,RD
FishN,15
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,2.06
Pond11Fish10_PondTime,121.821
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,120
Pond11Fish10_TimeLeft,1080.578
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,1.677
PondTime,123.398
TimeLeft,1078.498
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,13.644930475857109
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.704
Pond4Fish1_PondTime,7.601
Pond4Fish1_PondOutcome,11
