,5dd9d2b6144b519668cabfc7
PlayerDetails,5dd9d2b6144b519668cabfc7
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,14
Pond2_Type,RT
Pond2_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,16
Pond10_Type,RD
Pond10_#Fishes,18
Pond7_Type,N
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:33:29 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.324
Pond12Fish1_PondTime,9.302
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1193.095
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.143
Pond12Fish2_PondTime,17.132
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,20
Pond12Fish2_TimeLeft,1185.266
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.916
Pond12Fish3_PondTime,25.519
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,30
Pond12Fish3_TimeLeft,1176.879
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.103
Pond12Fish4_PondTime,34.564
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,40
Pond12Fish4_TimeLeft,1167.834
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.096
Pond12Fish5_PondTime,44.45
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,50
Pond12Fish5_TimeLeft,1157.948
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,0.915
Pond12Fish6_PondTime,55.398
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,60
Pond12Fish6_TimeLeft,1146.999
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.014
Pond12Fish7_PondTime,67.779
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,70
Pond12Fish7_TimeLeft,1134.619
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.218
Pond12Fish8_PondTime,82.167
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,80
