,5de743d4efe1476cacd0365c
PlayerDetails,5de743d4efe1476cacd0365c
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,14
Pond6_Type,RT
Pond6_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,17
Pond5_Type,N
Pond5_#Fishes,13
Pond1_Type,RD
Pond1_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 18:32:20 GMT+0800 (Australian Western Standard Time)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.209
Pond2Fish1_PondTime,8.875
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1193.524
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,0.869
Pond2Fish2_PondTime,16.237
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1186.162
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,0.95
Pond2Fish3_PondTime,24.05
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,30
Pond2Fish3_TimeLeft,1178.349
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.851
Pond2Fish4_PondTime,32.405
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1169.994
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,golden
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.768
Pond2Fish5_PondTime,41.427
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,60
Pond2Fish5_TimeLeft,1160.972
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.8
Pond2Fish6_PondTime,51.283
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,70
Pond2Fish6_TimeLeft,1151.116
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,0.746
Pond2Fish7_PondTime,62.208
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,80
Pond2Fish7_TimeLeft,1140.191
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,golden
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.751
Pond2Fish8_PondTime,74.563
Pond2Fish8_PondOutcome,100
Pond2Fish8_TotalOutcome,100
Pond2Fish8_TimeLeft,1127.836
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,0.689
PondTime,88.703
TimeLeft,1113.194
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,19.24014801159501
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.987
Pond6Fish1_PondTime,8.559
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,110
Pond6Fish1_TimeLeft,1084.782
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.842
Pond6Fish2_PondTime,15.2
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,120
Pond6Fish2_TimeLeft,1078.141
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.019
Pond6Fish3_PondTime,22.173
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,130
Pond6Fish3_TimeLeft,1071.168
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,golden
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.946
Pond6Fish4_PondTime,29.528
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,150
Pond6Fish4_TimeLeft,1063.813
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.85
Pond6Fish5_PondTime,37.342
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,160
Pond6Fish5_TimeLeft,1055.999
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,1.459
Pond6Fish6_PondTime,45.697
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,170
Pond6Fish6_TimeLeft,1047.644
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.848
Pond6Fish7_PondTime,54.72
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,180
Pond6Fish7_TimeLeft,1038.621
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
