,5dfc82a1265c80974dd24384
PlayerDetails,5dfc82a1265c80974dd24384
GameCompleted,exited
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,18
Pond5_Type,RD
Pond5_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:45:52 GMT+0100 (Ora standard dell’Europa centrale)
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.985
Pond6Fish1_PondTime,13.594
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1188.803
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.249
Pond6Fish2_PondTime,21.968
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1180.43
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.404
Pond6Fish3_PondTime,31.021
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
Pond6Fish3_TimeLeft,1171.377
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.647
Pond6Fish4_PondTime,40.906
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,40
Pond6Fish4_TimeLeft,1161.492
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.065
Pond6Fish5_PondTime,51.856
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1150.542
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.182
Pond6Fish6_PondTime,64.248
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,60
Pond6Fish6_TimeLeft,1138.15
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.184
Pond6Fish7_PondTime,78.638
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,70
Pond6Fish7_TimeLeft,1123.76
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.405
Pond6Fish8_PondTime,96.014
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,80
Pond6Fish8_TimeLeft,1106.384
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,0.97
PondTime,96.594
TimeLeft,1105.29
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,14.281213243957609
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.096
Pond2Fish1_PondTime,9.763
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,92
Pond2Fish1_TimeLeft,1080.633
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.152
Pond2Fish2_PondTime,18.16
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,104
Pond2Fish2_TimeLeft,1072.237
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.287
Pond2Fish3_PondTime,27.252
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,116
Pond2Fish3_TimeLeft,1063.145
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.161
Pond2Fish4_PondTime,37.161
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,128
Pond2Fish4_TimeLeft,1053.236
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.662
Pond2Fish5_PondTime,48.132
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,140
Pond2Fish5_TimeLeft,1042.265
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.285
Pond2Fish6_PondTime,60.519
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,152
Pond2Fish6_TimeLeft,1029.878
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.235
Pond2Fish7_PondTime,74.919
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,164
Pond2Fish7_TimeLeft,1015.477
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.255
Pond2Fish8_PondTime,92.311
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,176
Pond2Fish8_TimeLeft,998.086
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,1.499
Pond2Fish9_PondTime,114.709
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,188
Pond2Fish9_TimeLeft,975.688
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,0.963
PondTime,115.372
TimeLeft,974.506
PondOutcome,108
TotalOutcome,188
PondStart,PondStart
PondIntroTime,12.487879558466375
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.051
Pond10Fish1_PondTime,8.094
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,198
Pond10Fish1_TimeLeft,953.286
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.364
Pond10Fish2_PondTime,14.501
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,208
Pond10Fish2_TimeLeft,946.88
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,-1
Pond10Fish3_PondTime,21.243
Pond10Fish3_PondOutcome,20
Pond10Fish3_TotalOutcome,208
Pond10Fish3_TimeLeft,940.138
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.089
Pond10Fish4_PondTime,28.245
Pond10Fish4_PondOutcome,30
Pond10Fish4_TotalOutcome,218
Pond10Fish4_TimeLeft,933.136
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.27
Pond10Fish5_PondTime,35.638
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,228
Pond10Fish5_TimeLeft,925.743
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.207
Pond10Fish6_PondTime,43.499
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,238
Pond10Fish6_TimeLeft,917.882
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,golden
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.18
Pond10Fish7_PondTime,51.888
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,258
