,5d495ad410bee7001bd0f4ee
PlayerDetails,5d495ad410bee7001bd0f4ee
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,N
Pond3_#Fishes,18
Pond10_Type,RT
Pond10_#Fishes,13
Pond8_Type,RT
Pond8_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,15
Pond9_Type,N
Pond9_#Fishes,15
Pond4_Type,RT
Pond4_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,14
Pond5_Type,RD
Pond5_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:34:30 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.427
Pond3Fish1_PondTime,7.852
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,11
Pond3Fish1_TimeLeft,1194.546
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.129
Pond3Fish2_PondTime,13.971
Pond3Fish2_PondOutcome,22
