,5bef1fe8165b120001bb671e
PlayerDetails,5bef1fe8165b120001bb671e
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,18
Pond12_Type,RD
Pond12_#Fishes,16
Pond2_Type,RD
Pond2_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,16
Pond9_Type,RD
Pond9_#Fishes,12
Pond6_Type,RT
Pond6_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:12:57 GMT+0100 (heure normale d’Europe centrale)
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.924
Pond3Fish1_PondTime,8.265
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1194.135
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.252
Pond3Fish2_PondTime,14.914
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1187.486
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,0.834
Pond3Fish3_PondTime,21.898
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1180.502
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.051
Pond3Fish4_PondTime,29.265
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1173.135
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,0.86
Pond3Fish5_PondTime,37.081
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,50
Pond3Fish5_TimeLeft,1165.319
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.851
Pond3Fish6_PondTime,45.448
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,60
Pond3Fish6_TimeLeft,1156.952
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.9
Pond3Fish7_PondTime,54.481
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,70
Pond3Fish7_TimeLeft,1147.919
PondEnd_LastFish,7
FishN,19
Type,RT
GiveUpTime,1.166
PondTime,54.762
TimeLeft,1147.137
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,10.585179992485791
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.828
Pond5Fish1_PondTime,7.8
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,80
Pond5Fish1_TimeLeft,1128.136
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.978
Pond5Fish2_PondTime,13.917
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,90
Pond5Fish2_TimeLeft,1122.019
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.936
Pond5Fish3_PondTime,20.283
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,100
Pond5Fish3_TimeLeft,1115.653
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.878
Pond5Fish4_PondTime,26.932
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,110
Pond5Fish4_TimeLeft,1109.004
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.656
Pond5Fish5_PondTime,33.917
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,130
Pond5Fish5_TimeLeft,1102.019
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.659
Pond5Fish6_PondTime,41.282
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,140
Pond5Fish6_TimeLeft,1094.654
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.645
Pond5Fish7_PondTime,49.1
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,150
Pond5Fish7_TimeLeft,1086.836
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.349
Pond5Fish8_PondTime,57.466
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,160
Pond5Fish8_TimeLeft,1078.47
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.869
Pond5Fish9_PondTime,66.5
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,170
Pond5Fish9_TimeLeft,1069.436
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,0.77
Pond5Fish10_PondTime,76.365
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,180
Pond5Fish10_TimeLeft,1059.571
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,0.709
Pond5Fish11_PondTime,87.299
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,190
Pond5Fish11_TimeLeft,1048.637
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.053
Pond5Fish12_PondTime,99.666
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,200
Pond5Fish12_TimeLeft,1036.27
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.2
Pond5Fish13_PondTime,114.031
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,210
Pond5Fish13_TimeLeft,1021.905
Type,RT
FishN,12
Fish,14
Pond5Fish14_FishType,golden
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,1.156
Pond5Fish14_PondTime,131.399
Pond5Fish14_PondOutcome,160
Pond5Fish14_TotalOutcome,230
Pond5Fish14_TimeLeft,1004.537
Type,RT
FishN,12
Fish,15
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,15
Pond5Fish15_CatchTime,1.056
Pond5Fish15_PondTime,153.765
Pond5Fish15_PondOutcome,170
Pond5Fish15_TotalOutcome,240
Pond5Fish15_TimeLeft,982.171
PondEnd_LastFish,15
FishN,12
Type,RT
GiveUpTime,0.83
PondTime,153.861
TimeLeft,981.574
PondOutcome,170
TotalOutcome,240
PondStart,PondStart
PondIntroTime,14.78391450131312
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.753
Pond12Fish1_PondTime,8.267
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,252
Pond12Fish1_TimeLeft,957.904
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.626
Pond12Fish2_PondTime,14.917
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,264
Pond12Fish2_TimeLeft,951.254
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.186
Pond12Fish3_PondTime,21.882
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,276
Pond12Fish3_TimeLeft,944.289
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.595
Pond12Fish4_PondTime,29.25
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,288
Pond12Fish4_TimeLeft,936.921
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.993
Pond12Fish5_PondTime,37.067
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,300
Pond12Fish5_TimeLeft,929.104
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.625
Pond12Fish6_PondTime,45.432
Pond12Fish6_PondOutcome,72
Pond12Fish6_TotalOutcome,312
Pond12Fish6_TimeLeft,920.739
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.785
Pond12Fish7_PondTime,54.466
Pond12Fish7_PondOutcome,84
Pond12Fish7_TotalOutcome,324
Pond12Fish7_TimeLeft,911.705
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.751
Pond12Fish8_PondTime,64.333
Pond12Fish8_PondOutcome,96
Pond12Fish8_TotalOutcome,336
Pond12Fish8_TimeLeft,901.838
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.738
Pond12Fish9_PondTime,75.265
Pond12Fish9_PondOutcome,108
Pond12Fish9_TotalOutcome,348
Pond12Fish9_TimeLeft,890.906
Type,RD
FishN,13
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,0.637
Pond12Fish10_PondTime,87.632
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,360
Pond12Fish10_TimeLeft,878.539
Type,RD
FishN,13
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,0.812
Pond12Fish11_PondTime,101.999
Pond12Fish11_PondOutcome,132
Pond12Fish11_TotalOutcome,372
Pond12Fish11_TimeLeft,864.172
Type,RD
FishN,13
Fish,12
Pond12Fish12_FishType,blue
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,0.83
Pond12Fish12_PondTime,119.364
Pond12Fish12_PondOutcome,144
Pond12Fish12_TotalOutcome,384
Pond12Fish12_TimeLeft,846.807
PondEnd_LastFish,12
FishN,13
Type,RD
GiveUpTime,2.25
PondTime,120.647
TimeLeft,845.023
PondOutcome,144
TotalOutcome,384
PondStart,PondStart
PondIntroTime,10.762534909881651
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.747
Pond2Fish1_PondTime,9.734
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,396
Pond2Fish1_TimeLeft,823.907
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,0.615
Pond2Fish2_PondTime,18.102
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,408
Pond2Fish2_TimeLeft,815.539
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.627
Pond2Fish3_PondTime,27.135
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,420
Pond2Fish3_TimeLeft,806.506
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.418
Pond2Fish4_PondTime,37.002
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,432
Pond2Fish4_TimeLeft,796.639
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.028
Pond2Fish5_PondTime,47.936
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,444
Pond2Fish5_TimeLeft,785.705
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.623
Pond2Fish6_PondTime,60.302
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,456
Pond2Fish6_TimeLeft,773.339
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.166
Pond2Fish7_PondTime,74.668
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,458
Pond2Fish7_TimeLeft,758.973
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,0.89
Pond2Fish8_PondTime,92.036
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,470
Pond2Fish8_TimeLeft,741.605
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,0.812
Pond2Fish9_PondTime,114.4
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,482
Pond2Fish9_TimeLeft,719.241
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,20
Pond2Fish10_CatchTime,0.693
Pond2Fish10_PondTime,146.768
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,494
Pond2Fish10_TimeLeft,686.873
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,45.385
PondTime,191.051
TimeLeft,642.089
PondOutcome,110
TotalOutcome,494
PondStart,PondStart
PondIntroTime,17.80588003108278
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.894
Pond7Fish1_PondTime,8.551
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,505
Pond7Fish1_TimeLeft,615.108
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.956
Pond7Fish2_PondTime,15.535
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,516
Pond7Fish2_TimeLeft,608.124
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.83
Pond7Fish3_PondTime,22.901
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,527
Pond7Fish3_TimeLeft,600.758
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.738
Pond7Fish4_PondTime,30.718
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,538
Pond7Fish4_TimeLeft,592.941
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.608
Pond7Fish5_PondTime,39.084
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,549
Pond7Fish5_TimeLeft,584.575
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.859
Pond7Fish6_PondTime,48.118
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,560
Pond7Fish6_TimeLeft,575.541
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,0.803
Pond7Fish7_PondTime,57.984
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,571
Pond7Fish7_TimeLeft,565.675
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.789
Pond7Fish8_PondTime,68.918
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,582
Pond7Fish8_TimeLeft,554.741
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,0.755
PondTime,81.221
TimeLeft,541.937
PondOutcome,88
TotalOutcome,582
PondStart,PondStart
PondIntroTime,17.239378849044442
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.942
Pond4Fish1_PondTime,9.267
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,594
Pond4Fish1_TimeLeft,514.809
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.844
Pond4Fish2_PondTime,17.085
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,606
Pond4Fish2_TimeLeft,506.991
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.59
Pond4Fish3_PondTime,25.45
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,618
Pond4Fish3_TimeLeft,498.626
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.634
Pond4Fish4_PondTime,34.484
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,630
Pond4Fish4_TimeLeft,489.592
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.923
Pond4Fish5_PondTime,44.35
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,642
Pond4Fish5_TimeLeft,479.726
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.868
Pond4Fish6_PondTime,55.283
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,654
Pond4Fish6_TimeLeft,468.793
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.284
Pond4Fish7_PondTime,67.65
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,666
Pond4Fish7_TimeLeft,456.426
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,gray
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.115
Pond4Fish8_PondTime,82.015
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,668
Pond4Fish8_TimeLeft,442.061
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,0.772
PondTime,99.22
TimeLeft,424.355
PondOutcome,86
TotalOutcome,668
PondStart,PondStart
PondIntroTime,11.233760595787317
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,0.902
Pond8Fish1_PondTime,8.266
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,680
Pond8Fish1_TimeLeft,403.412
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.735
Pond8Fish2_PondTime,14.918
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,692
Pond8Fish2_TimeLeft,396.76
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.846
Pond8Fish3_PondTime,23.194
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,694
Pond8Fish3_TimeLeft,388.484
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,0.81
Pond8Fish4_PondTime,31.201
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,706
Pond8Fish4_TimeLeft,380.477
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,gray
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.919
Pond8Fish5_PondTime,39.017
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,708
Pond8Fish5_TimeLeft,372.661
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.327
Pond8Fish6_PondTime,47.383
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,720
Pond8Fish6_TimeLeft,364.295
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.781
Pond8Fish7_PondTime,56.416
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,732
Pond8Fish7_TimeLeft,355.262
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.448
Pond8Fish8_PondTime,66.283
Pond8Fish8_PondOutcome,76
Pond8Fish8_TotalOutcome,744
Pond8Fish8_TimeLeft,345.395
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,0.777
Pond8Fish9_PondTime,77.217
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,756
Pond8Fish9_TimeLeft,334.461
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,-1
Pond8Fish10_PondTime,89.633
Pond8Fish10_PondOutcome,88
Pond8Fish10_TotalOutcome,756
Pond8Fish10_TimeLeft,322.045
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,0.907
Pond8Fish11_PondTime,104.001
Pond8Fish11_PondOutcome,100
Pond8Fish11_TotalOutcome,768
Pond8Fish11_TimeLeft,307.677
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,0.586
PondTime,121.101
TimeLeft,290.076
PondOutcome,100
TotalOutcome,768
PondStart,PondStart
PondIntroTime,19.096958744339645
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.204
Pond9Fish1_PondTime,9.734
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,780
Pond9Fish1_TimeLeft,260.629
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.452
Pond9Fish2_PondTime,18.1
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,792
Pond9Fish2_TimeLeft,252.263
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.748
Pond9Fish3_PondTime,27.133
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,804
Pond9Fish3_TimeLeft,243.23
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.662
Pond9Fish4_PondTime,37
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,816
Pond9Fish4_TimeLeft,233.363
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,0.666
Pond9Fish5_PondTime,47.935
Pond9Fish5_PondOutcome,60
