,5dfde35aecb3eaa9b7c0db0f
PlayerDetails,5dfde35aecb3eaa9b7c0db0f
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,12
Pond4_Type,N
Pond4_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,18
Pond2_Type,N
Pond2_#Fishes,13
Pond9_Type,RD
Pond9_#Fishes,14
Pond1_Type,RD
Pond1_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:45:11 GMT+0100 (Central European Standard Time)
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.522
Pond7Fish1_PondTime,9.791
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1192.601
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,golden
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.151
Pond7Fish2_PondTime,18.174
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,30
Pond7Fish2_TimeLeft,1184.219
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.207
Pond7Fish3_PondTime,27.221
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,40
Pond7Fish3_TimeLeft,1175.171
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,golden
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.207
Pond7Fish4_PondTime,37.108
Pond7Fish4_PondOutcome,60
Pond7Fish4_TotalOutcome,60
Pond7Fish4_TimeLeft,1165.284
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.159
Pond7Fish5_PondTime,48.059
Pond7Fish5_PondOutcome,70
Pond7Fish5_TotalOutcome,70
Pond7Fish5_TimeLeft,1154.333
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.938
Pond7Fish6_PondTime,60.456
Pond7Fish6_PondOutcome,80
Pond7Fish6_TotalOutcome,80
Pond7Fish6_TimeLeft,1141.936
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.281
Pond7Fish7_PondTime,74.835
Pond7Fish7_PondOutcome,90
Pond7Fish7_TotalOutcome,90
Pond7Fish7_TimeLeft,1127.557
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,1.474
PondTime,75.785
