,5dfe25455a3425ac4ba1a1a3
PlayerDetails,5dfe25455a3425ac4ba1a1a3
GameCompleted,declined
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,13
Pond7_Type,RD
Pond7_#Fishes,19
Pond8_Type,RD
Pond8_#Fishes,17
Pond2_Type,N
Pond2_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:34:08 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,-1
Pond11Fish1_PondTime,8.666
Pond11Fish1_PondOutcome,0
Pond11Fish1_TotalOutcome,0
Pond11Fish1_TimeLeft,1193.642
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.388
Pond11Fish2_PondTime,15.725
Pond11Fish2_PondOutcome,11
Pond11Fish2_TotalOutcome,11
Pond11Fish2_TimeLeft,1186.584
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.012
Pond11Fish3_PondTime,23.55
Pond11Fish3_PondOutcome,22
Pond11Fish3_TotalOutcome,22
Pond11Fish3_TimeLeft,1178.757
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.632
Pond11Fish4_PondTime,31.395
Pond11Fish4_PondOutcome,33
Pond11Fish4_TotalOutcome,33
Pond11Fish4_TimeLeft,1170.914
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.088
Pond11Fish5_PondTime,40.162
Pond11Fish5_PondOutcome,44
Pond11Fish5_TotalOutcome,44
Pond11Fish5_TimeLeft,1162.147
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.4
Pond11Fish6_PondTime,49.22
Pond11Fish6_PondOutcome,55
Pond11Fish6_TotalOutcome,55
Pond11Fish6_TimeLeft,1153.089
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,59.592
Pond11Fish7_PondOutcome,55
Pond11Fish7_TotalOutcome,55
Pond11Fish7_TimeLeft,1142.717
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.422
Pond11Fish8_PondTime,70.526
Pond11Fish8_PondOutcome,66
Pond11Fish8_TotalOutcome,66
Pond11Fish8_TimeLeft,1131.782
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,-1
Pond11Fish9_PondTime,83.556
Pond11Fish9_PondOutcome,66
Pond11Fish9_TotalOutcome,66
Pond11Fish9_TimeLeft,1118.753
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,14.976
PondTime,85.13
TimeLeft,1116.65
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,11.843017325736582
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.773
Pond5Fish1_PondTime,9.387
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,76
Pond5Fish1_TimeLeft,1094.68
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.534
Pond5Fish2_PondTime,17.261
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,86
Pond5Fish2_TimeLeft,1086.806
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.34
Pond5Fish3_PondTime,26.004
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,96
Pond5Fish3_TimeLeft,1078.062
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.232
Pond5Fish4_PondTime,35.033
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,106
Pond5Fish4_TimeLeft,1069.033
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
