,5ba3f8c30f4cba000157ea20
PlayerDetails,5ba3f8c30f4cba000157ea20
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,17
Pond5_Type,RT
Pond5_#Fishes,17
Pond6_Type,N
Pond6_#Fishes,12
Pond8_Type,RT
Pond8_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,12
Pond9_Type,RT
Pond9_#Fishes,19
Pond10_Type,RD
Pond10_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,16
Pond3_Type,RD
Pond3_#Fishes,18
Pond2_Type,RD
Pond2_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 12:04:14 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.893
Pond4Fish1_PondTime,8.01
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1194.388
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,14.426
Pond4Fish2_PondOutcome,10
Pond4Fish2_TotalOutcome,10
Pond4Fish2_TimeLeft,1187.972
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.967
Pond4Fish3_PondTime,21.075
Pond4Fish3_PondOutcome,20
Pond4Fish3_TotalOutcome,20
Pond4Fish3_TimeLeft,1181.323
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.745
Pond4Fish4_PondTime,28.059
Pond4Fish4_PondOutcome,30
Pond4Fish4_TotalOutcome,30
Pond4Fish4_TimeLeft,1174.339
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.671
Pond4Fish5_PondTime,35.425
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,40
Pond4Fish5_TimeLeft,1166.973
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.661
Pond4Fish6_PondTime,43.242
Pond4Fish6_PondOutcome,50
Pond4Fish6_TotalOutcome,50
Pond4Fish6_TimeLeft,1159.156
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.776
Pond4Fish7_PondTime,51.61
Pond4Fish7_PondOutcome,60
Pond4Fish7_TotalOutcome,60
Pond4Fish7_TimeLeft,1150.788
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.835
Pond4Fish8_PondTime,60.642
Pond4Fish8_PondOutcome,70
Pond4Fish8_TotalOutcome,70
Pond4Fish8_TimeLeft,1141.756
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,1.113
Pond4Fish9_PondTime,70.509
Pond4Fish9_PondOutcome,80
Pond4Fish9_TotalOutcome,80
Pond4Fish9_TimeLeft,1131.889
PondEnd_LastFish,9
FishN,16
Type,RT
GiveUpTime,0.217
PondTime,80.624
TimeLeft,1121.272
PondOutcome,80
TotalOutcome,80
PondStart,PondStart
PondIntroTime,15.337473810650408
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,0.704
Pond5Fish1_PondTime,8.019
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,90
Pond5Fish1_TimeLeft,1097.287
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.616
Pond5Fish2_PondTime,14.384
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,100
Pond5Fish2_TimeLeft,1090.922
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.875
Pond5Fish3_PondTime,21.034
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,110
Pond5Fish3_TimeLeft,1084.272
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.755
Pond5Fish4_PondTime,28.016
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,120
Pond5Fish4_TimeLeft,1077.29
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,0.763
Pond5Fish5_PondTime,35.383
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,130
Pond5Fish5_TimeLeft,1069.923
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,0.766
Pond5Fish6_PondTime,43.201
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,140
Pond5Fish6_TimeLeft,1062.105
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,0.756
Pond5Fish7_PondTime,51.567
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,150
Pond5Fish7_TimeLeft,1053.739
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.221
Pond5Fish8_PondTime,60.599
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,160
Pond5Fish8_TimeLeft,1044.707
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,0.622
Pond5Fish9_PondTime,70.468
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,180
Pond5Fish9_TimeLeft,1034.838
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,0.876
Pond5Fish10_PondTime,81.4
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,190
Pond5Fish10_TimeLeft,1023.906
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,0.81
Pond5Fish11_PondTime,93.767
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,200
Pond5Fish11_TimeLeft,1011.539
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,0.888
Pond5Fish12_PondTime,108.132
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,210
Pond5Fish12_TimeLeft,997.174
PondEnd_LastFish,12
FishN,12
Type,RT
GiveUpTime,15.359
PondTime,122.59
TimeLeft,982.214
PondOutcome,130
TotalOutcome,210
PondStart,PondStart
PondIntroTime,17.531918166205287
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.735
Pond6Fish1_PondTime,9.733
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,221
Pond6Fish1_TimeLeft,954.339
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.772
Pond6Fish2_PondTime,18.099
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,232
Pond6Fish2_TimeLeft,945.973
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.562
