,5d7d252ed929720001b5b712
PlayerDetails,5d7d252ed929720001b5b712
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,13
Pond10_Type,RD
Pond10_#Fishes,17
Pond4_Type,N
Pond4_#Fishes,18
Pond9_Type,RD
Pond9_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,12
Pond12_Type,RD
Pond12_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 13:19:30 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.804
Pond6Fish1_PondTime,9.855
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1192.543
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,18.307
Pond6Fish2_PondOutcome,12
Pond6Fish2_TotalOutcome,12
Pond6Fish2_TimeLeft,1184.091
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.162
Pond6Fish3_PondTime,27.381
Pond6Fish3_PondOutcome,24
Pond6Fish3_TotalOutcome,24
Pond6Fish3_TimeLeft,1175.017
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,gray
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.234
Pond6Fish4_PondTime,37.251
Pond6Fish4_PondOutcome,26
Pond6Fish4_TotalOutcome,26
Pond6Fish4_TimeLeft,1165.147
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,0.971
Pond6Fish5_PondTime,48.327
Pond6Fish5_PondOutcome,28
Pond6Fish5_TotalOutcome,28
Pond6Fish5_TimeLeft,1154.071
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.078
Pond6Fish6_PondTime,60.703
Pond6Fish6_PondOutcome,40
Pond6Fish6_TotalOutcome,40
Pond6Fish6_TimeLeft,1141.695
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.79
Pond6Fish7_PondTime,75.224
Pond6Fish7_PondOutcome,52
Pond6Fish7_TotalOutcome,52
Pond6Fish7_TimeLeft,1127.174
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.256
Pond6Fish8_PondTime,92.724
Pond6Fish8_PondOutcome,64
Pond6Fish8_TotalOutcome,64
Pond6Fish8_TimeLeft,1109.674
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.119
Pond6Fish9_PondTime,115.247
Pond6Fish9_PondOutcome,76
Pond6Fish9_TotalOutcome,76
Pond6Fish9_TimeLeft,1087.151
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,20
Pond6Fish10_CatchTime,1.297
Pond6Fish10_PondTime,147.709
Pond6Fish10_PondOutcome,88
Pond6Fish10_TotalOutcome,88
Pond6Fish10_TimeLeft,1054.689
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,9.611
PondTime,156.815
TimeLeft,1045.075
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,13.12993379542604
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,0.842
Pond3Fish1_PondTime,9.366
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,100
Pond3Fish1_TimeLeft,1021.949
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.078
Pond3Fish2_PondTime,17.199
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,112
Pond3Fish2_TimeLeft,1014.116
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,25.745
Pond3Fish3_PondOutcome,24
Pond3Fish3_TotalOutcome,112
Pond3Fish3_TimeLeft,1005.57
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,gray
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.899
Pond3Fish4_PondTime,34.896
Pond3Fish4_PondOutcome,26
Pond3Fish4_TotalOutcome,114
Pond3Fish4_TimeLeft,996.419
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.265
Pond3Fish5_PondTime,44.901
Pond3Fish5_PondOutcome,38
Pond3Fish5_TotalOutcome,126
Pond3Fish5_TimeLeft,986.414
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.125
Pond3Fish6_PondTime,55.835
Pond3Fish6_PondOutcome,40
Pond3Fish6_TotalOutcome,128
Pond3Fish6_TimeLeft,975.48
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,gray
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,-1
Pond3Fish7_PondTime,68.358
Pond3Fish7_PondOutcome,40
Pond3Fish7_TotalOutcome,128
Pond3Fish7_TimeLeft,962.957
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,0.799
Pond3Fish8_PondTime,82.729
Pond3Fish8_PondOutcome,52
Pond3Fish8_TotalOutcome,140
Pond3Fish8_TimeLeft,948.586
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,0.984
Pond3Fish9_PondTime,100.24
Pond3Fish9_PondOutcome,64
Pond3Fish9_TotalOutcome,152
Pond3Fish9_TimeLeft,931.075
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,15
Pond3Fish10_CatchTime,0.958
Pond3Fish10_PondTime,122.734
Pond3Fish10_PondOutcome,76
Pond3Fish10_TotalOutcome,164
Pond3Fish10_TimeLeft,908.578
Type,RD
FishN,19
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,20
Pond3Fish11_CatchTime,-1
Pond3Fish11_PondTime,155.283
Pond3Fish11_PondOutcome,76
Pond3Fish11_TotalOutcome,164
Pond3Fish11_TimeLeft,876.032
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,73.386
PondTime,195.275
TimeLeft,835.533
PondOutcome,76
TotalOutcome,164
PondStart,PondStart
PondIntroTime,17.76927500264719
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.618
Pond10Fish1_PondTime,8.156
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,176
Pond10Fish1_TimeLeft,808.966
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.967
Pond10Fish2_PondTime,14.61
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,188
Pond10Fish2_TimeLeft,802.513
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.782
Pond10Fish3_PondTime,21.484
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,200
Pond10Fish3_TimeLeft,795.639
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.395
Pond10Fish4_PondTime,28.547
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,212
Pond10Fish4_TimeLeft,788.576
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.04
Pond10Fish5_PondTime,36.059
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,224
Pond10Fish5_TimeLeft,781.064
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.674
Pond10Fish6_PondTime,44.099
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,236
Pond10Fish6_TimeLeft,773.024
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.402
Pond10Fish7_PondTime,52.601
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,248
Pond10Fish7_TimeLeft,764.522
Type,RD
FishN,19
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.858
Pond10Fish8_PondTime,61.759
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,260
Pond10Fish8_TimeLeft,755.364
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.023
Pond10Fish9_PondTime,71.763
Pond10Fish9_PondOutcome,108
Pond10Fish9_TotalOutcome,272
Pond10Fish9_TimeLeft,745.359
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.13
Pond10Fish10_PondTime,82.861
Pond10Fish10_PondOutcome,120
