,5c86d30937a7290017e5e1c6
PlayerDetails,5c86d30937a7290017e5e1c6
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RT
Pond2_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,14
Pond12_Type,N
Pond12_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,18
Pond6_Type,RD
Pond6_#Fishes,12
Pond4_Type,RD
Pond4_#Fishes,15
Pond9_Type,N
Pond9_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,16
Pond5_Type,RD
Pond5_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 11:30:28 GMT+0100 (Χειμερινή ώρα Κεντρικής Ευρώπης)
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.289
Pond2Fish1_PondTime,9.813
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,10
Pond2Fish1_TimeLeft,1192.582
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.456
Pond2Fish2_PondTime,18.246
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,20
Pond2Fish2_TimeLeft,1184.149
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.231
Pond2Fish3_PondTime,27.364
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,30
Pond2Fish3_TimeLeft,1175.031
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.397
Pond2Fish4_PondTime,37.314
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,40
Pond2Fish4_TimeLeft,1165.081
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.439
Pond2Fish5_PondTime,48.305
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,50
Pond2Fish5_TimeLeft,1154.091
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,0.651
PondTime,48.595
TimeLeft,1153.288
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,17.630744366906583
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.223
Pond7Fish1_PondTime,8.19
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,61
Pond7Fish1_TimeLeft,1126.815
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.115
Pond7Fish2_PondTime,14.633
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,72
Pond7Fish2_TimeLeft,1120.373
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.424
Pond7Fish3_PondTime,21.336
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,83
