,568096c0c5767f00121cca3f
PlayerDetails,568096c0c5767f00121cca3f
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RT
Pond11_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,18
Pond3_Type,RD
Pond3_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,12
Pond1_Type,RD
Pond1_#Fishes,13
Pond8_Type,RD
Pond8_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 10:37:06 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.027
Pond11Fish1_PondTime,8.279
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,10
Pond11Fish1_TimeLeft,1194.119
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.856
Pond11Fish2_PondTime,14.942
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,20
Pond11Fish2_TimeLeft,1187.457
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.99
Pond11Fish3_PondTime,21.925
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,30
Pond11Fish3_TimeLeft,1180.473
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.847
Pond11Fish4_PondTime,29.314
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,40
Pond11Fish4_TimeLeft,1173.085
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
