,5bdd41fe18f1b9000173f12a
PlayerDetails,5bdd41fe18f1b9000173f12a
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RT
Pond11_#Fishes,15
Pond8_Type,N
Pond8_#Fishes,19
Pond6_Type,RT
Pond6_#Fishes,17
Pond1_Type,N
Pond1_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,16
Pond12_Type,RD
Pond12_#Fishes,15
Pond2_Type,RT
Pond2_#Fishes,17
Pond9_Type,RD
Pond9_#Fishes,16
Pond7_Type,RD
Pond7_#Fishes,13
Pond10_Type,N
Pond10_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Dec 23 2019 00:12:30 GMT+1100 (Australian Eastern Daylight Time)
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,golden
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,0.999
Pond11Fish1_PondTime,8.571
Pond11Fish1_PondOutcome,20
Pond11Fish1_TotalOutcome,20
Pond11Fish1_TimeLeft,1193.828
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.683
Pond11Fish2_PondTime,15.559
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,30
Pond11Fish2_TimeLeft,1186.84
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.968
