,5c6ead0566817100014bfec1
PlayerDetails,5c6ead0566817100014bfec1
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,15
Pond1_Type,RD
Pond1_#Fishes,19
Pond12_Type,RD
Pond12_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,19
Pond11_Type,RT
Pond11_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Dec 22 2019 14:14:46 GMT+0100 (czas środkowoeuropejski standardowy)
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.102
Pond3Fish1_PondTime,8.545
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.854
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.915
Pond3Fish2_PondTime,15.526
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1186.873
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,0.949
Pond3Fish3_PondTime,22.879
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1179.52
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,golden
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.927
Pond3Fish4_PondTime,30.695
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,50
Pond3Fish4_TimeLeft,1171.704
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.976
Pond3Fish5_PondTime,39.053
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,60
Pond3Fish5_TimeLeft,1163.346
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.053
Pond3Fish6_PondTime,48.072
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,70
Pond3Fish6_TimeLeft,1154.327
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.19
Pond3Fish7_PondTime,57.927
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,80
Pond3Fish7_TimeLeft,1144.472
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.115
Pond3Fish8_PondTime,68.854
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,90
Pond3Fish8_TimeLeft,1133.545
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,1.265
PondTime,69.435
TimeLeft,1132.461
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,15.63661405351013
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.118
Pond8Fish1_PondTime,9.716
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,100
Pond8Fish1_TimeLeft,1106.471
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.105
Pond8Fish2_PondTime,18.072
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,110
Pond8Fish2_TimeLeft,1098.115
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.099
Pond8Fish3_PondTime,27.107
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,120
Pond8Fish3_TimeLeft,1089.08
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.079
Pond8Fish4_PondTime,36.972
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,130
Pond8Fish4_TimeLeft,1079.215
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.178
Pond8Fish5_PondTime,47.911
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,140
Pond8Fish5_TimeLeft,1068.276
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.18
Pond8Fish6_PondTime,60.269
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,150
Pond8Fish6_TimeLeft,1055.918
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.861
Pond8Fish7_PondTime,74.637
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,170
Pond8Fish7_TimeLeft,1041.55
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.055
Pond8Fish8_PondTime,92.001
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,180
Pond8Fish8_TimeLeft,1024.186
PondEnd_LastFish,8
FishN,17
Type,RT
GiveUpTime,0.841
PondTime,92.11
TimeLeft,1023.575
PondOutcome,90
TotalOutcome,180
PondStart,PondStart
PondIntroTime,19.64753201464191
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.24
Pond5Fish1_PondTime,9.731
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,191
Pond5Fish1_TimeLeft,993.553
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.257
Pond5Fish2_PondTime,18.097
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,202
Pond5Fish2_TimeLeft,985.187
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.112
Pond5Fish3_PondTime,27.13
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,213
Pond5Fish3_TimeLeft,976.154
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.037
Pond5Fish4_PondTime,36.998
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,224
Pond5Fish4_TimeLeft,966.286
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.025
Pond5Fish5_PondTime,47.93
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,235
Pond5Fish5_TimeLeft,955.354
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.138
Pond5Fish6_PondTime,60.297
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,246
Pond5Fish6_TimeLeft,942.987
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
